,id,name,type,testcf,pd,ft,axl,w,d,l,fpc,fyl,fsul,fyt,fsut,dlb,dlb_c,nlb,cc_per,nib_per,cc_par,nib_par,nsl,dtb_rcs,s_rcs,ar,lrr,srr,alr,sdr,smr
0,1,"Gill et al. 1979, No. 1",Rectangular,Double Ended,Shear provided,0,1815.0,550.0,550.0,1200.0,23.1,375.0,635.6,297.0,416.8,24.0,24.0,12.0,40.0,2.0,40.0,2.0,4.0,10.0,80.0,0.4583333333333333,0.2913315501450661,0.09179978533216927,0.2597402597402597,0.75,0.5713038622494361
1,2,"Gill et al. 1979, No. 2",Rectangular,Double Ended,Shear provided,0,2680.0,550.0,550.0,1200.0,41.4,375.0,635.6,316.0,440.6,24.0,24.0,12.0,38.0,2.0,38.0,2.0,4.0,12.0,75.0,0.4583333333333333,0.16255456058818907,0.08370957816363633,0.21399768435341557,0.96,0.49066182653996104
2,3,"Gill et al. 1979, No. 3",Rectangular,Double Ended,Shear provided,0,2719.0,550.0,550.0,1200.0,21.4,375.0,635.6,297.0,416.8,24.0,24.0,12.0,40.0,2.0,40.0,2.0,4.0,10.0,75.0,0.4583333333333333,0.3144747106706088,0.10569844441984352,0.4200200818722484,0.8,0.5899538608159053
3,4,"Gill et al. 1979, No. 4",Rectangular,Double Ended,Shear provided,0,4265.0,550.0,550.0,1200.0,23.5,375.0,635.6,294.0,412.4,24.0,24.0,12.0,38.0,2.0,38.0,2.0,4.0,12.0,62.0,0.4583333333333333,0.2863727152489799,0.16597300378408622,0.5999648320731493,1.1612903225806452,0.44002285443490224
4,5,"Ang et al. 1981, No. 3",Rectangular,Double Ended,Shear provided,0,1435.0,400.0,400.0,1600.0,23.6,427.0,670.0,320.0,434.0,16.0,16.0,12.0,24.5,2.0,24.5,2.0,4.0,12.0,100.0,0.25,0.2728393348643067,0.15335231936167124,0.3800317796610169,0.72,0.2813037418483649
5,6,"Ang et al. 1981, No. 4",Rectangular,Double Ended,Shear provided,0,840.0,400.0,400.0,1600.0,25.0,427.0,670.0,280.0,408.0,16.0,16.0,12.0,22.5,2.0,22.5,2.0,4.0,10.0,90.0,0.25,0.2575603321119056,0.09773843811168245,0.21,0.6666666666666666,0.324226020118576
6,7,"Soesianawati et al. 1986, No. 1",Rectangular,Double Ended,Shear provided,0,744.0,400.0,400.0,1600.0,46.5,446.0,702.0,364.0,521.0,16.0,16.0,12.0,13.0,2.0,13.0,2.0,4.0,7.0,85.0,0.25,0.14463487210333395,0.03544177518622868,0.1,0.49411764705882355,0.41553298521878035
7,8,"Soesianawati et al. 1986, No. 2",Rectangular,Double Ended,Shear provided,0,2112.0,400.0,400.0,1600.0,44.0,446.0,702.0,360.0,492.0,16.0,16.0,12.0,13.0,2.0,13.0,2.0,4.0,8.0,78.0,0.25,0.15285276256375066,0.052726030549758766,0.3,0.6153846153846154,0.5016884054878995
8,9,"Soesianawati et al. 1986, No. 3",Rectangular,Double Ended,Shear provided,0,2112.0,400.0,400.0,1600.0,44.0,446.0,702.0,364.0,521.0,16.0,16.0,12.0,13.0,2.0,13.0,2.0,4.0,7.0,91.0,0.25,0.15285276256375066,0.034985918187704516,0.3,0.46153846153846156,0.6397455728309351
9,10,"Soesianawati et al. 1986, No. 4",Rectangular,Double Ended,Shear provided,0,1920.0,400.0,400.0,1600.0,40.0,446.0,702.0,255.0,402.0,16.0,16.0,12.0,13.0,2.0,13.0,2.0,4.0,6.0,94.0,0.25,0.16813803882012573,0.019175412606352596,0.3,0.3829787234042553,0.8545461440421548
