,UniqueId,name,type,testcf,pd,ft,axl,diam,l,fpc,fyl,fsul,fyt,fsut,dlb,nlb,cc,dsp,s,use,ar,lrr,srr,alr,sdr,smr
12,266,"Potangaroa et al. 1979, No. 5B",Spiral,Double Ended,Feff computed,Flexure,6770.0,600.0,1200.0,32.5,307.0,414.0,280.0,0,24.0,16.0,28.0,16.0,55.0,1,2.0,0.24182153846153845,0.10498338527240855,0.7367377536629959,0.5729166666666666,0.43928057258648545
15,269,"Ang et al. 1985, No. 3",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,0.0,400.0,1000.0,36.0,436.0,674.0,328.0,0,16.0,20.0,18.0,6.0,60.0,1,2.5,0.38755555555555554,0.021467549799530253,0.0,1.6666666666666667,1.2634613495159657
16,270,"Ang et al. 1985, No. 4",Spiral,Cantilever with Flexible Base,Feff computed,Shear,0.0,400.0,800.0,30.6,436.0,674.0,316.0,0,16.0,20.0,20.0,10.0,165.0,1,2.0,0.4559477124183006,0.024577720304376473,0.0,2.75,1.4809772199367044
17,271,"Ang et al. 1985, No. 5",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,0.0,400.0,800.0,31.1,436.0,674.0,328.0,0,16.0,20.0,18.0,6.0,40.0,1,2.0,0.4486173633440514,0.03727484531108147,0.0,1.1111111111111112,1.1927604459132382
18,272,"Ang et al. 1985, No. 6",Spiral,Cantilever with Flexible Base,Feff computed,Shear,0.0,400.0,600.0,30.1,436.0,674.0,328.0,0,16.0,20.0,18.0,6.0,60.0,1,1.5,0.46352159468438536,0.025675474843292,0.0,1.6666666666666667,1.9599915318342487
19,273,"Ang et al. 1985, No. 7",Spiral,Cantilever with Flexible Base,Feff computed,Shear,0.0,400.0,800.0,29.5,448.0,693.0,372.0,0,16.0,20.0,18.0,6.0,80.0,1,2.0,0.4859661016949153,0.022284008907242855,0.0,2.2222222222222223,1.6281066926005299
20,274,"Ang et al. 1985, No. 8",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,721.0,400.0,800.0,28.7,448.0,693.0,372.0,0,16.0,20.0,18.0,6.0,30.0,1,2.0,0.4995121951219512,0.06108044253320922,0.19991413583494172,0.8333333333333334,0.9680726335871249
21,275,"Ang et al. 1985, No. 9",Spiral,Cantilever with Flexible Base,Feff computed,Flexure,751.0,400.0,1000.0,29.9,448.0,693.0,372.0,0,16.0,20.0,18.0,6.0,30.0,1,2.5,0.4794648829431438,0.05862905353522089,0.1998751877291194,0.8333333333333334,0.8566921589593827
22,276,"Ang et al. 1985, No. 10",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,784.0,400.0,800.0,31.2,448.0,693.0,332.0,0,16.0,20.0,21.0,12.0,120.0,1,2.0,0.4594871794871795,0.05014465197076016,0.19996390285904797,1.6666666666666667,1.0172615127664126
23,277,"Ang et al. 1985, No. 11",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,751.0,400.0,800.0,29.9,448.0,693.0,372.0,0,16.0,20.0,18.0,6.0,60.0,1,2.0,0.4794648829431438,0.029314526767610444,0.1998751877291194,1.6666666666666667,1.2932679600492083
24,278,"Ang et al. 1985, No. 12",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,359.0,400.0,600.0,28.6,436.0,674.0,328.0,0,16.0,20.0,18.0,6.0,30.0,1,1.5,0.4878321678321678,0.054044181313502734,0.09988920379368955,0.8333333333333334,1.3516951257321212
25,279,"Ang et al. 1985, No. 13",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,455.0,400.0,800.0,36.2,436.0,679.0,326.0,0,16.0,20.0,18.0,6.0,30.0,1,2.0,0.38541436464088397,0.04243753612169637,0.10002140760609445,0.8333333333333334,0.9855486914885181
26,280,"Ang et al. 1985, No. 14",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,0.0,400.0,800.0,33.7,424.0,671.0,326.0,0,24.0,9.0,18.0,6.0,60.0,1,2.0,0.4076439169139465,0.022792860646964522,0.0,1.6666666666666667,1.4060188930881081
27,281,"Ang et al. 1985, No. 15",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,0.0,400.0,800.0,34.8,436.0,679.0,326.0,0,16.0,12.0,18.0,6.0,60.0,1,2.0,0.24055172413793105,0.022072396660997258,0.0,1.6666666666666667,0.8489598591578973
28,282,"Ang et al. 1985, No. 16",Spiral,Cantilever with Flexible Base,Feff computed,Shear,420.0,400.0,800.0,33.4,436.0,679.0,326.0,0,16.0,20.0,18.0,6.0,60.0,1,2.0,0.41772455089820365,0.022997586940200734,0.10006747918951504,1.6666666666666667,1.3361560064007927
29,283,"Ang et al. 1985, No. 17",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,431.0,400.0,1000.0,34.3,436.0,679.0,326.0,0,16.0,20.0,18.0,6.0,60.0,1,2.5,0.4067638483965015,0.02239415171436456,0.0999938490854328,1.6666666666666667,1.2243661511164816
30,284,"Ang et al. 1985, No. 18",Spiral,Cantilever with Flexible Base,Feff computed,Shear,440.0,400.0,600.0,35.0,436.0,674.0,326.0,0,16.0,20.0,18.0,6.0,60.0,1,1.5,0.39862857142857144,0.02194626868007727,0.10004024994347706,1.6666666666666667,1.7618172281783053
31,285,"Ang et al. 1985, No. 19",Spiral,Cantilever with Flexible Base,Feff computed,Shear,432.0,400.0,600.0,34.4,436.0,679.0,326.0,0,16.0,20.0,18.0,6.0,80.0,1,1.5,0.40558139534883725,0.016746789327093847,0.09993449915072498,2.2222222222222223,1.9320912066252085
32,286,"Ang et al. 1985, No. 20",Spiral,Cantilever with Flexible Base,Feff computed,Shear,807.0,400.0,700.0,36.7,482.0,758.0,326.0,0,16.0,20.0,18.0,6.0,80.0,1,1.75,0.4202724795640327,0.015697263020491233,0.1749837044620702,2.2222222222222223,1.6983265549355253
34,288,"Ang et al. 1985, No. 22",Spiral,Cantilever with Flexible Base,Feff computed,Shear,0.0,400.0,800.0,30.9,436.0,679.0,310.0,0,16.0,20.0,20.0,10.0,220.0,1,2.0,0.45152103559870554,0.017907725114240144,0.0,3.6666666666666665,1.669565854845116
35,289,"Ang et al. 1985, No. 23",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,0.0,400.0,800.0,32.3,436.0,679.0,332.0,0,16.0,20.0,21.0,12.0,160.0,1,2.0,0.43195046439628487,0.03632770452370861,0.0,2.2222222222222223,1.1747270513412313
36,290,"Ang et al. 1985, No. 24",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,0.0,400.0,800.0,33.1,436.0,679.0,310.0,0,16.0,20.0,20.0,10.0,110.0,1,2.0,0.42151057401812686,0.03343496713172329,0.0,1.8333333333333333,1.2050457226820501
37,291,"Ang et al. 1985, No. 25",Spiral,Cantilever with Flexible Base,Feff computed,Shear,0.0,400.0,600.0,32.8,296.0,457.0,0.0,0,16.0,20.0,0.0,0.0,0.0,1,1.5,0.2887804878048781,0.0,0.0,2.0,2.303491406410322
38,292,"Zahn et al. 1986, No. 5",Spiral,Double Ended,Feff computed,Flexure,555.0,400.0,1600.0,32.3,337.0,491.0,466.0,0,16.0,16.0,18.0,10.0,135.0,1,4.0,0.26709597523219814,0.04196715332452826,0.13673528392569959,2.25,0.5111847310819113
39,293,"Zahn et al. 1986, No. 6",Spiral,Double Ended,Feff computed,Flexure,2080.0,400.0,1600.0,27.0,337.0,491.0,466.0,0,16.0,16.0,18.0,10.0,75.0,1,4.0,0.3195259259259259,0.09036927015881752,0.6130412622798932,1.25,0.3761674710296161
40,294,"Watson and Park 1989, No 10",Spiral,Double Ended,Feff computed,Flexure,2652.0,400.0,1600.0,40.0,474.0,633.3,372.0,0,16.0,12.0,17.0,8.0,84.0,1,4.0,0.22751999999999997,0.027825534931795314,0.527598636349633,1.75,0.6682423237992285
41,295,"Watson and Park 1989, No 11",Spiral,Double Ended,Feff computed,Flexure,3620.0,400.0,1600.0,39.0,474.0,633.3,338.0,0,16.0,12.0,18.0,10.0,57.0,1,4.0,0.23335384615384613,0.05970863230506916,0.738642171785463,0.95,0.4121736351922188
42,296,"Wong et al. 1990, No. 1",Spiral,Cantilever,Feff computed,Flexure,907.0,400.0,800.0,38.0,423.0,577.0,300.0,0,16.0,20.0,20.0,10.0,60.0,1,2.0,0.3562105263157895,0.0516709318024637,0.18993885971624877,1.0,0.8646993989316731
44,298,"Wong et al. 1990, No. 3",Spiral,Cantilever,Feff computed,Flexure,1813.0,400.0,800.0,37.0,475.0,625.0,300.0,0,16.0,20.0,20.0,10.0,60.0,1,2.0,0.41081081081081083,0.05306744347280057,0.3899296105751435,1.0,0.9287197968509692
45,299,"Petrovski and Ristic 1984, M1E1",Spiral,Cantilever,Not defined in report,Flexure,145.0,307.0,1910.0,38.8,240.0,0.0,240.0,0,12.0,12.0,36.0,6.0,75.0,1,6.221498371335505,0.1134087342445483,0.015191555865439748,0.05048584671099866,2.0833333333333335,0.28018318179631035
46,300,"Petrovsky and Ristic 1984, M1E2",Spiral,Cantilever,Not defined in report,Flexure,254.0,307.0,1910.0,36.2,240.0,0.0,240.0,0,12.0,12.0,36.0,6.0,75.0,1,6.221498371335505,0.12155411294719538,0.016282662087819394,0.09478912488211733,2.0833333333333335,0.3157237110615077
