Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, gamma, kappa, eta1, sig, lam, mup, sigp, rsmax, alpha, alpha1, alpha2, betam1, n, kappa_k, res_min, gamma.median, kappa.median, eta1.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, alpha.median, alpha1.median, alpha2.median, betam1.median, n.median, kappa_k.median, res_min.median, gamma.q5, kappa.q5, eta1.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, n.q5, kappa_k.q5, res_min.q5, gamma.q95, kappa.q95, eta1.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, n.q95, kappa_k.q95, res_min.q95, gamma.var, kappa.var, eta1.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, alpha.var, alpha1.var, alpha2.var, betam1.var, n.var, kappa_k.var, res_min.var, gamma.q5_w_mnoise, kappa.q5_w_mnoise, eta1.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, n.q5_w_mnoise, kappa_k.q5_w_mnoise, res_min.q5_w_mnoise, gamma.q95_w_mnoise, kappa.q95_w_mnoise, eta1.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, n.q95_w_mnoise, kappa_k.q95_w_mnoise, res_min.q95_w_mnoise, gamma.var_w_mnoise, kappa.var_w_mnoise, eta1.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, n.var_w_mnoise, kappa_k.var_w_mnoise, res_min.var_w_mnoise
90, 3.75, 0.72522, 0.11557, 0.35142, 0.99099, 0.57282, 1.1724, 0.92333, 1.9126, 0.24361, 0.58794, 1.2371, 0.43781, 0.46108, 0.0002, 7.1984, 1.7411, 0.00223, 6.7136, 0.38182, 0.06873, 1.3607, 0.99785, 1.4884, 0.42364, 0.56137, 1.0396, 1.3186, 0.85032, 0.0034051, 5.5549, 0.88986, 0.0038778, 5.5698, 0.52612, 0.053145, 1.1231, 0.95649, 1.2428, 0.27256, 0.40087, 0.41894, 0.69452, 0.71265, -0.0027624, 2.5202, 0.4895, -0.0047687, 3.874, -0.11752, 0.046928, 1.5982, 1.0392, 1.7339, 0.57472, 0.72187, 1.6602, 1.9426, 0.98798, 0.0095725, 8.5896, 1.2902, 0.012524, 7.2657, 1.1698, 0.059363, 0.02086, 0.00063241, 0.022285, 0.0084368, 0.0095211, 0.14236, 0.14394, 0.0070044, 1.4059e-05, 3.4039, 0.059246, 2.7633e-05, 1.063, 0.15312, 1.4288e-05, 0.47308, 0.90794, 0.88054, 0.15525, 0.26855, -0.31736, -0.73071, 0.57604, -0.0073439, 0.70534, 0.30768, -0.01333, 1.6379, -0.77576, 0.041056, 2.2483, 1.0878, 2.0962, 0.69203, 0.85419, 2.3965, 3.3678, 1.1246, 0.014154, 10.404, 1.472, 0.021086, 9.5018, 1.828, 0.065235, 0.29118, 0.0029881, 0.13655, 0.026625, 0.031691, 0.68053, 1.5522, 0.027806, 4.2705e-05, 8.6925, 0.12528, 0.00010945, 5.7142, 0.62645, 5.4018e-05
98, 3.75, 0.72522, 0.11557, 0.2412, 0.99099, 0.57057, 1.0871, 0.99065, 1.6722, 0.31319, 0.66779, 0.7575, 0.90584, 0.89583, 0.00094, 9.2066, 0.81282, 0.00187, 4.7959, 0.41124, 0.05737, 1.2787, 0.99705, 1.5352, 0.42619, 0.53756, 1.2422, 1.3352, 0.8249, 0.003035, 6.5445, 0.88377, 0.0049459, 5.4918, 0.4486, 0.056309, 1.0467, 0.95684, 1.2897, 0.2702, 0.38466, 0.64884, 0.72439, 0.67569, -0.0031135, 3.2061, 0.45233, -0.0029222, 3.7846, -0.15774, 0.050397, 1.5107, 1.0373, 1.7807, 0.58217, 0.69046, 1.8355, 1.946, 0.97412, 0.0091835, 9.8829, 1.3152, 0.012814, 7.1989, 1.0549, 0.06222, 0.019896, 0.00059755, 0.022275, 0.0089929, 0.0086409, 0.13013, 0.13789, 0.0082296, 1.3973e-05, 4.1193, 0.068801, 2.2882e-05, 1.0772, 0.13589, 1.2917e-05, 0.27176, 0.90766, 0.92834, 0.15501, 0.24583, -0.10404, -0.71333, 0.54235, -0.0077031, 1.4993, 0.2901, -0.011885, 1.5544, -0.83525, 0.044423, 2.2857, 1.0864, 2.1421, 0.69737, 0.82929, 2.5884, 3.3837, 1.1075, 0.013773, 11.59, 1.4774, 0.021776, 9.4291, 1.7325, 0.068195, 0.37478, 0.0029532, 0.13612, 0.027181, 0.031456, 0.66986, 1.551, 0.02951, 4.2619e-05, 9.408, 0.13027, 0.0001047, 5.73, 0.60922, 5.2216e-05
16, 1.9912, 0.72035, 0.17202, 0.33339, 0.52493, 0.68114, 1.9058, 0.94259, 1.7271, 0.44618, 0.64172, 0.62552, 0.28503, 0.92724, 9e-05, 7.9959, 1.242, 0.00031, 8.6038, 0.48195, 0.03036, 1.0547, 0.99726, 1.5227, 0.32232, 0.47096, 1.7452, 1.2682, 0.68069, 0.0041783, 5.4254, 1.0429, 0.0032452, 4.5928, 0.75763, 0.042536, 0.78136, 0.95541, 1.2746, 0.16983, 0.30321, 1.0383, 0.54353, 0.52675, -0.0032553, 2.3758, 0.64563, -0.0059703, 2.8074, 0.029851, 0.034772, 1.3281, 1.0391, 1.7708, 0.47481, 0.6387, 2.452, 1.9929, 0.83464, 0.011612, 8.475, 1.4402, 0.012461, 6.3782, 1.4854, 0.050299, 0.027624, 0.00064745, 0.022754, 0.0085948, 0.0104, 0.18467, 0.19411, 0.0087598, 2.0424e-05, 3.4374, 0.05834, 3.139e-05, 1.1782, 0.19577, 2.2276e-05, 0.24794, 0.90712, 0.89406, 0.053135, 0.17963, 0.28306, -0.91794, 0.45979, -0.0073439, 0.56656, 0.43975, -0.014256, 1.4031, -0.58784, 0.028059, 1.8615, 1.0874, 2.1513, 0.59151, 0.76229, 3.2073, 3.4544, 0.9016, 0.0157, 10.284, 1.6461, 0.020746, 7.7826, 2.1031, 0.057012, 0.24059, 0.0030031, 0.14607, 0.026783, 0.031371, 0.79016, 1.7665, 0.018037, 4.907e-05, 8.726, 0.13447, 0.00011321, 3.7606, 0.6691, 7.7461e-05
89, 1.9912, 0.69368, 0.1529, 0.14806, 0.59055, 0.71532, 1.2623, 1.0776, 1.803, 0.40894, 0.5592, 0.48774, 0.46421, 0.95278, 0.00093, 5.5612, 1.6885, 0.00505, 3.5875, 0.38922, 0.041, 0.98393, 1.0017, 1.4785, 0.27998, 0.44906, 2.2109, 1.3674, 0.78796, 0.0040584, 5.6102, 0.76034, 0.0063206, 4.7368, 0.78092, 0.040769, 0.73854, 0.95708, 1.2149, 0.13131, 0.29146, 1.558, 0.69676, 0.59496, -0.0034211, 2.3947, 0.3264, -0.0022296, 2.6214, 0.15317, 0.033644, 1.2293, 1.0463, 1.742, 0.42865, 0.60667, 2.8637, 2.038, 0.98097, 0.011538, 8.8258, 1.1943, 0.014871, 6.8522, 1.4087, 0.047894, 0.022256, 0.00073632, 0.02568, 0.0081695, 0.009181, 0.15754, 0.16622, 0.013769, 2.0677e-05, 3.8218, 0.0696, 2.7021e-05, 1.654, 0.14565, 1.8763e-05, 0.1159, 0.91025, 0.85986, 0.012942, 0.16184, 0.75339, -0.93559, 0.54984, -0.0074934, 0.64551, 0.15828, -0.010839, 1.3488, -0.51318, 0.027469, 1.8519, 1.0932, 2.0971, 0.54702, 0.73629, 3.6684, 3.6703, 1.0261, 0.01561, 10.575, 1.3624, 0.023481, 8.1249, 2.075, 0.054069, 0.27849, 0.003092, 0.14144, 0.026357, 0.030492, 0.78515, 1.9603, 0.020959, 4.9323e-05, 9.1104, 0.13398, 0.00010884, 4.2427, 0.61899, 6.5383e-05
144, 1.0909, 0.64994, 0.04962, 0.11868, 1.3889, 2.4988, 0.23918, 1.0719, 0.72551, 0.20984, 0.04993, 5.163, 0.71384, 0.80791, 2e-05, 5.5849, 1.6217, 0.00285, 1.1056, 3.7386, 0.04346, 1.108, 1.0129, 1.3301, 0.34206, 0.28841, 2.8042, 3.5601, 0.73455, 0.0072725, 6.2127, 0.78159, 0.020968, 3.8297, 2.439, 0.05554, 0.86962, 0.96339, 1.026, 0.17763, 0.12448, 1.4095, 2.6289, 0.52475, -0.0014017, 3.0264, 0.34626, 0.010645, 1.5015, 1.5805, 0.045296, 1.3463, 1.0624, 1.6341, 0.50649, 0.45234, 4.1988, 4.4913, 0.94435, 0.015947, 9.3991, 1.2169, 0.031292, 6.158, 3.2975, 0.065785, 0.020998, 0.00090588, 0.034162, 0.0099935, 0.0099325, 0.7189, 0.3205, 0.016269, 2.7811e-05, 3.7526, 0.070045, 3.9394e-05, 2.0035, 0.27242, 3.8791e-05, 0.19565, 0.91895, 0.60747, 0.065932, -0.015254, -0.23401, 1.0508, 0.40996, -0.0050865, 1.2669, 0.23961, 0.0028593, 0.32734, 1.0186, 0.032059, 2.0203, 1.1068, 2.0526, 0.61819, 0.59208, 5.8423, 6.0694, 1.0591, 0.019632, 11.159, 1.3236, 0.039078, 7.3321, 3.8595, 0.079021, 0.30764, 0.0032616, 0.19298, 0.028181, 0.034083, 3.4117, 2.3273, 0.038941, 5.6457e-05, 9.0412, 0.10857, 0.00012121, 4.534, 0.74576, 0.00020379
107, 1.0909, 0.5348, 0.02722, 0.26042, 2.7778, 2.531, 1.9837, 1.0164, 1.3649, 0.24098, 0.19673, 1.9762, 3.3331, 0.88062, 9e-05, 1.3004, 0.43418, 0.04711, 7.5541, 0.41746, 0.05992, 0.99754, 1.0093, 1.3382, 0.26003, 0.2561, 3.3152, 3.6583, 0.80592, 0.0064854, 2.4205, 0.51299, 0.023376, 3.6111, 1.7778, 0.053125, 0.75972, 0.97121, 1.0413, 0.11073, 0.10894, 2.0275, 2.8074, 0.61973, -0.0021235, -0.58643, 0.1273, 0.01265, 1.4979, 1.1334, 0.043129, 1.2354, 1.0474, 1.635, 0.40933, 0.40325, 4.603, 4.5092, 0.9921, 0.015094, 5.4274, 0.89868, 0.034102, 5.7242, 2.4222, 0.063122, 0.020905, 0.00053685, 0.032569, 0.0082383, 0.0080038, 0.61294, 0.26763, 0.012812, 2.7393e-05, 3.3419, 0.054983, 4.2524e-05, 1.6505, 0.15349, 3.6935e-05, 0.48007, 0.92086, 0.61859, -0.0073601, -0.010747, -3.716, 0.34276, 0.49607, -0.0058338, -2.4117, 0.086237, 0.0050348, 0.24791, 0.47553, 0.029102, 1.515, 1.0978, 2.0578, 0.52742, 0.52294, 10.346, 6.9738, 1.1158, 0.018805, 7.2527, 0.93974, 0.041718, 6.9742, 3.0801, 0.077148, 0.098974, 0.0028925, 0.19139, 0.026426, 0.026318, 18.273, 4.0631, 0.035484, 5.6093e-05, 8.6305, 0.067313, 0.00012434, 4.1806, 0.62682, 0.00021331
103, 1.0909, 0.51803, 0, 0.25225, 2, 3.5851, 0.7267, 0.96689, 1.1191, 0.29869, 0.2606, 2.737, 6.9372, 0.78436, 0.00176, 0.7303, 0.50897, 0.04638, 2.7797, 1.614, 0.03219, 1.1442, 1.0199, 1.3385, 0.35526, 0.40389, 2.3187, 2.6295, 0.74778, 0.0072964, 3.9239, 0.72057, 0.017286, 4.527, 1.8138, 0.0541, 0.70486, 0.98132, 1.0347, 0.14983, 0.18998, 0.74956, 1.4142, 0.54729, -0.001378, 0.39552, 0.28946, -0.00017698, 2.3415, 0.46666, 0.040567, 1.5835, 1.0584, 1.6423, 0.56069, 0.61779, 3.8878, 3.8448, 0.94827, 0.015971, 7.4524, 1.1517, 0.034748, 6.7126, 3.161, 0.067633, 0.071341, 0.00054863, 0.034118, 0.015598, 0.016912, 0.91004, 0.54587, 0.014857, 2.7812e-05, 4.6016, 0.068694, 0.00011271, 1.7654, 0.6708, 6.7693e-05, 0.53732, 0.93121, 0.61603, 0.05292, 0.082076, -1.8189, -0.53623, 0.42913, -0.0050758, -1.2489, 0.21189, -0.0056557, 1.1177, 0.054424, 0.028868, 1.7511, 1.1085, 2.061, 0.6576, 0.7257, 6.4563, 5.7952, 1.0664, 0.019669, 9.0968, 1.2292, 0.040227, 7.9364, 3.5732, 0.079332, 0.13613, 0.0029043, 0.19294, 0.033786, 0.038278, 6.3277, 3.7042, 0.037529, 5.6577e-05, 9.8902, 0.095637, 0.00019453, 4.2962, 1.1441, 0.00023532
3, 1.0909, 0.51623, 0.02628, 0, 2.7778, 2.9346, 1.1927, 0.90051, 1.8917, 0.60723, 0.59987, 9.4649, 8.8804, 0.16602, 0.00175, 0.03318, 0.80873, 0.01319, 3.7514, 1.3474, 0.09672, 1.0333, 1.0078, 1.3223, 0.34286, 0.26864, 2.5924, 3.1531, 0.77074, 0.0069421, 4.702, 0.83385, 0.013662, 3.954, 1.3959, 0.052121, 0.69424, 0.96831, 1.023, 0.15498, 0.0809, 1.0737, 2.1708, 0.56992, -0.0017094, 1.2686, 0.40342, -0.00073495, 1.7851, 0.54924, 0.039084, 1.3724, 1.0472, 1.6217, 0.53075, 0.45637, 4.1111, 4.1353, 0.97156, 0.015594, 8.1355, 1.2643, 0.028059, 6.1229, 2.2425, 0.065158, 0.042494, 0.0005752, 0.033118, 0.013047, 0.013027, 0.85248, 0.35659, 0.014906, 2.7665e-05, 4.3572, 0.068478, 7.6613e-05, 1.7387, 0.26493, 6.2822e-05, 0.42868, 0.91871, 0.60173, 0.05216, -0.020837, -4.0555, -0.23131, 0.45188, -0.0054159, -0.40654, 0.37311, -0.0070414, 0.55555, -0.01743, 0.026941, 1.638, 1.0968, 2.043, 0.63357, 0.55811, 9.2402, 6.5375, 1.0896, 0.0193, 9.8105, 1.2946, 0.034366, 7.3524, 2.8092, 0.077301, 0.13513, 0.0029309, 0.19193, 0.031235, 0.030971, 16.334, 4.2336, 0.037578, 5.6447e-05, 9.6458, 0.078461, 0.00015843, 4.2688, 0.73826, 0.00023435
36, 3.2222, 0.50973, 0.03901, 0.15123, 5.3474, 1.1649, 1.6136, 1.0976, 1.2196, 0.13472, 0.16361, 4.9662, 1.1202, 0.99226, 0.00038, 0.31537, 0.03209, 0.03452, 3.7982, 0.57979, 0.05063, 0.67488, 1.0073, 1.3811, 0.33604, 0.25685, 2.749, 2.9691, 0.79733, 0.0055603, 3.9938, 0.42899, 0.019429, 4.3959, 1.7494, 0.052073, 0.48477, 0.97226, 1.0949, 0.21492, 0.13982, 1.6324, 2.3629, 0.62208, -0.001161, 0.59404, 0.11613, 0.011649, 2.6063, 0.93429, 0.044516, 0.86499, 1.0423, 1.6673, 0.45716, 0.37388, 3.8656, 3.5752, 0.97258, 0.012282, 7.3937, 0.74186, 0.027209, 6.1855, 2.5644, 0.059629, 0.013359, 0.00045383, 0.030274, 0.0054223, 0.0050624, 0.46083, 0.13578, 0.011352, 1.6697e-05, 4.2722, 0.03618, 2.237e-05, 1.1838, 0.24555, 2.1106e-05, 0.0018927, 0.92011, 0.66582, 0.083295, -0.0066278, -1.7383, -0.58993, 0.56638, -0.0055402, -1.0921, 0.06023, 0.0026395, 1.228, 0.35474, 0.029452, 1.3479, 1.0945, 2.0963, 0.58878, 0.52033, 7.2362, 6.528, 1.0283, 0.016661, 9.0798, 0.79776, 0.036219, 7.5638, 3.144, 0.074694, 0.1674, 0.0028095, 0.18909, 0.023611, 0.025658, 7.4422, 4.6816, 0.019715, 4.5544e-05, 9.5608, 0.050262, 0.00010419, 3.7093, 0.71889, 0.00018913
127, 3.2222, 0.50973, 0.03901, 0.60514, 5.3474, 1.0246, 0.91038, 1.0359, 1.7268, 0.79504, 0.08872, 0.83795, 0.83529, 0.88552, 0.00124, 6.5068, 0.40163, 0.00603, 2.968, 2.8403, 0.07311, 1.1701, 1.0129, 1.31, 0.41945, 0.40078, 2.7194, 2.1008, 0.73067, 0.006447, 4.4304, 0.76011, 0.0080329, 3.8273, 1.5718, 0.048416, 0.87184, 0.96205, 1.0237, 0.226, 0.20478, 1.5068, 1.4067, 0.52044, -0.0013043, 0.83066, 0.32469, -0.0060478, 1.5069, 0.42124, 0.03951, 1.4684, 1.0638, 1.5962, 0.61289, 0.59677, 3.932, 2.7948, 0.94089, 0.014198, 8.0301, 1.1955, 0.022114, 6.1477, 2.7224, 0.057322, 0.032882, 0.00095595, 0.030284, 0.013831, 0.014198, 0.54348, 0.17805, 0.016334, 2.2207e-05, 4.7894, 0.070076, 7.3281e-05, 1.9901, 0.48932, 2.9316e-05, 0.4585, 0.91825, 0.59468, 0.12512, 0.093958, -1.7412, -1.3714, 0.48865, -0.0053057, -0.79137, 0.25707, -0.012452, 0.33194, -0.042012, 0.02531, 1.8817, 1.1076, 2.0252, 0.71377, 0.7076, 7.18, 5.5729, 0.97268, 0.0182, 9.6521, 1.2632, 0.028518, 7.3226, 3.1857, 0.071523, 0.18716, 0.0033116, 0.1891, 0.032019, 0.034795, 7.354, 4.4561, 0.021648, 5.1053e-05, 10.078, 0.09353, 0.0001551, 4.5156, 0.96265, 0.00019734
