% ar lrr srr alr sdr smr
4.00000 0.17869 0.02857 0.50000 2.66667 0.74816
4.00000 0.29084 0.13792 0.19995 1.11111 0.32020
4.56000 0.08105 0.02882 0.20000 3.12500 0.47855
4.56000 0.08105 0.04323 0.30000 2.08333 0.43786
3.00000 0.19839 0.09253 0.29999 1.25000 0.46631
3.91667 0.14201 0.10898 0.20001 1.32292 0.28418
4.70000 0.26135 0.13402 0.19952 1.33333 0.26562
1.63636 0.47111 0.07152 0.00000 0.97222 1.02204
4.70000 0.41303 0.17869 0.46170 1.33333 0.31366
3.00000 0.35974 0.12176 0.20036 0.48387 0.37378
2.50000 0.17720 0.06191 0.39994 0.97222 0.73215
4.69809 0.13859 0.04387 0.10290 0.84667 0.28552
6.55738 0.12536 0.07885 0.13961 0.88496 0.18522
2.25000 0.34455 0.13744 0.08920 1.00794 0.51293
4.00000 0.17434 0.05630 0.50000 1.68750 0.54520
2.50000 0.47946 0.05863 0.19988 0.83333 0.85669
4.69809 0.15862 0.04387 0.10290 0.84667 0.31020
2.00000 0.23842 0.10557 0.09973 0.91398 0.55989
3.00000 0.19839 0.09253 0.29999 1.25000 0.46631
2.00000 0.35329 0.12544 0.20759 0.78652 0.49800
4.56250 0.14721 0.04663 0.00000 1.17778 0.19263
4.56000 0.32421 0.04323 0.20000 2.08333 0.76092
2.00000 0.13709 0.04021 0.20759 1.77966 0.55401
6.55738 0.10461 0.15315 0.41232 0.81121 0.14960
2.85714 0.35920 0.09246 0.12559 1.69271 0.62444
4.00000 0.23335 0.05971 0.73864 0.95000 0.41217
4.00000 0.29084 0.13792 0.19995 1.11111 0.32020
4.69809 0.13859 0.04387 0.00000 0.84667 0.19799
4.00000 0.18588 0.05414 0.12047 0.82812 0.33729
2.85714 0.31616 0.03225 0.00000 2.50000 1.03237
4.00000 0.22752 0.02783 0.52760 1.75000 0.66824
4.00000 0.20693 0.04168 0.03201 1.85185 0.45290
4.00000 0.27284 0.15335 0.38003 1.38889 0.31767
2.00000 0.06200 0.15337 0.59912 1.17187 0.38897
2.25000 0.40365 0.10725 0.10450 1.51323 0.69031
3.00493 0.29103 0.12422 0.00000 1.33684 0.34018
4.00000 0.29084 0.13792 0.19995 1.11111 0.32020
4.49836 0.33805 0.06971 0.10139 0.79167 0.36058
4.70000 0.39202 0.08935 0.46170 2.66667 0.50219
4.70000 0.26135 0.06701 0.42785 2.66667 0.48527
8.00000 0.34793 0.07308 0.09056 0.66146 0.20229
4.49836 0.33805 0.06971 0.10139 0.79167 0.36058
4.56000 0.08105 0.08646 0.30000 1.04167 0.27718
3.00000 0.21736 0.06894 0.10552 1.51515 0.47661
1.99125 0.27023 0.05807 0.30689 1.05263 0.71435
2.00000 0.09264 0.06110 0.34991 1.33333 0.66775
2.25000 0.31691 0.08420 0.08204 1.51323 0.67396
3.50000 0.38998 0.10164 0.15567 1.37566 0.52977
3.00000 0.21736 0.06894 0.10552 1.51515 0.47661
5.49508 0.19140 0.07359 0.27776 1.33333 0.31530
3.82787 0.35472 0.05462 0.23244 2.30556 0.72960
3.00219 0.21409 0.08002 0.31039 1.78947 0.54525
4.70000 0.39202 0.08776 0.23073 1.91919 0.48658
6.55738 0.11304 0.03442 0.26407 1.91740 0.37956
