% gamma kappa eta1 sig lam mup sigp rsmax alpha alpha1 alpha2 betam1 n kappa_k res_min
0.67293 1.09768 0.69351 0.47225 0.42841 1.69641 0.74409 0.64490 0.00003 4.04678 1.97938 0.00481 2.05993 0.74043 0.03786
1.83296 0.97656 1.83049 0.45665 0.57029 1.06896 1.17070 0.97682 0.00127 4.52736 1.08317 0.00311 9.32452 0.46392 0.05143
1.69176 1.00245 1.50773 0.23838 0.30685 8.14205 0.05836 0.99276 0.03226 0.59444 0.01478 0.01515 3.49145 0.40701 0.08043
1.34768 1.06572 0.86327 0.28051 0.61531 1.34439 0.47851 0.65825 0.01039 3.75591 0.26498 0.00555 3.55362 0.33668 0.06186
0.91298 0.99747 1.42900 0.46589 0.33976 0.11565 1.20365 0.99874 0.00307 0.88585 1.87692 0.00231 3.94507 0.63878 0.03972
1.79616 0.94851 0.92745 0.34529 0.28427 2.32464 0.97790 0.56956 0.00541 8.99656 0.19464 0.00182 3.98811 0.23038 0.03244
1.25144 0.95992 0.77052 0.41889 0.37026 1.43596 0.71060 0.61358 0.00273 6.00496 0.07381 0.01051 9.22383 0.11614 0.02513
1.79676 0.94907 1.81078 0.27522 0.37132 0.70705 0.28501 0.65146 0.00435 4.83906 0.46177 0.01939 5.93768 0.69136 0.06350
1.47546 1.04456 1.07992 0.35622 0.10681 1.50149 0.23729 0.29876 0.01249 1.49119 0.39396 0.01268 1.62213 2.98590 0.05710
1.10496 1.08148 0.89482 0.42757 0.57606 1.11128 0.60446 0.94667 0.00015 8.39861 0.47392 0.00250 6.37635 0.22920 0.05830
1.70037 1.01927 1.14232 0.94583 0.25611 1.36542 0.36406 0.79702 0.00041 9.39998 1.97098 0.01449 4.45922 4.29564 0.05111
0.37950 0.97384 1.44696 0.37479 0.61597 1.67274 0.18878 0.71181 0.00000 8.89443 1.45246 0.00284 5.18294 1.99307 0.09282
1.92729 1.00651 1.94175 0.63449 0.58351 1.25370 0.69420 0.94268 0.00006 6.51531 0.04537 0.00219 2.90802 1.33029 0.03907
1.02298 1.00963 1.72431 0.73859 0.79833 0.77002 0.55564 0.87100 0.00051 0.71047 1.97663 0.00365 2.68542 1.00260 0.05222
1.28171 1.06503 1.75180 0.63635 0.36912 1.09179 0.25088 0.61192 0.00042 6.90960 1.72005 0.01240 3.20982 0.87793 0.05238
0.51079 1.05099 1.14327 0.60050 0.60417 1.47059 0.27334 0.83835 0.00137 6.52477 0.01345 0.00616 6.67803 0.69303 0.05306
0.61482 0.96180 1.27126 0.32289 0.29609 1.50242 0.77862 0.65415 0.00472 9.41191 0.48097 0.00393 2.93438 0.90805 0.06033
0.32500 0.94113 1.36639 0.48435 0.57674 1.77256 0.13582 0.64346 0.00026 6.65605 0.42409 0.00081 1.90173 0.77251 0.04249
