% gamma kappa eta1 sig lam mup sigp rsmax alpha alpha1 alpha2 betam1 n kappa_k res_min
0.32323 1.03172 0.92638 0.14396 0.09301 2.06673 1.23618 0.70950 0.00192 4.03894 0.07557 0.04766 3.58215 0.18124 0.03535
0.39665 1.08591 1.88251 0.16219 0.12035 4.55434 2.30146 0.96439 0.00059 1.82605 0.43510 0.03705 1.22053 2.34666 0.03741
0.53676 0.97922 1.39008 0.51401 0.56997 0.25885 0.45564 0.22664 0.02041 0.41249 0.19998 0.01000 7.25516 0.45812 0.05132
0.91395 0.95172 1.47450 0.83790 0.44171 0.16887 0.92549 0.57554 0.03074 0.26259 0.46662 0.00478 1.38053 2.87940 0.03739
0.50301 1.08773 1.02896 0.14980 0.24911 6.58067 7.33340 0.45435 0.00009 0.29581 0.52061 0.04239 2.69672 2.50214 0.03835
0.21195 1.09178 1.29277 0.31730 0.19726 0.69045 0.08094 0.78845 0.00019 8.19031 1.42047 0.01604 2.60698 3.00469 0.04762
0.28017 0.94069 1.62209 0.37469 0.22903 1.56306 0.79059 0.57778 0.01654 4.59123 0.60532 0.00970 2.59230 0.57872 0.02923
1.96760 1.07257 1.52818 0.21613 0.19742 6.70228 5.04159 0.99180 0.00062 0.36401 0.20520 0.02038 4.33775 0.24906 0.05490
0.19077 0.92048 1.52832 0.11232 0.28947 6.82592 4.62411 0.89735 0.04473 1.36783 0.31200 0.02805 2.17575 0.52089 0.06176
0.82736 1.06042 0.99066 0.53742 0.87987 6.89442 6.15601 0.63443 0.00150 0.15951 0.83283 0.00335 4.67411 3.16885 0.08227
1.95850 0.92440 1.66337 0.60923 0.92891 8.95614 0.67197 0.99565 0.04855 0.51706 0.01145 0.00671 3.58637 0.28377 0.07619
1.08125 1.01219 1.40055 0.72571 0.47128 1.60418 2.10611 0.92697 0.00118 7.44671 0.18695 0.00685 7.18280 2.49401 0.06369
1.38541 1.01360 1.75989 0.21723 0.29501 3.20789 1.42183 0.84486 0.03011 0.17677 1.37628 0.04995 3.51706 0.20392 0.04679
0.15492 0.98613 1.24806 0.27283 0.32010 4.03313 0.01627 0.18695 0.01993 8.21527 1.61658 0.03040 4.91095 1.35693 0.10438
0.72670 0.96689 1.11907 0.29869 0.26060 2.73697 6.93725 0.78436 0.00176 0.73030 0.50897 0.04638 2.77971 1.61403 0.03219
0.17305 1.04659 1.87333 0.23820 0.13512 3.81912 1.78845 0.90974 0.00016 9.87465 0.84455 0.02903 1.40295 0.77082 0.04617
0.10264 0.98667 1.86589 0.12224 0.19375 8.46090 5.79154 0.96417 0.00039 1.75621 0.25995 0.03818 1.21952 0.86352 0.04070
0.54030 1.01131 1.68415 0.23075 0.19618 1.09475 1.23593 0.67466 0.03075 4.40370 0.07216 0.02903 5.85037 0.38431 0.07659
1.56337 1.05473 0.99496 0.14737 0.07399 1.97214 7.56650 0.99006 0.00127 0.64214 0.06545 0.04448 4.21865 0.38625 0.05251
1.72286 1.07244 0.55475 0.16576 0.15245 1.61167 1.97347 0.98402 0.00025 5.20336 1.63324 0.04151 2.23650 0.22492 0.06059
0.93097 1.04464 1.15089 0.15038 0.11253 3.95459 2.48288 0.99683 0.00197 1.05166 0.05563 0.01107 3.62777 0.19128 0.05302
0.55395 1.07589 1.85517 0.63070 0.22905 1.40578 0.21010 0.65838 0.00386 7.80900 0.51322 0.02255 3.81250 0.76378 0.07465
0.16696 0.90218 1.85676 0.17693 0.40423 3.16111 7.50456 0.97599 0.01148 9.92374 0.69141 0.00254 3.68119 1.41463 0.07318
0.99605 1.01851 0.66660 0.36728 0.12933 0.96556 0.78901 0.66703 0.00318 2.32916 1.99796 0.00272 2.25820 0.38454 0.06665
1.61364 1.09757 1.21956 0.13472 0.16361 4.96618 1.12024 0.99226 0.00038 0.31537 0.03209 0.03452 3.79816 0.57979 0.05063
1.26225 1.07762 1.80298 0.40894 0.55920 0.48774 0.46421 0.95278 0.00093 5.56116 1.68855 0.00505 3.58752 0.38922 0.04100
0.24244 1.05325 0.92881 0.38261 0.14595 4.55089 0.26412 0.98576 0.00015 9.61887 1.67180 0.00316 3.12457 4.25198 0.04861
0.33800 1.02424 1.83978 0.14759 0.09165 1.24648 1.36112 0.98868 0.00091 7.29100 0.11541 0.04633 2.68659 0.28146 0.04124
0.83845 1.09557 0.73846 0.29644 0.11805 0.89469 1.22493 0.37925 0.01313 1.73443 0.06094 0.00806 1.08272 0.31660 0.04606
0.12039 1.08973 1.29460 0.14222 0.22153 3.53716 2.53391 0.99001 0.02061 9.24442 1.86313 0.03035 1.06372 0.24931 0.08755
1.61511 0.93743 1.46760 0.19875 0.36305 2.22737 0.85349 0.89518 0.02423 3.79104 0.07635 0.00074 6.29858 0.15604 0.05467
1.70223 1.09645 0.54773 0.17638 0.11533 1.76214 2.95688 0.99094 0.00126 1.46962 0.79245 0.04095 2.89945 0.57268 0.05263
0.12380 0.99555 1.98907 0.18597 0.05125 0.79373 0.09497 0.64741 0.00001 9.76776 0.90194 0.02900 3.10227 0.94511 0.06493
0.20516 1.07644 1.32489 0.43952 0.29568 1.50720 0.80097 0.82841 0.00013 7.90106 1.84020 0.00415 1.03016 1.46681 0.06281
0.91038 1.03592 1.72682 0.79504 0.08872 0.83795 0.83529 0.88552 0.00124 6.50680 0.40163 0.00603 2.96800 2.84026 0.07311
1.19272 0.90051 1.89173 0.60723 0.59987 9.46492 8.88038 0.16602 0.00175 0.03318 0.80873 0.01319 3.75137 1.34743 0.09672
1.57822 1.00845 1.20029 0.29945 0.58438 0.19657 0.16131 0.60496 0.00139 3.30529 0.65189 0.02433 8.70866 0.33442 0.06448
0.17854 1.02774 1.70324 0.02947 0.09528 1.98334 1.47071 0.73324 0.01883 3.45402 0.04084 0.02937 2.22103 0.26556 0.03909
0.15162 1.07062 1.38574 0.26432 0.24229 4.81193 2.79079 0.98787 0.00013 4.69515 1.83680 0.01821 8.01895 0.90090 0.04864
0.33806 0.92775 1.60526 0.31125 0.29095 0.53048 1.41528 0.84519 0.00390 2.19819 1.55616 0.00031 2.06260 0.42463 0.04842
0.15248 0.96427 1.48079 0.13698 0.11067 3.25962 2.09422 0.81912 0.02292 6.15543 0.10467 0.01402 1.91898 1.45913 0.03778
0.65771 0.99488 1.92398 0.43827 0.64046 2.41605 0.38460 0.58767 0.00472 9.60796 0.57042 0.00707 2.68768 1.26200 0.10453
0.11779 0.90398 1.96213 0.31618 0.51634 3.61898 7.32098 0.01256 0.02109 8.48836 1.63250 0.04196 6.44181 1.50273 0.09342
0.39074 0.90686 1.80254 0.34029 0.27103 0.10902 0.57376 0.92707 0.02432 2.64686 0.27543 0.00854 4.15486 0.62675 0.03512
0.27604 1.09934 1.03333 0.13156 0.08957 5.76127 6.75315 0.96533 0.00004 1.67077 0.37848 0.00531 1.85436 2.03708 0.04489
0.41042 0.98680 1.52580 0.37021 0.12499 4.77850 3.58685 0.74094 0.00010 1.12856 0.88970 0.00685 5.53768 3.66306 0.03409
0.63332 1.06051 0.80239 0.49119 0.11340 3.00952 0.89656 0.71427 0.00498 4.31140 1.64101 0.01965 1.00313 1.98968 0.05774
