% ar lrr srr alr sdr smr
1.09091 0.47500 0.06908 0.23130 0.97222 1.62520
1.63636 0.46080 0.03264 0.00000 2.08333 1.61706
1.09091 0.51803 0.00000 0.25225 2.00000 3.58513
1.63636 0.47262 0.03348 0.11602 2.08333 1.53631
2.00000 0.40764 0.02279 0.00000 1.66667 1.40602
1.09091 0.64994 0.04962 0.11868 1.38889 2.49880
1.09091 0.47414 0.03359 0.23278 2.08333 2.24081
2.00000 0.14601 0.03890 0.19249 1.32812 0.83741
3.22222 0.37402 0.01008 0.08945 8.02105 1.52396
3.22222 0.50973 0.03901 0.15123 5.34737 1.16487
3.00000 0.26227 0.11910 0.70123 1.33333 0.44375
2.00000 0.43195 0.03633 0.00000 2.22222 1.17473
1.50000 0.28878 0.00000 0.00000 2.00000 2.30349
2.00000 0.47946 0.02931 0.19988 1.66667 1.29327
2.93160 0.12257 0.01642 0.05456 2.08333 0.50540
1.25000 0.32226 0.01638 0.44519 2.67917 2.07095
1.10976 0.31570 0.05446 0.26966 2.47222 1.81765
2.87213 0.36112 0.03316 0.11427 3.35979 1.09930
2.87213 0.46489 0.06092 0.14711 2.35450 0.94929
1.49918 0.08010 0.01666 0.05737 1.98438 0.55652
2.00000 0.44862 0.03727 0.00000 1.11111 1.19276
2.87213 0.46489 0.06092 0.14711 2.35450 0.94929
1.09091 0.51984 0.00000 0.12657 2.00000 4.06825
1.09091 0.47349 0.06886 0.11528 0.97222 1.60667
2.66667 0.37230 0.01742 0.00000 7.12982 1.37074
1.09091 0.47111 0.03337 0.11565 2.08333 2.30326
3.00000 0.26227 0.11910 0.70123 1.33333 0.44375
2.00000 0.19083 0.00390 0.00206 3.45578 0.98936
3.22222 0.36454 0.02506 0.26208 5.34737 1.13921
2.00000 0.48597 0.02228 0.00000 2.22222 1.62811
1.25000 0.33442 0.01700 0.18441 2.67917 2.25341
2.50000 0.40676 0.02239 0.09999 1.66667 1.22437
2.87213 0.36112 0.03316 0.07126 3.35979 1.09309
1.50000 0.22380 0.19459 0.35000 0.60606 0.51908
1.50000 0.48783 0.05404 0.09989 0.83333 1.35170
1.09091 0.48746 0.04962 0.23736 1.38889 1.94146
2.87213 0.36329 0.06620 0.11496 1.69312 0.76282
2.00000 0.45152 0.01791 0.00000 3.66667 1.66957
3.22222 0.25172 0.01064 0.28366 8.02105 1.10202
2.00000 0.41772 0.02300 0.10007 1.66667 1.33616
1.63636 0.47414 0.00000 0.11639 2.00000 2.62531
1.00000 0.16347 0.19037 0.24754 0.61798 0.48998
1.50000 0.40558 0.01675 0.09993 2.22222 1.93209
1.50000 0.46352 0.02568 0.00000 1.66667 1.95999
1.49836 0.37675 0.01222 0.10354 5.83333 2.21340
2.00000 0.49951 0.06108 0.19991 0.83333 0.96807
3.22222 0.50973 0.03901 0.60514 5.34737 1.02457
2.00000 0.32850 0.05022 0.15301 1.51515 0.98508
3.22222 0.19393 0.00819 0.07270 8.02105 1.00833
2.00000 0.42151 0.03343 0.00000 1.83333 1.20505
1.09091 0.53480 0.02722 0.26042 2.77778 2.53102
2.87213 0.36329 0.06620 0.11496 1.69312 0.76282
2.00000 0.35798 0.27635 0.89973 1.33333 0.32515
1.99125 0.34905 0.04937 0.08487 1.40351 0.83681
2.00000 0.24055 0.02207 0.00000 1.66667 0.84896
3.22222 0.36454 0.00983 0.26208 8.02105 1.42510
2.50000 0.38756 0.02147 0.00000 1.66667 1.26346
2.00000 0.23185 0.04692 0.14297 1.51515 0.80426
1.50000 0.29754 0.13339 0.61628 1.94444 0.75874
2.00000 0.24957 0.03159 0.10379 1.58120 0.78562
1.99125 0.69368 0.15290 0.14806 0.59055 0.71532
2.00000 0.45949 0.05014 0.19996 1.66667 1.01726
2.57825 0.15178 0.02408 0.00000 2.35185 0.45835
3.22222 0.37402 0.01008 0.08945 8.02105 1.52396
