,id,name,type,testcf,pd,ft,axl,diam,l,fpc,fyl,fsul,fyt,fsut,dlb,nlb,cc,dsp,s,ar,lrr,srr,alr,sdr,smr
0,254,"Davey 1975, No. 1",0,Cantilever with Hammer Head,Feff provided,0,380.0,500.0,2750.0,33.2,373.0,564.0,312.0,0,18.4,20.0,20.2,6.5,65.0,0.18181818181818182,0.3042960963855421,0.010830592738562177,0.058292894819200226,0.3532608695652174,0.4294391247424021
1,255,"Davey 1975, No. 2",0,Cantilever with Hammer Head,Feff provided,0,380.0,500.0,1750.0,34.8,371.0,562.0,312.0,0,18.4,20.0,20.2,6.5,65.0,0.2857142857142857,0.2887488735632184,0.010578684023220614,0.05561276172406458,0.3532608695652174,0.5283890120372289
2,256,"Davey 1975, No. 3",0,Cantilever with Hammer Head,Feff provided,0,380.0,500.0,3250.0,33.8,373.0,563.0,342.0,0,18.4,20.0,20.2,6.5,65.0,0.15384615384615385,0.29889439053254435,0.01176615131422704,0.057258109704066494,0.3532608695652174,0.3690104172266724
3,257,"Munro et al. 1976, No. 1",0,Cantilever with Hammer Head,Feff provided,0,26.4,500.0,2730.0,40.0,305.0,411.0,389.0,0,18.4,20.0,20.2,8.0,34.0,0.18315018315018314,0.20652159999999994,0.018635435207297973,0.00336135239810083,0.4347826086956522,0.11561458849614054
4,258,"Ng et al. 1978, No. 2",0,Cantilever with Hammer Head,Feff provided,0,16.9,250.0,1340.0,35.1,305.0,411.0,263.0,0,13.0,10.0,10.8,4.4,14.0,0.1865671641791045,0.23496296296296298,0.016474617649673673,0.009808660196478289,0.3384615384615385,0.12380991462724546
5,259,"Ng et al. 1978, No. 3",0,Cantilever with Hammer Head,Feff provided,0,550.0,250.0,930.0,33.0,294.0,396.0,207.0,0,12.0,10.0,10.2,4.3,10.0,0.26881720430107525,0.20526545454545456,0.012638819723107993,0.33953054526271004,0.35833333333333334,0.3196310056969385
6,260,"Ang et al. 1981, No. 1",0,Double Ended,Shear provided,0,680.0,400.0,1600.0,26.0,308.0,465.0,308.0,0,16.0,16.0,16.0,6.0,40.0,0.25,0.3032615384615384,0.01605724027064763,0.2081256948124785,0.375,0.41679431112184095
7,261,"Ang et al 1981, No. 2",0,Double Ended,Shear provided,0,2111.0,400.0,1600.0,28.5,308.0,465.0,280.0,0,16.0,16.0,18.0,10.0,55.0,0.25,0.276659649122807,0.03958519913701158,0.5894317278368264,0.625,0.35315042005629926
8,262,"Potangaroa et al. 1979, No. 1",0,Double Ended,Shear provided,0,1920.0,600.0,1200.0,28.4,303.0,409.0,300.0,0,24.0,16.0,25.0,10.0,75.0,0.5,0.27312676056338026,0.01860958574481326,0.23910601779064086,0.4166666666666667,0.6022991727022895
9,263,"Potangaroa et al. 1979, No. 3",0,Double Ended,Shear provided,1,4300.0,600.0,1200.0,26.6,303.0,409.0,300.0,0,24.0,16.0,25.0,10.0,50.0,0.5,0.29160902255639093,0.019228927297425154,0.5717345491187551,0.4166666666666667,0.5394903375974002
10,264,"Potangaroa et al. 1979, No. 4",0,Double Ended,Shear provided,0,3785.0,600.0,1200.0,32.9,303.0,409.0,423.0,0,24.0,16.0,25.0,10.0,70.0,0.5,0.2357689969604863,0.024379064670092068,0.40689055022142784,0.4166666666666667,0.5801514935746354
11,265,"Potangaroa et al. 1979, No. 5A",0,Double Ended,Shear provided,0,3385.0,600.0,1200.0,32.5,307.0,414.0,280.0,0,24.0,16.0,28.0,16.0,55.0,0.5,0.24182153846153845,0.042487239689613876,0.36836887683149794,0.6666666666666666,0.3984847181782266
12,266,"Potangaroa et al. 1979, No. 5B",0,Double Ended,Shear provided,0,6770.0,600.0,1200.0,32.5,307.0,414.0,280.0,0,24.0,16.0,28.0,16.0,55.0,0.5,0.24182153846153845,0.042487239689613876,0.7367377536629959,0.6666666666666666,0.37436140554609665
13,267,"Ang et al. 1985, No. 1",0,Cantilever with Flexible Base,Shear provided,1,0.0,400.0,800.0,37.5,436.0,674.0,328.0,0,16.0,20.0,18.0,6.0,60.0,0.5,0.37205333333333335,0.014553181420713969,0.0,0.375,0.7243750499280002
