Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, gamma, kappa, eta1, sig, lam, mup, sigp, rsmax, alpha, alpha1, alpha2, betam1, n, kappa_k, res_min, gamma.median, kappa.median, eta1.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, alpha.median, alpha1.median, alpha2.median, betam1.median, n.median, kappa_k.median, res_min.median, gamma.q5, kappa.q5, eta1.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, n.q5, kappa_k.q5, res_min.q5, gamma.q95, kappa.q95, eta1.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, n.q95, kappa_k.q95, res_min.q95, gamma.var, kappa.var, eta1.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, alpha.var, alpha1.var, alpha2.var, betam1.var, n.var, kappa_k.var, res_min.var, gamma.q5_w_mnoise, kappa.q5_w_mnoise, eta1.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, n.q5_w_mnoise, kappa_k.q5_w_mnoise, res_min.q5_w_mnoise, gamma.q95_w_mnoise, kappa.q95_w_mnoise, eta1.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, n.q95_w_mnoise, kappa_k.q95_w_mnoise, res_min.q95_w_mnoise, gamma.var_w_mnoise, kappa.var_w_mnoise, eta1.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, n.var_w_mnoise, kappa_k.var_w_mnoise, res_min.var_w_mnoise
1, 4.7, 0.39202, 0.08935, 0.4617, 2.6667, 0.50219, 0.91433, 1.0239, 1.9297, 0.57232, 0.74553, 1.7294, 0.12379, 0.83408, 4e-05, 4.6123, 1.9519, 0.01053, 1.7727, 0.86094, 0.06771, 1.5945, 1.0219, 1.3745, 0.49249, 0.41614, 1.0761, 1.079, 0.75235, 0.0051876, 6.6833, 0.6419, 0.004459, 2.7496, 1.4123, 0.059891, 1.4364, 0.98481, 1.2167, 0.33136, 0.23366, -0.16844, -0.29595, 0.61172, -0.003474, 5.1182, 0.17003, 0.0018875, 1.2973, 0.97288, 0.050123, 1.7526, 1.059, 1.5323, 0.65362, 0.59863, 2.3207, 2.4539, 0.89297, 0.013849, 8.2484, 1.1138, 0.0070304, 4.2019, 1.8517, 0.069659, 0.0092411, 0.00050823, 0.0092053, 0.0095961, 0.012308, 0.57251, 0.69871, 0.0073094, 2.773e-05, 0.90538, 0.082299, 2.444e-06, 0.77956, 0.07137, 3.5264e-05, 1.0796, 0.93073, 0.79029, 0.19206, 0.11609, -1.5518, -1.5085, 0.46141, -0.0083519, 2.9982, -0.40982, -0.00021803, -0.50578, 0.3521, 0.037863, 2.1094, 1.1131, 1.9587, 0.79293, 0.7162, 3.704, 3.6665, 1.0433, 0.018727, 10.368, 1.6936, 0.009136, 6.005, 2.4725, 0.081919, 0.098005, 0.0030717, 0.12614, 0.033361, 0.033278, 2.5525, 2.4746, 0.031286, 6.7757e-05, 5.0192, 0.40884, 8.085e-06, 3.9169, 0.41546, 0.00017934
2, 2, 0.09264, 0.04073, 0.34991, 2, 0.79893, 0.56615, 1.098, 1.1462, 0.2966, 0.42366, 0.74537, 2.0915, 0.90745, 0.01102, 3.9385, 1.9587, 0.02522, 1.3313, 1.0788, 0.06602, 0.60596, 1.024, 1.2239, 0.46104, 0.51402, 2.4243, 1.0009, 0.6223, 0.0058972, 3.5841, 1.1783, 0.020738, 3.3756, 1.5903, 0.071123, 0.44938, 0.98884, 1.0407, 0.34844, 0.37518, 1.4447, -0.56214, 0.52, -0.0030489, 2.4647, 0.84465, 0.01605, 2.0851, 1.2658, 0.061273, 0.76254, 1.0591, 1.407, 0.57364, 0.65286, 3.4038, 2.564, 0.7246, 0.014843, 4.7035, 1.5119, 0.025427, 4.666, 1.9148, 0.080972, 0.0090617, 0.00045651, 0.012397, 0.0046863, 0.0071249, 0.35466, 0.90302, 0.003868, 2.9581e-05, 0.46318, 0.041141, 8.1248e-06, 0.61551, 0.038922, 3.5858e-05, 0.30843, 0.93359, 0.46943, 0.18342, 0.23832, -3.2856, -1.7734, 0.42141, -0.0087628, 1.3619, 0.66629, 0.015749, 0.29471, 0.89477, 0.049058, 0.9035, 1.1144, 1.9783, 0.73866, 0.78972, 8.1342, 3.7752, 0.82319, 0.020557, 5.8063, 1.6903, 0.025728, 6.4564, 2.2858, 0.093187, 0.032721, 0.00302, 0.21038, 0.028486, 0.028094, 12.05, 2.8448, 0.014916, 7.9435e-05, 1.8251, 0.096886, 9.2002e-06, 3.5083, 0.17881, 0.00017994
3, 2, 0.09264, 0.05925, 0.34991, 2, 0.67782, 0.3795, 0.97384, 1.447, 0.37479, 0.61597, 1.6727, 0.18878, 0.71181, 0, 8.8944, 1.4525, 0.00284, 5.1829, 1.9931, 0.09282, 0.67807, 1.0454, 1.1712, 0.46503, 0.46569, 1.5564, 1.363, 0.69462, 0.0066359, 1.9961, 1.5041, 0.011914, 2.9924, 1.3949, 0.056793, 0.52971, 1.0118, 1.0086, 0.35394, 0.32401, 0.41154, -0.30425, 0.60101, -0.0023206, 0.94093, 1.2178, 0.0059839, 1.7153, 1.1035, 0.046944, 0.82644, 1.0791, 1.3338, 0.57611, 0.60738, 2.7012, 3.0302, 0.78824, 0.015592, 3.0512, 1.7904, 0.017845, 4.2696, 1.6863, 0.066641, 0.0081359, 0.00041853, 0.0097691, 0.004561, 0.00742, 0.48443, 1.0274, 0.0032392, 2.9649e-05, 0.4115, 0.03029, 1.2999e-05, 0.6029, 0.031385, 3.585e-05, 0.38577, 0.95559, 0.42115, 0.18855, 0.18855, -4.2765, -1.4722, 0.43853, -0.0080302, -0.18681, 0.81864, 0.0057484, -0.083427, 0.52548, 0.034729, 0.97037, 1.1352, 1.9212, 0.7415, 0.74284, 7.3893, 4.1982, 0.95071, 0.021302, 4.179, 2.1895, 0.01808, 6.0683, 2.2643, 0.078856, 0.031579, 0.002982, 0.20792, 0.028253, 0.02839, 12.575, 2.971, 0.02424, 7.9501e-05, 1.7612, 0.17366, 1.4052e-05, 3.4969, 0.27939, 0.00017993
4, 4.6981, 0.13859, 0.04387, 0, 0.84667, 0.19799, 0.88921, 0.9291, 1.1908, 0.25829, 0.22153, 0.77163, 1.44, 0.9526, 0.0001, 3.549, 0.21347, 0.00111, 4.5144, 0.42595, 0.04593, 1.0678, 1.0191, 0.98185, 0.40138, 0.44218, 0.86624, 0.78872, 0.8234, 0.0056787, 7.8464, 0.84501, 0.008767, 4.6814, 0.42696, 0.052951, 0.87801, 0.97938, 0.8637, 0.2831, 0.2872, 0.28087, -0.14657, 0.70781, -0.0025526, 6.5561, 0.47665, -0.00088519, 3.4825, 0.18662, 0.041993, 1.2576, 1.0589, 1.1, 0.51967, 0.59716, 1.4516, 1.724, 0.939, 0.01391, 9.1367, 1.2134, 0.018419, 5.8802, 0.66729, 0.06391, 0.013311, 0.00058442, 0.005159, 0.0051714, 0.0088775, 0.12665, 0.32332, 0.0049386, 2.5043e-05, 0.61534, 0.050152, 3.4435e-05, 0.53125, 0.02135, 4.4384e-05, 0.44421, 0.92686, 0.67414, 0.10663, 0.15801, -0.11912, -0.41129, 0.55207, -0.013213, 5.56, 0.10773, -0.00708, 2.5947, -0.10705, 0.030371, 1.6914, 1.1114, 1.2896, 0.69613, 0.72635, 1.8516, 1.9887, 1.0947, 0.024571, 10.133, 1.5823, 0.024614, 6.7681, 0.96096, 0.075532, 0.14372, 0.0031479, 0.034996, 0.032111, 0.029847, 0.35887, 0.53224, 0.027212, 0.00013192, 1.9323, 0.20091, 9.2819e-05, 1.6094, 0.1054, 0.00018846
5, 3, 0.21736, 0.06894, 0.10552, 1.5151, 0.47661, 0.74171, 0.94301, 1.3895, 0.55727, 0.71059, 0.38427, 0.76941, 0.96923, 0.00379, 0.66814, 1.0175, 0.00081, 5.0321, 0.81487, 0.04569, 0.68593, 0.99073, 1.2907, 0.42923, 0.478, 1.8869, 1.5552, 0.71087, 0.0098977, 5.2611, 0.71861, 0.0063969, 5.3853, 0.66578, 0.044916, 0.56815, 0.95927, 1.1648, 0.36414, 0.38871, 1.348, 0.33914, 0.63575, 0.0026558, 4.2409, 0.41119, 0.0018036, 4.5529, 0.49526, 0.039336, 0.80372, 1.0222, 1.4166, 0.49432, 0.5673, 2.4258, 2.7712, 0.78598, 0.01714, 6.2813, 1.026, 0.01099, 6.2178, 0.8363, 0.050495, 0.0051276, 0.00036573, 0.0058582, 0.001566, 0.0029472, 0.10733, 0.54657, 0.0020856, 1.9385e-05, 0.38468, 0.034932, 7.7981e-06, 0.25613, 0.010747, 1.1508e-05, -0.0065279, 0.90171, 0.18942, 0.18271, 0.22363, -1.9851, -1.1989, 0.29942, -0.0027513, -2.2825, -0.44757, -0.00084322, 1.6423, -0.80485, 0.024398, 1.3784, 1.0798, 2.3919, 0.67575, 0.73238, 5.7589, 4.3093, 1.1223, 0.022547, 12.805, 1.8848, 0.013637, 9.1284, 2.1364, 0.065433, 0.17723, 0.0029292, 0.44825, 0.022462, 0.023917, 5.5415, 2.8035, 0.06257, 5.9137e-05, 21.033, 0.50267, 1.9375e-05, 5.1784, 0.79938, 0.00015559
6, 4.7, 0.39202, 0.08776, 0.4617, 1.9192, 0.50804, 1.5421, 1.0088, 1.2675, 0.45474, 0.55807, 1.3595, 0.79097, 0.64892, 0.00092, 6.793, 0.19369, 0.0047, 3.7576, 0.65062, 0.07239, 1.5579, 1.0254, 1.4237, 0.55161, 0.5988, 0.92372, 0.81845, 0.80822, 0.0034068, 6.2751, 0.66554, 0.0070895, 2.2529, 1.2282, 0.057944, 1.4015, 0.98897, 1.2708, 0.43142, 0.46685, 0.014214, -0.44666, 0.70153, -0.0037097, 4.774, 0.2637, 0.003825, 1.1142, 0.92728, 0.048746, 1.7144, 1.0618, 1.5765, 0.6718, 0.73075, 1.8332, 2.0836, 0.91491, 0.010523, 7.7761, 1.0674, 0.010354, 3.3917, 1.5291, 0.067143, 0.0090469, 0.00049056, 0.0086388, 0.0053393, 0.0064355, 0.30574, 0.59157, 0.0042071, 1.8719e-05, 0.83275, 0.059682, 3.939e-06, 0.47928, 0.033466, 3.1274e-05, 1.2253, 0.9345, 0.84148, 0.27099, 0.3265, -4.102, -2.4117, 0.5313, -0.00918, 2.6156, -0.35362, 0.0032792, -0.88288, -0.24354, 0.036163, 1.8906, 1.1163, 2.0059, 0.83224, 0.8711, 5.9494, 4.0486, 1.0851, 0.015994, 9.9345, 1.6847, 0.0109, 5.3887, 2.6999, 0.079726, 0.040904, 0.0030541, 0.12528, 0.029107, 0.027405, 9.3356, 3.8564, 0.028344, 5.8557e-05, 4.9497, 0.38391, 5.3664e-06, 3.6345, 0.80056, 0.00017535
7, 1.9912, 0.72035, 0.17202, 0.33339, 0.52493, 0.68114, 1.9058, 0.94259, 1.7271, 0.44618, 0.64172, 0.62552, 0.28503, 0.92724, 9e-05, 7.9959, 1.242, 0.00031, 8.6038, 0.48195, 0.03036, 1.1144, 0.98241, 1.4241, 0.36682, 0.43551, 3.3152, 1.3256, 0.68519, 0.0064042, 5.6115, 0.71938, 0.0092495, 4.3151, 0.77764, 0.050437, 0.74429, 0.93331, 1.2003, 0.20371, 0.18046, 1.1095, -0.44595, 0.52556, -0.0025931, 2.9325, 0.23864, -0.0040707, 2.4087, 0.02798, 0.030602, 1.4845, 1.0315, 1.6479, 0.52992, 0.69057, 5.5209, 3.0972, 0.84482, 0.015402, 8.2905, 1.2001, 0.02257, 6.2215, 1.5273, 0.070272, 0.05063, 0.00089107, 0.018505, 0.0098333, 0.024044, 1.7982, 1.16, 0.0094184, 2.9921e-05, 2.6527, 0.08542, 6.5579e-05, 1.3433, 0.20772, 0.00014541, 0.46449, 0.88573, 0.77633, 0.065053, 0.086534, 0.44461, -1.1739, 0.39788, -0.0082411, 1.351, -0.10171, -0.0060808, 1.0629, -0.33286, 0.022451, 1.7643, 1.0791, 2.0719, 0.66858, 0.78449, 6.1858, 3.8251, 0.97249, 0.02105, 9.8721, 1.5405, 0.02458, 7.5674, 1.8881, 0.078423, 0.15612, 0.0034546, 0.15509, 0.033657, 0.045014, 3.0457, 2.3091, 0.030509, 7.9276e-05, 6.7093, 0.24918, 8.6866e-05, 3.9094, 0.45581, 0.00028949
8, 6.58, 0.15255, 0.07854, 0.20938, 1.1111, 0.17345, 1.1198, 0.94393, 1.8835, 0.37668, 0.55987, 0.40348, 0.93577, 0.84934, 0.00136, 1.2018, 1.6682, 0.00085, 3.4862, 1.9556, 0.05496, 1.0653, 1.0356, 1.0915, 0.58525, 0.49391, 1.9659, 1.0002, 0.67253, 0.0054028, 3.2849, 0.74231, 0.0075682, 6.1821, 1.3416, 0.061947, 0.90541, 0.99573, 0.97018, 0.48312, 0.34187, 1.4267, -0.62363, 0.57231, -0.0033027, 1.4612, 0.37147, -0.0024638, 4.9091, 1.1354, 0.049977, 1.2252, 1.0754, 1.2128, 0.68739, 0.64594, 2.505, 2.624, 0.77276, 0.014108, 5.1086, 1.1131, 0.0176, 7.455, 1.5478, 0.073918, 0.0094522, 0.00058621, 0.0054383, 0.0038554, 0.0085432, 0.10744, 0.97457, 0.0037129, 2.8011e-05, 1.2293, 0.05083, 3.7198e-05, 0.59893, 0.015716, 5.2966e-05, 0.2237, 0.94325, 0.49316, 0.31158, 0.21133, 1.1974, -0.82487, 0.39608, -0.0090669, 0.61754, 0.013001, -0.011113, 3.2803, 0.80232, 0.038858, 1.907, 1.1279, 1.6898, 0.85893, 0.77648, 2.7344, 2.8252, 0.94899, 0.019872, 5.9522, 1.4716, 0.02625, 9.0838, 1.8809, 0.085037, 0.26181, 0.0031497, 0.13232, 0.027683, 0.029513, 0.21828, 1.2311, 0.028249, 7.7386e-05, 2.6297, 0.19659, 0.00012899, 3.1123, 0.10749, 0.00019705
9, 6.5574, 0.1049, 0.07474, 0.41345, 0.88496, 0.25882, 0.99733, 1.0786, 0.67899, 0.7679, 0.59358, 1.6858, 0.26835, 0.50696, 0.00351, 1.9904, 0.30603, 0.03217, 2.6683, 1.047, 0.06267, 1.0496, 1.0017, 1.1422, 0.6895, 0.46752, 1.3771, 0.79839, 0.67559, 0.0042709, 5.5796, 0.77044, 0.01987, 3.101, 2.2951, 0.063509, 0.88445, 0.96393, 1.0269, 0.59433, 0.35797, 1.0183, -0.51911, 0.58435, -0.0038959, 4.5761, 0.49087, 0.013366, 2.0599, 2.1129, 0.055785, 1.2148, 1.0395, 1.2575, 0.78467, 0.57707, 1.7358, 2.1159, 0.76682, 0.012438, 6.5831, 1.05, 0.026373, 4.1421, 2.4774, 0.071234, 0.010085, 0.00052781, 0.0049125, 0.0033476, 0.0044359, 0.047572, 0.64158, 0.0030765, 2.4651e-05, 0.37221, 0.028888, 1.5633e-05, 0.40063, 0.012274, 2.2053e-05, 0.42289, 0.91027, 0.54625, 0.41832, 0.20535, 0.67604, -0.65979, 0.40296, -0.009882, 3.3621, 0.11679, 0.0053248, 0.30082, 1.8571, 0.042308, 1.6764, 1.0932, 1.7382, 0.96068, 0.7297, 2.0781, 2.2566, 0.94822, 0.018424, 7.7971, 1.4241, 0.034415, 5.9012, 2.7331, 0.08471, 0.14518, 0.0030913, 0.13128, 0.027181, 0.025406, 0.18165, 0.78591, 0.027472, 7.4034e-05, 1.8175, 0.15792, 7.8195e-05, 2.8981, 0.070903, 0.00016613
10, 6.5574, 0.11304, 0.03442, 0.26407, 1.9174, 0.37956, 0.89938, 1.0362, 0.50956, 0.56951, 0.32897, 0.59889, 1.5455, 0.52756, 0.00022, 1.3233, 0.51222, 0.02833, 2.892, 2.4425, 0.0537, 1.1426, 1.0122, 1.1315, 0.51564, 0.31686, 1.5407, 1.2331, 0.62031, 0.0061911, 3.1499, 0.77965, 0.022224, 5.9305, 2.2974, 0.052826, 1.009, 0.96993, 1.0213, 0.40958, 0.16346, 0.54532, -0.52289, 0.52191, -0.0025049, 1.3305, 0.37829, 0.014446, 4.6781, 1.9933, 0.042174, 1.2763, 1.0544, 1.2416, 0.62169, 0.47025, 2.5361, 2.989, 0.71872, 0.014887, 4.9694, 1.181, 0.030002, 7.1829, 2.6016, 0.063477, 0.0066034, 0.00065893, 0.0044844, 0.0041572, 0.0086967, 0.3662, 1.1396, 0.0035792, 2.795e-05, 1.2236, 0.059541, 2.2361e-05, 0.57976, 0.03419, 4.1931e-05, 0.82636, 0.91878, 0.53635, 0.24045, 0.033549, -3.6873, -1.6392, 0.34547, -0.0082736, 0.46085, -0.39436, 0.014238, 3.0452, 0.50733, 0.030392, 1.4589, 1.1055, 1.7266, 0.79082, 0.60017, 6.7687, 4.1053, 0.89516, 0.020656, 5.839, 1.9537, 0.030209, 8.8158, 4.0876, 0.075259, 0.036975, 0.0032224, 0.13092, 0.02799, 0.029666, 10.102, 3.0492, 0.02792, 7.7332e-05, 2.6727, 0.50944, 2.3569e-05, 3.077, 1.1844, 0.00018601
