% gamma kappa eta1 sig lam mup sigp rsmax alpha alpha1 alpha2 betam1 n kappa_k res_min
0.79241 1.06222 0.55011 0.45916 0.34690 1.34537 1.14207 0.89835 0.02138 6.06313 0.12965 0.02151 9.47214 1.01245 0.05454
1.43369 1.02868 1.89492 0.52544 0.54351 1.18880 0.77789 0.84091 0.00056 5.85791 0.53773 0.00393 4.27660 0.56305 0.03475
0.67293 1.09768 0.69351 0.47225 0.42841 1.69641 0.74409 0.64490 0.00003 4.04678 1.97938 0.00481 2.05993 0.74043 0.03786
1.11983 0.94393 1.88347 0.37668 0.55987 0.40348 0.93577 0.84934 0.00136 1.20182 1.66820 0.00085 3.48623 1.95563 0.05496
1.44815 1.06844 1.35310 0.33881 0.35513 0.67187 0.91657 0.54195 0.00016 4.92341 1.82466 0.00566 1.47608 1.53802 0.08741
0.87060 1.07396 0.64377 0.86394 0.58756 2.24668 0.40053 0.66611 0.00057 9.96497 0.31629 0.01586 3.40833 2.16091 0.08053
1.90577 0.94259 1.72708 0.44618 0.64172 0.62552 0.28503 0.92724 0.00009 7.99586 1.24196 0.00031 8.60376 0.48195 0.03036
1.62193 1.04061 0.62635 0.57732 0.38073 1.46342 0.56523 0.51450 0.00115 2.87914 0.18924 0.02803 6.92761 0.79508 0.06654
0.73949 1.00921 0.86216 0.93199 0.77681 7.97943 0.82890 0.29245 0.04211 0.43637 0.14439 0.03026 4.91985 0.21217 0.04551
0.29321 0.99178 1.58485 0.62031 0.81081 1.47575 0.09100 0.94676 0.00034 9.00696 0.68064 0.00006 6.44180 2.88068 0.04967
0.13438 0.93988 1.08170 0.31714 0.31770 1.18791 0.76344 0.69657 0.00011 5.12241 0.31644 0.00142 2.33968 1.03284 0.02895
1.10496 1.08148 0.89482 0.42757 0.57606 1.11128 0.60446 0.94667 0.00015 8.39861 0.47392 0.00250 6.37635 0.22920 0.05830
0.57076 1.06716 1.07821 0.82847 0.78171 1.29258 0.89715 0.93874 0.00121 6.80800 0.53455 0.03190 8.36569 2.96768 0.08395
1.12998 0.90813 1.94775 0.24687 0.60602 1.24047 2.79743 0.96518 0.01350 1.36034 0.50724 0.00110 3.84215 0.47801 0.06581
1.64495 0.95325 1.50687 0.32566 0.31955 0.06911 2.02566 0.63946 0.00364 2.51141 0.56838 0.01210 2.31611 2.12918 0.07620
0.96552 1.08557 0.55059 0.33942 0.42883 1.30767 0.47894 0.60757 0.00495 7.95257 1.68125 0.01629 4.18651 0.43928 0.07077
0.49934 1.06328 1.20886 0.51208 0.61336 3.27398 0.87046 0.80291 0.00028 3.33335 1.60873 0.04241 1.54587 3.57704 0.05423
1.40906 1.00249 0.86134 0.61691 0.12588 1.07396 1.20085 0.61036 0.00308 3.54896 0.76437 0.01066 1.44629 1.79699 0.05289
0.30551 1.06016 1.94059 0.41516 0.16556 2.20033 0.82535 0.80990 0.00011 8.64586 1.89656 0.00110 1.38101 0.93641 0.05191
1.54207 1.00884 1.26748 0.45474 0.55807 1.35950 0.79097 0.64892 0.00092 6.79298 0.19369 0.00470 3.75762 0.65062 0.07239
1.24727 1.09414 0.79235 0.25032 0.73413 6.29549 1.27737 0.92586 0.01334 0.36817 0.59120 0.00664 1.67828 3.54204 0.04725
1.59729 1.03544 0.61262 0.49929 0.59003 0.99534 0.53494 0.79018 0.00025 9.58473 0.07093 0.00762 8.03510 0.27199 0.04560
