Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, eta_1, kappa_k, kappa, sig, lam, mup, sigp, rsmax, n, alpha, alpha1, alpha2, betam1, gamma, eta_1.median, kappa_k.median, kappa.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, n.median, alpha.median, alpha1.median, alpha2.median, betam1.median, gamma.median, eta_1.q5, kappa_k.q5, kappa.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, n.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, gamma.q5, eta_1.q95, kappa_k.q95, kappa.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, n.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, gamma.q95, eta_1.var, kappa_k.var, kappa.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, n.var, alpha.var, alpha1.var, alpha2.var, betam1.var, gamma.var, eta_1.q5_w_mnoise, kappa_k.q5_w_mnoise, kappa.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, n.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, gamma.q5_w_mnoise, eta_1.q95_w_mnoise, kappa_k.q95_w_mnoise, kappa.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, n.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, gamma.q95_w_mnoise, eta_1.var_w_mnoise, kappa_k.var_w_mnoise, kappa.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, n.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, gamma.var_w_mnoise
1, 0.5, 0.41772, 0.01533, 0.10007, 0.6, 0.81841, 1.2812, 2.2802, 0.95689, 0.13376, 0.1401, 0.37993, 4.3167, 0.96188, 4.9888, 0.00127, 3.1362, 0.15782, 0.00969, 0.22368, 1.383, 1.4803, 1.0166, 0.15508, 0.17654, 2.3827, 2.1192, 0.82698, 2.7392, 0.0034175, 5, 0.95906, 0.022759, 0.33944, 1.2394, 0.59752, 1.0057, 0.081814, 0.10971, 1.8726, 1.4023, 0.71829, 1.6046, 0.00080894, 1.329, 0.11759, 0.018254, 0.1584, 1.5267, 2.3632, 1.0275, 0.22835, 0.24338, 2.8927, 2.8362, 0.93568, 3.8738, 0.0060261, 8.671, 1.8005, 0.027265, 0.52048, 0.0076271, 0.28806, 4.3724e-05, 0.0019842, 0.001651, 0.096158, 0.18998, 0.0043671, 0.47578, 2.5151e-06, 4.981, 0.26171, 7.5023e-06, 0.012114, 0.74945, -0.42096, 0.97086, 0.0039601, 0.022446, 0.66045, 0.24953, 0.53744, -0.56588, -0.0070894, 0.69298, 0.11495, 0.0063137, -0.16616, 2.0166, 3.3816, 1.0623, 0.30621, 0.33064, 4.1049, 3.9889, 1.1165, 6.0443, 0.013924, 9.307, 1.8032, 0.039205, 0.84504, 0.14836, 1.3361, 0.00077334, 0.0084413, 0.0087766, 1.0963, 1.2921, 0.030987, 4.0375, 4.0803e-05, 6.8565, 0.26336, 9.9966e-05, 0.094484
2, 0.61111, 0.78019, 0.05713, 0.38305, 0.48, 0.88483, 1.3453, 1.1679, 1.0326, 0.14986, 0.16566, 3.555, 3.5972, 0.97884, 2.554, 0.00866, 1.7877, 1.7552, 0.01207, 0.65964, 1.0774, 1.4076, 0.99745, 0.22839, 0.1387, 2.5999, 1.9671, 0.81405, 3.4783, 0.013072, 4.3446, 0.84887, 0.0097171, 0.7183, 0.91489, 0.29769, 0.98014, 0.02076, nan, 2.1069, 0.76848, 0.57967, 1.9513, 0.0064247, 0.59254, -0.17863, 0.0042328, 0.23868, 1.2398, 2.5175, 1.0148, 0.43601, nan, 3.0929, 3.1658, 1.0484, 5.0054, 0.019719, 8.0967, 1.8764, 0.015201, 1.1979, 0.0097579, 0.45531, 0.00011085, 0.015934, 0, 0.089822, 0.53105, 0.020304, 0.86191, 1.633e-05, 5.2035, 0.39022, 1.1117e-05, 0.085022, 0.43927, -0.60921, 0.94977, -0.017741, 0.022308, 0.88264, -0.13488, 0.45774, 0.018825, 0.00091548, -0.031715, -0.1808, -0.0070233, 0.045328, 1.7155, 3.4244, 1.0451, 0.47452, 0.2551, 4.3172, 4.0692, 1.1704, 6.9378, 0.025228, 8.721, 1.8785, 0.026458, 1.3913, 0.15049, 1.5034, 0.00084047, 0.022391, 0.0050073, 1.09, 1.6331, 0.046924, 4.4236, 5.4618e-05, 7.0789, 0.39187, 0.00010358, 0.16739
3, 0.5, 0.37205, 0.01455, 0, 0.6, 0.72438, 1.6501, 0.97125, 1.0477, 0.18402, 0.18385, 1.3516, 2.4168, 0.79241, 3.9505, 0.00538, 3.5529, 1.5854, 0.02296, 0.11739, 1.363, 1.3815, 1.0102, 0.14397, 0.20222, 1.8483, 2.217, 0.76725, 2.9221, 0.0064943, 4.3303, 1.1947, 0.01866, 0.15531, 1.2194, 0.74007, 0.99765, 0.040381, 0.16054, 1.3648, 1.2575, 0.63711, 1.7811, 0.0036602, 0.57845, 0.27774, 0.014348, -0.021103, 1.5067, 2.0229, 1.0228, 0.24756, 0.2439, 2.3318, 3.1765, 0.89738, 4.0632, 0.0093284, 8.0822, 2.1117, 0.022972, 0.33173, 0.0076271, 0.15206, 5.8559e-05, 0.0039663, 0.00064207, 0.086399, 0.34027, 0.0062594, 0.48124, 2.9688e-06, 5.2028, 0.31078, 6.8728e-06, 0.011503, 0.72946, -0.42046, 0.96406, -0.02396, 0.057254, 0.13377, 0.24161, 0.46899, -0.38518, -0.0040708, -0.04584, 0.27531, 0.0022658, -0.34865, 1.9966, 3.1834, 1.0564, 0.3119, 0.34719, 3.5629, 4.1925, 1.0655, 6.2294, 0.01706, 8.7064, 2.1141, 0.035054, 0.65928, 0.14836, 1.2001, 0.00078818, 0.010423, 0.0077677, 1.0866, 1.4423, 0.032879, 4.0429, 4.1257e-05, 7.0783, 0.31242, 9.9337e-05, 0.093874
4, 0.38786, 0.15178, 0.01583, 0, 0.4252, 0.24306, 0.80119, 1.9862, 1.0002, 0.27547, 0.32943, 2.668, 1.747, 0.7149, 1.0138, 0.00232, 9.8774, 0.02395, 0.00069, 0.19034, 1.256, 2.2591, 1.0061, 0.17576, 0.28444, 1.6358, 2.2052, 0.53751, 3.0666, 0.011042, 4.3408, 0.84868, 0.007966, 0.40573, 1.0218, 1.52, 0.99479, 0.042946, 0.08325, 0.80923, 1.2348, 0.42419, 1.4231, 0.0065015, 0.76897, -0.17882, 0.002314, 0.085686, 1.4901, 2.9981, 1.0175, 0.30857, 0.48563, 2.4624, 3.1756, 0.65083, 4.7102, 0.015582, 7.9126, 1.8762, 0.013618, 0.72578, 0.020267, 0.20187, 4.7516e-05, 0.0065197, 0.014961, 0.25252, 0.34805, 0.004746, 0.9984, 7.6196e-06, 4.7154, 0.39022, 1.1807e-05, 0.037859, 0.59597, 0.42013, 0.96027, -0.011615, 0.039989, -0.20517, 0.22443, 0.2462, -0.44583, -0.0001029, 0.11798, -0.18099, -0.0088302, -0.16461, 1.916, 4.098, 1.052, 0.36313, 0.52889, 3.4768, 4.1859, 0.82882, 6.5791, 0.022187, 8.5635, 1.8784, 0.024762, 0.97607, 0.161, 1.2499, 0.00077713, 0.012977, 0.022086, 1.2527, 1.4501, 0.031366, 4.5601, 4.5908e-05, 6.5909, 0.39187, 0.00010427, 0.12023
5, 0.91667, 0.47414, 0.04454, 0.23278, 0.48, 0.9695, 1.7926, 1.0978, 0.99254, 0.25278, 0.19446, 1.5952, 2.0583, 0.94752, 6.406, 0.00054, 3.5969, 1.584, 0.01101, 0.25738, 1.0914, 1.0368, 1.0101, 0.25348, 0.12976, 1.9215, 2.3106, 0.84716, 4.9435, 0.0040114, 3.8936, 0.82493, 0.01494, 0.46701, 0.92515, 0.20906, 0.99672, 0.15756, nan, 1.2385, 1.6541, 0.74778, 3.8478, 0.0001889, 1.2003, -0.19949, 0.010337, 0.14535, 1.2576, 1.8646, 1.0235, 0.3494, nan, 2.6045, 2.9672, 0.94653, 6.0392, 0.0078338, 6.5869, 1.8494, 0.019542, 0.78868, 0.010212, 0.25326, 6.616e-05, 0.0034005, 0, 0.17244, 0.15932, 0.00365, 0.44373, 5.4004e-06, 2.6811, 0.38789, 7.8306e-06, 0.038243, 0.45231, -0.83954, 0.9637, 0.090172, -0.00010923, 0.14034, 0.46328, 0.56098, 1.6516, -0.0068607, 0.38245, -0.20167, -0.0015332, -0.10424, 1.7304, 2.9132, 1.0565, 0.41679, 0.25962, 3.7026, 4.158, 1.1333, 8.2354, 0.014883, 7.4047, 1.8515, 0.031412, 1.0383, 0.15095, 1.3013, 0.00079578, 0.0098576, 0.0062335, 1.1726, 1.2614, 0.030269, 4.0054, 4.3689e-05, 4.5566, 0.38954, 0.00010029, 0.12061
6, 0.25, 0.31953, 0.06769, 0.61304, 0.8, 0.31132, 1.6027, 1.365, 0.95107, 0.39924, 0.43912, 1.817, 0.53878, 0.38078, 2.9536, 0.00609, 5.5728, 0.31201, 0.00542, 1.4279, 1.4041, 1.4076, 0.99888, 0.40621, 0.49437, 1.745, 1.4074, 0.7516, 3.6441, 0.0091031, 4.3446, 0.84868, 0.0095802, 1.7381, 1.2048, 0.2977, 0.98074, 0.25201, 0.37744, 1.1725, 0.44732, 0.58968, 1.8219, 0.0023068, 0.59254, -0.17882, 0.0012468, 1.3698, 1.6034, 2.5175, 1.017, 0.5604, 0.6113, 2.3176, 2.3675, 0.91352, 5.4663, 0.015899, 8.0967, 1.8762, 0.017914, 2.1064, 0.014682, 0.45531, 0.00012153, 0.0087878, 0.0050537, 0.12117, 0.34069, 0.0096906, 1.2273, 1.7072e-05, 5.2035, 0.39022, 2.5668e-05, 0.05014, 0.75563, -0.6092, 0.95089, 0.20312, 0.31285, 0.0032603, -0.56832, 0.43817, 0.044545, -0.0031354, -0.031715, -0.18099, -0.0082974, 1.1393, 2.0525, 3.4244, 1.0469, 0.6093, 0.6759, 3.4868, 3.3831, 1.065, 7.2437, 0.021342, 8.721, 1.8784, 0.027458, 2.3369, 0.15542, 1.5034, 0.00085115, 0.015245, 0.012179, 1.1213, 1.4428, 0.03631, 4.789, 5.536e-05, 7.0789, 0.39187, 0.00011813, 0.13251
7, 0.91667, 0.64994, 0.04344, 0.11868, 0.72, 1.0531, 1.3866, 1.3779, 1.0474, 0.34278, 0.28754, 3.4329, 1.2397, 0.8447, 6.3513, 0.00455, 6.509, 1.9658, 0.01251, 0.21036, 1.1208, 1.1613, 1.0056, 0.2787, 0.17041, 1.729, 1.9351, 0.79975, 4.2203, 0.00054139, 4.352, 0.78404, 0.016719, 0.36164, 0.95461, 0.14607, 0.99273, -0.023555, 0.096465, 0.92561, 0.61314, 0.55881, 2.8161, -0.0027949, 0.59997, -0.24056, 0.01098, 0.051997, 1.287, 2.1766, 1.0184, 0.58095, 0.24435, 2.5324, 3.2571, 1.0407, 5.6246, 0.0038777, 8.1041, 1.8086, 0.022458, 0.67127, 0.010212, 0.38098, 6.1106e-05, 0.033766, 0.002021, 0.23856, 0.64596, 0.021458, 0.72883, 4.1141e-06, 5.2034, 0.38802, 1.2174e-05, 0.035437, 0.48177, -0.80497, 0.95934, -0.051191, 0.013099, -0.10167, -0.23958, 0.43909, 0.81326, -0.010169, -0.024286, -0.24273, -0.0001064, -0.20293, 1.7599, 3.1276, 1.0518, 0.60858, 0.32772, 3.5597, 4.1098, 1.1604, 7.6274, 0.011252, 8.7284, 1.8108, 0.033545, 0.9262, 0.15095, 1.429, 0.00079072, 0.040223, 0.0091466, 1.2387, 1.748, 0.048077, 4.2905, 4.2403e-05, 7.0789, 0.38967, 0.00010464, 0.11781
8, 0.45833, 0.4772, 0.04468, 0.23429, 0.48, 0.79806, 1.0217, 0.63314, 1.0152, 0.9014, 0.91754, 1.2111, 0.16169, 0.9554, 8.0057, 0.01311, 3.6157, 0.79713, 0.00785, 1.0137, 1.3522, 1.1727, 1.008, 0.34675, 0.29963, 2.0942, 1.9312, 0.83591, 4.722, 0.0062717, 2.6982, 0.82765, 0.012469, 0.62337, 1.143, 0.31093, 0.99452, -0.053338, -0.031972, 1.513, 0.55292, 0.73238, 3.6229, 0.0027086, -0.34684, -0.16183, 0.0090099, 0.33042, 1.5615, 2.0344, 1.0214, 0.74683, 0.63124, 2.6753, 3.3094, 0.93945, 5.8211, 0.0098348, 5.7433, 1.8171, 0.015927, 0.91631, 0.016185, 0.27447, 6.6716e-05, 0.059163, 0.040643, 0.12483, 0.70211, 0.0039623, 0.44651, 4.6925e-06, 3.4271, 0.36187, 4.4216e-06, 0.031719, 0.70064, -0.71893, 0.96154, -0.074606, -0.059868, 0.34955, -0.27819, 0.54827, 1.429, -0.0045119, -1.0895, -0.16408, -0.0037217, 0.06778, 2.0038, 3.0643, 1.0544, 0.7681, 0.65913, 3.8388, 4.1405, 1.1236, 8.0151, 0.017055, 6.4859, 1.8194, 0.028659, 1.179, 0.15692, 1.3225, 0.00079633, 0.06562, 0.047769, 1.125, 1.8042, 0.030582, 4.0082, 4.2981e-05, 5.3026, 0.36352, 9.6886e-05, 0.11409
9, 0.5, 0.24957, 0.03376, 0.10379, 0.63243, 0.52406, 2, 2.6062, 1.0304, 0.29909, 0.22864, 3.9806, 1.3139, 0.75234, 1.468, 0, 3.9265, 1.4322, 0.0001, 0.25177, 1.3441, 1.3741, 1.0114, 0.35073, 0.26727, 1.0031, 1.1599, 0.89989, 3.4647, 0.0085568, 4.3446, 0.84868, 0.011136, 0.48502, 1.2004, 0.38373, 1, 0.27425, 0.21931, 0.51384, 0.43691, 0.79582, 1.6661, 0.0058085, 0.59254, -0.17882, 0.0073993, 0.32462, 1.4877, 2.3645, 1.0227, 0.42722, 0.31522, 1.4924, 1.883, 1.004, 5.2634, 0.011305, 8.0967, 1.8762, 0.014873, 0.64542, 0.0076271, 0.36255, 4.7375e-05, 0.0021622, 0.00084998, 0.088483, 0.19322, 0.0040032, 1.1958, 2.7918e-06, 5.2035, 0.39022, 5.1619e-06, 0.0095093, 0.7105, -0.57944, 0.9655, 0.19802, 0.12037, -0.71308, -0.71208, 0.61205, -0.12296, -0.0019857, -0.031715, -0.18099, -0.0051157, -0.013567, 1.9776, 3.3277, 1.0572, 0.50344, 0.41416, 2.7193, 3.032, 1.1877, 7.0524, 0.019099, 8.721, 1.8784, 0.027388, 0.9836, 0.14836, 1.4106, 0.00077699, 0.0086193, 0.0079756, 1.0886, 1.2953, 0.030623, 4.7574, 4.108e-05, 7.0789, 0.39187, 9.7626e-05, 0.09188
10, 0.66703, 0.16021, 0.00808, 0.05737, 0.30236, 0.50529, 1.0221, 0.62941, 0.98042, 0.6678, 0.28812, 0.23308, 1.8332, 0.61947, 2.6974, 0.00254, 0.76698, 0.44164, 0.00888, 0.23578, 1.1605, 1.2211, 1.0041, 0.44692, 0.20614, 1.3531, 1.4408, 0.66819, 3.7391, 0.0082608, 4.3454, 0.84868, 0.013393, 1.0767, 0.96617, 0.33359, 0.99167, 0.23265, -0.0075393, 0.57742, 0.26442, 0.53128, 2.1536, 0.0057284, 0.59335, -0.17882, 0.0087957, 0.79088, 1.3549, 2.1086, 1.0165, 0.66118, 0.41982, 2.1287, 2.6173, 0.80511, 5.3245, 0.010793, 8.0975, 1.8762, 0.017991, 1.3625, 0.01396, 0.29112, 5.6873e-05, 0.016969, 0.016876, 0.22237, 0.51154, 0.0069286, 0.9291, 2.3703e-06, 5.2035, 0.39022, 7.8122e-06, 0.030191, 0.51357, -0.68239, 0.95795, 0.19517, -0.048688, -0.4656, -0.64857, 0.36692, 0.25338, -0.0022275, -0.030904, -0.18099, -0.0030781, 0.52483, 1.8075, 3.1245, 1.0502, 0.69867, 0.46097, 3.1718, 3.5303, 0.96947, 7.2248, 0.018749, 8.7218, 1.8784, 0.029864, 1.6285, 0.1547, 1.3392, 0.00078649, 0.023426, 0.024002, 1.2225, 1.6136, 0.033548, 4.4908, 4.0659e-05, 7.0789, 0.39187, 0.00010028, 0.11256
