% ar	lrr	srr	alr	sdr	smr
0.50000	0.41772	0.01533	0.10007	0.60000	0.81841
0.61111	0.78019	0.05713	0.38305	0.48000	0.88483
0.50000	0.37205	0.01455	0.00000	0.60000	0.72438
0.38786	0.15178	0.01583	0.00000	0.42520	0.24306
0.91667	0.47414	0.04454	0.23278	0.48000	0.96950
0.25000	0.31953	0.06769	0.61304	0.80000	0.31132
0.91667	0.64994	0.04344	0.11868	0.72000	1.05311
0.45833	0.47720	0.04468	0.23429	0.48000	0.79806
0.50000	0.24957	0.03376	0.10379	0.63243	0.52406
0.66703	0.16021	0.00808	0.05737	0.30236	0.50529
0.91667	0.32820	0.04365	0.11986	0.72000	0.65770
0.66667	0.08881	0.18901	0.14145	1.06800	0.20878
0.26882	0.20527	0.01264	0.33953	2.58000	0.31963
0.61111	0.50326	0.04588	0.12354	1.02857	0.60695
0.91667	0.50742	0.04432	0.00000	0.72000	0.80742
0.91667	0.47349	0.04281	0.11528	1.02857	0.74456
0.66667	0.46352	0.01624	0.00000	0.60000	0.86356
0.61111	0.35704	0.03865	0.17529	0.48000	0.84857
0.91667	0.51623	0.04470	0.00000	0.36000	1.03969
0.38786	0.18065	0.01599	0.00000	0.15753	0.41111
0.66703	0.08010	0.00808	0.05737	0.50394	0.32326
0.50000	0.23049	0.00283	0.00240	0.28937	0.56103
0.22230	0.25711	0.01530	0.08559	1.26316	0.24902
0.25000	0.22752	0.02810	0.52760	0.57143	0.56185
0.61111	0.71930	0.05485	0.17658	0.48000	0.89347
0.91667	0.47111	0.04439	0.11565	0.48000	0.94280
0.15198	0.15255	0.11988	0.41875	0.90000	0.21355
0.50220	0.26402	0.03736	0.09860	0.95000	0.42686
0.66667	0.39863	0.01497	0.10004	0.60000	0.88162
0.38786	0.18065	0.01599	0.00000	0.15753	0.41111
0.25000	0.30326	0.01606	0.20813	0.90000	0.41679
0.91667	0.47500	0.04288	0.23130	1.02857	0.79126
0.61111	0.47414	0.00000	0.11639	10.00000	1.26814
0.91667	0.51984	0.00000	0.12657	10.00000	1.30778
0.61111	0.46080	0.04391	0.00000	0.48000	0.76940
0.50000	0.43195	0.06563	0.00000	0.45000	0.62500
0.50000	0.24182	0.04249	0.36837	1.74545	0.39848
0.50000	0.47946	0.01848	0.19988	0.60000	0.84849
0.18182	0.30430	0.01083	0.05829	0.60000	0.42944
0.15964	0.26776	0.05024	0.19381	0.18689	0.46394
0.61111	0.47111	0.04439	0.00000	1.02857	0.51611
0.50000	0.23577	0.02438	0.40689	0.85714	0.58015
0.50000	0.20729	0.00268	0.00216	0.28937	0.53531
0.61111	0.47262	0.04446	0.11602	0.48000	0.83664
0.50000	0.45595	0.04408	0.00000	0.36364	0.77836
0.57143	0.42027	0.01462	0.17498	0.45000	0.99222
0.50000	0.13709	0.07486	0.20759	0.56190	0.45383
0.16073	0.11341	0.02512	0.05049	0.48000	0.23969
0.91667	0.51803	0.00000	0.25225	10.00000	1.25804
0.61111	0.34942	0.03823	0.08578	0.48000	0.78839
0.50000	0.45152	0.04303	0.00000	0.27273	0.86989
0.25000	0.27666	0.03959	0.58943	1.09091	0.35315
0.15198	0.15255	0.11808	0.41875	0.67800	0.36956
0.50000	0.44862	0.01598	0.00000	0.90000	0.63472
