% eta1	kappa_k	kappa	sig	lam	mup	sigp	rsmax	n	alpha	alpha1	alpha2	betam1	gamma
1.85467	0.96269	1.01474	0.93480	0.33152	3.36388	4.75692	0.11493	1.72713	0.01462	6.02771	0.90279	0.00600	1.50733
1.43776	0.76890	1.04377	0.05818	0.09813	3.82960	3.48913	0.56592	9.01162	0.00196	0.57056	0.53702	0.01300	1.03180
1.18482	0.90832	0.95948	0.39622	0.25651	0.53134	0.31729	0.83032	1.34169	0.02207	7.21645	0.27051	0.00689	0.27808
1.83220	0.64270	0.96889	0.52442	0.34084	0.78391	1.17783	0.79777	2.70953	0.02072	4.01914	0.74981	0.00587	1.39598
2.00000	0.88392	0.95000	0.28079	0.64575	0.76984	1.15309	0.86978	2.59228	0.00000	7.11756	0.93560	0.00074	0.42127
0.92164	3.02904	1.00043	0.21303	0.22709	2.24087	2.04925	0.91933	2.48731	0.00432	5.84051	1.14389	0.00934	0.31902
1.91869	6.43693	1.05000	0.35274	0.63893	3.80380	1.50699	0.75136	1.85244	0.00000	3.16357	1.71433	0.00018	0.57703
1.87597	0.84286	1.01045	0.38127	0.62690	1.35207	0.43455	0.46173	2.13186	0.00537	1.36710	0.52485	0.00254	1.91364
0.50095	0.60679	1.00337	0.12798	0.53200	0.58074	2.22358	0.74720	1.76486	0.00625	6.58732	1.58161	0.00638	0.43669
0.79307	0.62209	1.03589	0.20199	0.19839	2.37102	1.81193	0.69755	1.81754	0.01209	3.65776	1.32335	0.02050	0.17995
0.50683	6.22206	0.98491	0.30120	0.28675	0.73014	0.26319	0.30533	4.21594	0.00433	5.59279	0.35792	0.00289	0.17184
1.84985	0.63640	1.01050	0.25798	0.23170	4.88853	0.63520	0.73300	2.28025	0.00071	6.97285	0.29498	0.04238	0.79990
1.77441	0.52870	1.01113	0.30073	0.47572	0.92230	2.07875	0.95063	6.48296	0.00657	4.32226	0.40620	0.00200	1.19296
0.91359	0.51226	1.03105	0.18269	0.11035	0.92609	1.77082	0.51556	5.27021	0.00026	0.65053	0.21923	0.01554	1.13172
1.32934	1.26228	1.01582	0.09138	0.33536	0.22355	1.80483	0.62452	6.66731	0.00277	2.86824	1.34162	0.00217	0.14317
2.00000	2.60616	1.03041	0.29909	0.22864	3.98055	1.31395	0.75234	1.46796	0.00000	3.92653	1.43222	0.00010	0.25177
1.73505	0.51772	0.99278	0.55804	0.83215	1.12822	0.89102	0.92507	2.09216	0.02119	3.15999	0.72189	0.00471	1.67147
1.51813	1.34626	0.99338	0.71904	0.54624	1.20622	0.40362	0.48315	2.59794	0.00859	3.65171	0.23736	0.00472	1.90149
1.52813	1.39721	0.99062	0.36854	0.44309	2.19779	2.09428	0.93637	3.72944	0.00127	2.25034	1.11343	0.01750	0.30089
1.13889	0.61518	0.99048	0.12739	0.60769	0.41976	1.38574	0.96663	1.30324	0.00537	7.79906	0.41486	0.00546	0.59797
1.03146	0.65787	0.99273	0.40315	0.34237	1.51818	0.71395	0.67869	6.36515	0.00083	7.81053	0.85749	0.00358	0.60659
