% ar	lrr	srr	alr	sdr	smr
0.50000	0.24182	0.04249	0.73674	1.74545	0.37436
0.50000	0.27313	0.01861	0.23911	0.80000	0.60230
0.61111	0.50326	0.04588	0.12354	1.02857	0.60695
0.25000	0.27666	0.03959	0.58943	1.09091	0.35315
0.45833	0.48346	0.04497	0.11868	0.48000	0.75422
0.25000	0.31953	0.06769	0.61304	0.80000	0.31132
0.45833	0.47720	0.04468	0.23429	0.48000	0.79806
0.50000	0.23577	0.02438	0.40689	0.85714	0.58015
0.25000	0.30326	0.01606	0.20813	0.90000	0.41679
0.16073	0.11341	0.02512	0.05049	0.48000	0.23969
0.15385	0.29889	0.01177	0.05726	0.60000	0.36901
0.15964	0.26776	0.05024	0.19381	0.18689	0.46394
0.16669	0.24413	0.00777	0.18697	0.30236	0.62526
