Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, eta_1, kappa_k, kappa, sig, lam, mup, sigp, rsmax, n, alpha, alpha1, alpha2, betam1, gamma, eta_1.median, kappa_k.median, kappa.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, n.median, alpha.median, alpha1.median, alpha2.median, betam1.median, gamma.median, eta_1.q5, kappa_k.q5, kappa.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, n.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, gamma.q5, eta_1.q95, kappa_k.q95, kappa.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, n.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, gamma.q95, eta_1.var, kappa_k.var, kappa.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, n.var, alpha.var, alpha1.var, alpha2.var, betam1.var, gamma.var, eta_1.q5_w_mnoise, kappa_k.q5_w_mnoise, kappa.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, n.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, gamma.q5_w_mnoise, eta_1.q95_w_mnoise, kappa_k.q95_w_mnoise, kappa.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, n.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, gamma.q95_w_mnoise, eta_1.var_w_mnoise, kappa_k.var_w_mnoise, kappa.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, n.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, gamma.var_w_mnoise
1, 0.5, 0.13709, 0.07486, 0.20759, 0.5619, 0.45383, 1.2972, 0.61957, 0.97986, 0.64854, 0.276, 1.154, 1.1104, 0.74149, 5.9239, 0.02087, 2.3246, 0.52669, 0.00351, 0.97195, 1.0545, 0.9617, 1, 0.61526, 0.40914, 0.96743, 1.2193, 0.68022, 3.264, 0.017203, 4.685, 0.63551, 0.0051813, 0.80189, 0.77273, -0.15975, 0.96019, 0.35855, 0.21804, 0.17547, 0.051528, 0.54077, -0.064387, 0.011538, 1.9829, 0.28414, 0.0030171, 0.46151, 1.3363, 2.0831, 1.0399, 0.87196, 0.60024, 1.7594, 2.3871, 0.81966, 6.5924, 0.022867, 7.3871, 0.98687, 0.0073454, 1.1423, 0.029347, 0.46484, 0.00058684, 0.024356, 0.013498, 0.23182, 0.50405, 0.0071871, 4.0946, 1.1859e-05, 2.6987, 0.045632, 1.7311e-06, 0.042823, 0.56747, -0.15975, 0.96019, 0.35855, 0.21804, 0.17547, 0.051528, 0.43156, -0.069708, 0.0080079, 1.9829, -0.11424, 0.00061884, 0.38852, 1.5415, 2.0831, 1.0399, 0.87196, 0.60024, 1.7594, 2.3871, 0.92887, 6.5977, 0.026397, 7.3871, 1.3853, 0.0097437, 1.2153, 0.087673, 0.46484, 0.00058684, 0.024356, 0.013498, 0.23182, 0.50405, 0.022852, 4.1077, 3.1247e-05, 2.6987, 0.20776, 7.6938e-06, 0.063158
2, 0.66667, 0.08881, 0.18901, 0.14145, 1.068, 0.20878, 1.2688, 0.56034, 0.98981, 0.42216, 0.50889, 0.28996, 0.65548, 0.53857, 6.1089, 0.0132, 0.89072, 0.21707, 0.00458, 1.9218, 1.2366, 1.3623, 0.99589, 0.40877, 0.46354, 1.078, 1.2193, 0.64105, 3.3685, 0.015574, 2.8917, 0.65596, 0.003668, 1.4391, 0.85066, -0.8638, 0.95532, 0.14637, 0.17757, 0.15645, 0.051528, 0.26074, -0.0041556, 0.0074703, 0.059874, 0.32252, 0.0015041, 0.50875, 1.6226, 3.5885, 1.0364, 0.67117, 0.7495, 1.9996, 2.3871, 1.0214, 6.7412, 0.023678, 5.7235, 0.9894, 0.0058318, 2.3695, 0.05506, 1.8317, 0.00060817, 0.025449, 0.030226, 0.3139, 0.50405, 0.05346, 4.2043, 2.4273e-05, 2.964, 0.041094, 1.7306e-06, 0.31992, 0.68276, -0.8638, 0.95532, 0.14637, 0.17757, 0.15645, 0.051528, 0.20859, -0.0094075, 0.0047055, 0.059874, -0.08555, -0.00089433, 0.47964, 1.7905, 3.5885, 1.0364, 0.67117, 0.7495, 1.9996, 2.3871, 1.0735, 6.7465, 0.026443, 5.7235, 1.3975, 0.0082303, 2.3986, 0.11339, 1.8317, 0.00060817, 0.025449, 0.030226, 0.3139, 0.50405, 0.069125, 4.2174, 4.3661e-05, 2.964, 0.20323, 7.6933e-06, 0.34026
3, 0.45833, 0.48346, 0.04497, 0.11868, 0.48, 0.75422, 0.87932, 1.4325, 1.05, 0.40596, 0.37356, 0.34526, 0.59728, 0.79928, 6.7099, 0, 2.8682, 0.01273, 0.00126, 0.61139, 0.99944, 0.68712, 1.0037, 0.41058, 0.46354, 1.098, 0.42719, 0.87736, 7.4481, 0.0080445, 3.6777, 0.73089, 0.0049795, 0.79695, 0.74313, -0.15344, 0.96692, 0.14549, 0.17757, 0.25817, -0.3466, 0.79943, 5.8532, 0.0032691, 1.5416, 0.40565, 0.0025762, 0.63246, 1.2558, 1.5277, 1.0404, 0.67566, 0.7495, 1.9379, 1.201, 0.95529, 9.043, 0.01282, 5.8139, 1.0561, 0.0073827, 0.96143, 0.024282, 0.26114, 0.00049897, 0.025973, 0.030226, 0.26071, 0.2213, 0.0022447, 0.94017, 8.4288e-06, 1.6866, 0.039098, 2.1348e-06, 0.0099994, 0.52669, -0.15344, 0.96692, 0.14549, 0.17757, 0.25817, -0.3466, 0.65724, 5.8421, -0.00063074, 1.5416, -0.0069734, 0.00029884, 0.51046, 1.4722, 1.5277, 1.0404, 0.67566, 0.7495, 1.9379, 1.201, 1.0975, 9.0541, 0.01672, 5.8139, 1.4688, 0.0096601, 1.0834, 0.082608, 0.26114, 0.00049897, 0.025973, 0.030226, 0.26071, 0.2213, 0.01791, 0.95327, 2.7817e-05, 1.6866, 0.20123, 8.0975e-06, 0.030334
4, 0.25, 0.30326, 0.01606, 0.20813, 0.9, 0.41679, 1.1598, 0.81379, 0.98808, 0.283, 0.39041, 1.479, 0.89974, 0.54937, 2.707, 0.01579, 8.0381, 1.2179, 0.00607, 1.4701, 1.316, 1.9142, 1.0038, 0.47287, 0.32402, 1.3629, 1.2077, 0.84178, 3.1109, 0.012701, 7.9393, 1.0197, 0.0042812, 1.4283, 1.1489, 0.045576, 0.9723, 0.19214, 0.13292, 0.88771, 0.043184, 0.76139, -0.13354, 0.0072614, 5.5547, 0.68273, 0.0020637, 1.2844, 1.4831, 3.7829, 1.0354, 0.7536, 0.51512, 1.8381, 2.3721, 0.92218, 6.3553, 0.018141, 10.324, 1.3566, 0.0064988, 1.5722, 0.010319, 1.2906, 0.0003674, 0.029128, 0.013498, 0.083467, 0.50119, 0.002389, 3.8907, 1.0937e-05, 2.1017, 0.041962, 1.8176e-06, 0.007654, 0.88504, 0.045576, 0.9723, 0.19214, 0.13292, 0.88771, 0.043184, 0.62077, -0.139, 0.0036432, 5.5547, 0.27657, -0.00030681, 1.1531, 1.747, 3.7829, 1.0354, 0.7536, 0.51512, 1.8381, 2.3721, 1.0628, 6.3608, 0.021759, 10.324, 1.7628, 0.0088692, 1.7035, 0.068646, 1.2906, 0.0003674, 0.029128, 0.013498, 0.083467, 0.50119, 0.018054, 3.9038, 3.0325e-05, 2.1017, 0.20409, 7.7803e-06, 0.027989
5, 0.15198, 0.15255, 0.11808, 0.41875, 0.678, 0.36956, 1.4625, 2.0488, 0.96423, 0.41657, 0.4039, 1.857, 1.4572, 0.34796, 1.4625, 0.01419, 6.4258, 0.28158, 0.00458, 1.7284, 1.3828, 1.9905, 0.97614, 0.40368, 0.3817, 2.0051, 1.6038, 0.35109, 1.5214, 0.016436, 4.8005, 0.79355, 0.0095478, 1.4427, 1.191, 1.8638, 0.95903, 0.38061, 0.30523, 1.57, 0.72628, 0.18471, 1.3348, 0.012356, 2.0589, 0.45235, 0.0072844, 1.2292, 1.5746, 2.1173, 0.99325, 0.42675, 0.45817, 2.4402, 2.4814, 0.51747, 1.7081, 0.020516, 7.5421, 1.1347, 0.011811, 1.6562, 0.013595, 0.0059388, 0.00010817, 0.00019672, 0.0021614, 0.069973, 0.28464, 0.010232, 0.012876, 6.1518e-06, 2.7781, 0.043029, 1.8935e-06, 0.016853, 0.94169, 1.8638, 0.95903, 0.38061, 0.30523, 1.57, 0.72628, 0.08639, 1.2563, 0.0081232, 2.0589, 0.048516, 0.0049375, 1.1255, 1.8239, 2.1173, 0.99325, 0.42675, 0.45817, 2.4402, 2.4814, 0.61579, 1.7866, 0.024748, 7.5421, 1.5386, 0.014158, 1.7599, 0.071922, 0.0059388, 0.00010817, 0.00019672, 0.0021614, 0.069973, 0.28464, 0.025897, 0.025981, 2.554e-05, 2.7781, 0.20516, 7.8562e-06, 0.037188
6, 0.25, 0.22752, 0.0281, 0.5276, 0.57143, 0.56185, 1.5236, 2.397, 0.97564, 0.7281, 0.2773, 0.19184, 1.3375, 0.97227, 1.2068, 0.01591, 3.708, 0.76049, 0.01272, 1.8921, 1.1523, 1.1895, 0.98509, 0.45417, 0.46354, 0.39219, 1.2193, 0.82687, 2.7117, 0.011045, 4.8949, 0.62291, 0.0064586, 1.7386, 0.93329, 0.048265, 0.94607, 0.18091, 0.17757, -0.31091, 0.051527, 0.75328, 0.14799, 0.0059839, 1.9004, 0.30817, 0.0022247, 1.5146, 1.3714, 2.3307, 1.0241, 0.72744, 0.7495, 1.0953, 2.3871, 0.90046, 5.2755, 0.016105, 7.8895, 0.93764, 0.010692, 1.9626, 0.017734, 0.48139, 0.00056282, 0.0276, 0.030226, 0.18271, 0.50405, 0.0020018, 2.4294, 9.466e-06, 3.3145, 0.036613, 6.6256e-06, 0.018549, 0.69869, 0.048265, 0.94607, 0.18091, 0.17757, -0.31091, 0.051527, 0.60824, 0.14108, 0.0022091, 1.9004, -0.11039, 0.00062267, 1.4142, 1.606, 2.3307, 1.0241, 0.72744, 0.7495, 1.0953, 2.3871, 1.0455, 5.2824, 0.01988, 7.8895, 1.3562, 0.012295, 2.0629, 0.07606, 0.48139, 0.00056282, 0.0276, 0.030226, 0.18271, 0.50405, 0.017667, 2.4425, 2.8854e-05, 3.3145, 0.19875, 1.2588e-05, 0.038884
7, 0.45833, 0.4772, 0.04468, 0.23429, 0.48, 0.79806, 1.0217, 0.63314, 1.0152, 0.9014, 0.91754, 1.2111, 0.16169, 0.9554, 8.0057, 0.01311, 3.6157, 0.79713, 0.00785, 1.0137, 0.95059, 1.4273, 1.0184, 0.52422, 0.46354, 0.6365, 0.75343, 0.85552, 6.3081, 0.016269, 3.1908, 0.54173, 0.0042481, 0.92863, 0.67519, 0.58673, 0.98169, 0.26666, 0.17757, -0.20336, -0.020354, 0.77787, 4.7132, 0.010137, 1.0533, 0.21649, 0.0015231, 0.78182, 1.226, 2.2678, 1.0552, 0.78178, 0.7495, 1.4764, 1.5272, 0.93317, 7.903, 0.022401, 5.3282, 0.86697, 0.006973, 1.0754, 0.028035, 0.26114, 0.00049897, 0.024519, 0.030226, 0.26071, 0.2213, 0.0022287, 0.94017, 1.3898e-05, 1.6886, 0.039098, 2.7445e-06, 0.0079659, 0.46722, 0.58673, 0.98169, 0.26666, 0.17757, -0.20336, -0.020354, 0.63549, 4.7022, 0.0067794, 1.0533, -0.19613, -0.00060559, 0.65192, 1.434, 2.2678, 1.0552, 0.78178, 0.7495, 1.4764, 1.5272, 1.0755, 7.9141, 0.025759, 5.3282, 1.2796, 0.0091017, 1.2053, 0.086361, 0.26114, 0.00049897, 0.024519, 0.030226, 0.26071, 0.2213, 0.017894, 0.95327, 3.3286e-05, 1.6886, 0.20123, 8.7072e-06, 0.028301
8, 0.2223, 0.25711, 0.0153, 0.08559, 1.2632, 0.24902, 1.7744, 0.5287, 1.0111, 0.30073, 0.47572, 0.9223, 2.0787, 0.95063, 6.483, 0.00657, 4.3223, 0.4062, 0.002, 1.193, 1.4039, 1.3623, 1.0071, 0.38335, 0.46354, 0.86787, 1.2193, 0.77489, 3.3685, 0.0067889, 5.432, 0.83948, 0.0050913, 1.3492, 1.1702, -0.8638, 0.96951, 0.1631, 0.17757, 0.071472, 0.051528, 0.69226, -0.0041556, 0.0024039, 1.8657, 0.42833, 0.0017148, 1.1976, 1.6377, 3.5885, 1.0448, 0.60359, 0.7495, 1.6643, 2.3871, 0.85752, 6.7412, 0.011174, 8.9983, 1.2506, 0.0084678, 1.5008, 0.020192, 1.8317, 0.00052343, 0.017929, 0.030226, 0.23443, 0.50405, 0.0025235, 4.2043, 7.1068e-06, 4.7009, 0.062482, 4.2139e-06, 0.008499, 0.94301, -0.8638, 0.96951, 0.1631, 0.17757, 0.071472, 0.051528, 0.55305, -0.0094075, -0.0016777, 1.8657, 0.059926, -0.00015595, 1.0699, 1.8648, 3.5885, 1.0448, 0.60359, 0.7495, 1.6643, 2.3871, 0.99672, 6.7465, 0.015256, 8.9983, 1.619, 0.010338, 1.6285, 0.078518, 1.8317, 0.00052343, 0.017929, 0.030226, 0.23443, 0.50405, 0.018189, 4.2174, 2.6495e-05, 4.7009, 0.22462, 1.0177e-05, 0.028834
9, 0.25, 0.27666, 0.03959, 0.58943, 1.0909, 0.35315, 1.4019, 1.2775, 0.98285, 0.4716, 0.5737, 1.1762, 1.0645, 0.7856, 2.3512, 0.00513, 9.0459, 1.4588, 0.01002, 1.7844, 1.3742, 2.2266, 0.97807, 0.51331, 0.46354, 1.07, 1.1952, 0.87186, 1.9167, 0.014369, 7.9012, 0.83041, 0.010983, 1.7549, 1.1942, 1.0193, 0.94228, 0.24001, 0.17757, 0.46087, 0.030775, 0.78753, -0.5858, 0.0067586, 5.3948, 0.44009, 0.0061259, 1.5062, 1.5542, 3.4339, 1.0139, 0.7866, 0.7495, 1.679, 2.3597, 0.95619, 4.4191, 0.021979, 10.408, 1.2207, 0.015839, 2.0036, 0.011976, 0.53872, 0.00047344, 0.027607, 0.030226, 0.13712, 0.50119, 0.0026284, 2.3146, 2.1405e-05, 2.3219, 0.056312, 8.7182e-06, 0.022857, 0.93804, 1.0193, 0.94228, 0.24001, 0.17757, 0.46087, 0.030775, 0.64939, -0.59287, 0.003863, 5.3948, 0.061641, 0.0046802, 1.413, 1.8103, 3.4339, 1.0139, 0.7866, 0.7495, 1.679, 2.3597, 1.0943, 4.4262, 0.024874, 10.408, 1.5992, 0.017285, 2.0967, 0.070303, 0.53872, 0.00047344, 0.027607, 0.030226, 0.13712, 0.50119, 0.018293, 2.3277, 4.0794e-05, 2.3219, 0.21845, 1.4681e-05, 0.043192
10, 0.26882, 0.20527, 0.01264, 0.33953, 2.58, 0.31963, 1.8322, 0.6427, 0.96889, 0.52442, 0.34084, 0.78391, 1.1778, 0.79777, 2.7095, 0.02072, 4.0191, 0.74981, 0.00587, 1.396, 1.4742, 1.3623, 0.99521, 0.45159, 0.46354, 0.90064, 1.2193, 0.789, 3.3685, 0.020645, 4.5566, 0.76909, 0.0095845, 1.5571, 1.012, -0.8638, 0.95463, 0.17176, 0.17757, -0.08588, 0.051528, 0.69882, -0.0041556, 0.016341, 0.5125, 0.34884, 0.0019214, 1.2251, 1.9363, 3.5885, 1.0358, 0.73143, 0.7495, 1.8872, 2.3871, 0.87918, 6.7412, 0.02495, 8.6008, 1.1893, 0.017248, 1.889, 0.078948, 1.8317, 0.00060856, 0.028944, 0.030226, 0.35971, 0.50405, 0.0030059, 4.2043, 6.8488e-06, 6.045, 0.065277, 2.1705e-05, 0.04073, 0.86475, -0.8638, 0.95463, 0.17176, 0.17757, -0.08588, 0.051528, 0.56424, -0.0094075, 0.01222, 0.5125, -0.015303, 0.00093257, 1.1506, 2.0836, 3.5885, 1.0358, 0.73143, 0.7495, 1.8872, 2.3871, 1.0138, 6.7465, 0.029071, 8.6008, 1.5535, 0.018236, 1.9635, 0.13727, 1.8317, 0.00060856, 0.028944, 0.030226, 0.35971, 0.50405, 0.018671, 4.2174, 2.6237e-05, 6.045, 0.22741, 2.7667e-05, 0.061065
