% eta1	kappa_k	kappa	sig	lam	mup	sigp	rsmax	n	alpha	alpha1	alpha2	betam1	gamma
1.29721	0.61957	0.97986	0.64854	0.27600	1.15401	1.11042	0.74149	5.92387	0.02087	2.32461	0.52669	0.00351	0.97195
1.26877	0.56034	0.98981	0.42216	0.50889	0.28996	0.65548	0.53857	6.10890	0.01320	0.89072	0.21707	0.00458	1.92180
0.87932	1.43248	1.05000	0.40596	0.37356	0.34526	0.59728	0.79928	6.70992	0.00000	2.86819	0.01273	0.00126	0.61139
1.15982	0.81379	0.98808	0.28300	0.39041	1.47902	0.89974	0.54937	2.70698	0.01579	8.03805	1.21790	0.00607	1.47005
1.46246	2.04880	0.96423	0.41657	0.40390	1.85700	1.45716	0.34796	1.46246	0.01419	6.42577	0.28158	0.00458	1.72841
1.52362	2.39703	0.97564	0.72810	0.27730	0.19184	1.33747	0.97227	1.20676	0.01591	3.70802	0.76049	0.01272	1.89210
1.02172	0.63314	1.01520	0.90140	0.91754	1.21111	0.16169	0.95540	8.00569	0.01311	3.61573	0.79713	0.00785	1.01368
1.77441	0.52870	1.01113	0.30073	0.47572	0.92230	2.07875	0.95063	6.48296	0.00657	4.32226	0.40620	0.00200	1.19296
1.40187	1.27747	0.98285	0.47160	0.57370	1.17619	1.06450	0.78560	2.35118	0.00513	9.04592	1.45880	0.01002	1.78442
1.83220	0.64270	0.96889	0.52442	0.34084	0.78391	1.17783	0.79777	2.70953	0.02072	4.01914	0.74981	0.00587	1.39598
1.08194	1.69077	0.99881	0.34402	0.46976	0.71628	1.54736	0.55024	1.71822	0.00819	7.86428	1.35663	0.00774	1.32245
0.67040	0.70299	0.95545	0.32397	0.23517	0.40712	2.13620	0.72663	1.97769	0.02552	6.06534	1.00022	0.00903	1.28674
1.60200	0.90486	1.01980	0.53467	0.46747	0.12393	0.72363	0.90639	1.61415	0.02960	1.69354	1.33572	0.01857	1.17960
1.65699	1.34359	1.03388	0.28292	0.58625	1.32892	0.82704	0.24756	1.52583	0.02214	2.52708	1.38027	0.01034	1.46752
1.47884	5.31451	0.97662	0.38642	0.74854	2.44189	0.31409	0.63779	1.19847	0.00735	4.02587	1.33620	0.00592	1.37672
0.96824	0.75770	0.97548	0.33344	0.43858	1.17618	2.45629	0.91432	3.32035	0.01111	2.83842	0.29855	0.00262	0.46836
1.14893	1.78030	1.02091	0.34871	0.51805	1.49013	2.72328	0.94899	2.62291	0.00271	4.64433	0.04974	0.00216	1.72976
0.51975	1.07314	1.00621	0.37353	0.34198	0.33444	0.67944	0.98344	2.98756	0.00098	7.66198	0.65785	0.00084	0.33850
