eta1	kappa_k	kappa	sig	lam	mup	sigp	rsmax	n	alpha	alpha1	alpha2	betam1	gamma
1.04269	1.64864	1.01568	0.66271	0.83944	1.87819	1.67491	0.64351	1.23337	0.00871	5.78687	0.92383	0.00395	1.59219
1.47884	5.31451	0.97662	0.38642	0.74854	2.44189	0.31409	0.63779	1.19847	0.00735	4.02587	1.33620	0.00592	1.37672
1.67912	1.13732	1.02886	0.22682	0.73921	3.97134	0.94383	0.51983	1.95522	0.00471	1.05980	1.03912	0.00132	0.37987
1.28939	0.92241	1.00443	0.45584	0.52268	4.53294	2.27049	0.91732	1.86651	0.00168	5.53169	0.43762	0.00182	0.18495
1.30257	0.66452	1.01983	0.29542	0.37980	0.19748	0.39601	0.54193	6.79878	0.01012	1.42809	0.49630	0.00542	1.46770
1.27878	1.56930	1.00520	0.39248	0.82468	1.62752	0.99480	0.78574	7.89224	0.00425	5.81166	0.10549	0.00172	0.41211
1.09179	0.72926	1.01417	0.41342	0.73314	2.64693	3.96328	0.83394	1.03393	0.01092	7.29368	0.28210	0.00619	0.52226
2.00000	0.69945	0.97175	0.26095	0.95000	2.60853	2.52634	0.01000	1.98631	0.00000	9.11083	0.01000	0.01672	0.56590
1.73505	0.51772	0.99278	0.55804	0.83215	1.12822	0.89102	0.92507	2.09216	0.02119	3.15999	0.72189	0.00471	1.67147
1.65699	1.34359	1.03388	0.28292	0.58625	1.32892	0.82704	0.24756	1.52583	0.02214	2.52708	1.38027	0.01034	1.46752
1.77082	1.00009	1.02254	0.17347	0.45172	1.18054	0.47141	0.41766	3.64100	0.00820	5.93640	1.85847	0.00745	0.40369
1.61729	0.55193	1.01799	0.14242	0.64931	1.03921	0.49461	0.53281	3.29963	0.01704	4.29193	0.70006	0.00645	1.47899
1.08979	0.52590	0.98178	0.29439	0.78261	1.79490	0.71994	0.79862	2.49608	0.04651	4.21888	0.69605	0.01228	1.23526
0.71644	2.71585	0.95000	0.30502	0.31367	4.00266	2.32391	0.57053	1.03266	0.00000	3.05774	0.25057	0.00005	0.33053
1.29721	0.61957	0.97986	0.64854	0.27600	1.15401	1.11042	0.74149	5.92387	0.02087	2.32461	0.52669	0.00351	0.97195
