Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, eta_1, kappa_k, kappa, sig, lam, mup, sigp, rsmax, n, alpha, alpha1, alpha2, betam1, gamma, eta_1.median, kappa_k.median, kappa.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, n.median, alpha.median, alpha1.median, alpha2.median, betam1.median, gamma.median, eta_1.q5, kappa_k.q5, kappa.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, n.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, gamma.q5, eta_1.q95, kappa_k.q95, kappa.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, n.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, gamma.q95, eta_1.var, kappa_k.var, kappa.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, n.var, alpha.var, alpha1.var, alpha2.var, betam1.var, gamma.var, eta_1.q5_w_mnoise, kappa_k.q5_w_mnoise, kappa.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, n.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, gamma.q5_w_mnoise, eta_1.q95_w_mnoise, kappa_k.q95_w_mnoise, kappa.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, n.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, gamma.q95_w_mnoise, eta_1.var_w_mnoise, kappa_k.var_w_mnoise, kappa.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, n.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, gamma.var_w_mnoise
1, 0.16667, 0.37518, 0.0028, 0.10492, 1.1571, 0.21749, 1.2688, 0.56034, 0.98981, 0.42216, 0.50889, 0.28996, 0.65548, 0.53857, 6.1089, 0.0132, 0.89072, 0.21707, 0.00458, 1.9218, 1.1772, 0.88985, 1.0025, 0.31559, 0.49197, 1.5151, 1.2843, 0.58927, 5.7788, 0.010676, 3.491, 0.41261, 0.0052731, 0.74355, 0.85797, -0.035425, 0.96846, 0.20315, 0.33985, 0.88549, 0.0075506, 0.42167, 4.8589, 0.010675, 1.9933, 0.19243, -0.0015407, 0.094716, 1.4964, 1.8151, 1.0365, 0.42802, 0.64409, 2.1447, 2.5611, 0.75686, 6.6988, 0.010677, 4.9887, 0.6328, 0.012087, 1.3924, 0.037668, 0.31644, 0.00042744, 0.0046727, 0.0085529, 0.14651, 0.60253, 0.010382, 0.31283, 4.8753e-13, 0.82904, 0.017919, 1.7161e-05, 0.1556, 0.66876, -0.71065, 0.96247, 0.06525, 0.32468, -0.3434, -0.2196, 0.32624, 3.2567, -0.0046114, -0.043188, -0.27623, -0.001865, -0.16963, 1.6857, 2.4904, 1.0425, 0.56592, 0.65926, 3.3736, 2.7883, 0.8523, 8.301, 0.025964, 7.0252, 1.1015, 0.012411, 1.6567, 0.095552, 0.9468, 0.00059109, 0.023163, 0.010344, 1.2766, 0.836, 0.025572, 2.3511, 8.6382e-05, 4.6166, 0.17538, 1.8833e-05, 0.30822
2, 0.16667, 0.29326, 0.00296, 0.14819, 1, 0.31028, 1.3026, 0.66452, 1.0198, 0.29542, 0.3798, 0.19748, 0.39601, 0.54193, 6.7988, 0.01012, 1.4281, 0.4963, 0.00542, 1.4677, 1.3401, 0.62104, 1.0023, 0.34483, 0.32786, 1.5909, 1.2843, 0.46416, 4.7495, 0.010676, 3.8439, 0.53244, 0.0052731, 1.1344, 0.7999, -0.00074711, 0.96979, 0.20173, 0.21729, 1.0083, 0.0075506, 0.2705, 2.6034, 0.010675, 2.2545, 0.17051, -0.0015407, 0.69639, 1.8803, 1.2428, 1.0348, 0.48794, 0.43842, 2.1736, 2.5611, 0.65782, 6.8957, 0.010677, 5.4333, 0.89437, 0.012087, 1.5725, 0.10786, 0.1429, 0.00038996, 0.0075694, 0.0045185, 0.12548, 0.60253, 0.013862, 1.7024, 4.8753e-13, 0.93369, 0.048417, 1.7161e-05, 0.070919, 0.67046, -0.82536, 0.96357, 0.079304, 0.1972, -0.25217, -0.2196, 0.1838, 1.5682, -0.0046114, 0.26989, -0.2139, -0.001865, 0.35674, 2.0097, 2.0674, 1.041, 0.61036, 0.45852, 3.4341, 2.7883, 0.74452, 7.9308, 0.025964, 7.4179, 1.2788, 0.012411, 1.9121, 0.16574, 0.77326, 0.00055361, 0.02606, 0.00631, 1.2556, 0.836, 0.029052, 3.7408, 8.6382e-05, 4.7213, 0.20588, 1.8833e-05, 0.22354
3, 0.15198, 0.15255, 0.01264, 0.41875, 0.9, 0.21355, 1.0819, 1.6908, 0.99881, 0.34402, 0.46976, 0.71628, 1.5474, 0.55024, 1.7182, 0.00819, 7.8643, 1.3566, 0.00774, 1.3224, 1.5352, 1.4753, 0.99912, 0.51935, 0.54599, 1.3982, 0.72387, 0.4502, 2.1199, 0.010676, 5.284, 0.69064, 0.004872, 1.5154, 1.2867, 0.93046, 0.98237, 0.39005, 0.47807, 0.89642, 0.20946, 0.32392, 0.88804, 0.010675, 3.8681, 0.42208, 0.0036748, 1.2208, 1.7837, 2.0201, 1.0159, 0.64866, 0.61392, 1.8999, 1.2383, 0.57648, 3.3517, 0.010677, 6.6999, 0.9592, 0.0060693, 1.8099, 0.022819, 0.1097, 0.00010365, 0.0061797, 0.0017052, 0.09305, 0.097808, 0.0058941, 0.56085, 4.8753e-13, 0.74101, 0.026657, 5.2982e-07, 0.032073, 1.0679, 0.060247, 0.97223, 0.261, 0.44873, -0.42099, -0.22285, 0.21136, -0.53195, -0.0046114, 1.7837, -0.015155, 0.0024312, 0.80848, 2.0025, 2.8903, 1.026, 0.77771, 0.64326, 3.2173, 1.6706, 0.68904, 4.7717, 0.025964, 8.7843, 1.3964, 0.0073129, 2.2223, 0.080702, 0.74006, 0.00026729, 0.02467, 0.0034967, 1.2232, 0.33127, 0.021084, 2.5992, 8.6382e-05, 4.5286, 0.18412, 2.202e-06, 0.18469
4, 0.61111, 0.4608, 0.00776, 0, 0.48, 0.7694, 0.51975, 1.0731, 1.0062, 0.37353, 0.34198, 0.33444, 0.67944, 0.98344, 2.9876, 0.00098, 7.662, 0.65785, 0.00084, 0.3385, 1.3401, 1.043, 0.9982, 0.39191, 0.54274, 1.4634, 1.3261, 0.81279, 3.7537, 0.010676, 4.7958, 0.67107, 0.0052731, 0.60351, 0.7999, 0.35929, 0.9641, 0.19543, 0.23302, 0.83248, 0.050405, 0.6064, 1.2288, 0.010675, 2.5879, 0.26341, -0.0015407, 0.15802, 1.8803, 1.7268, 1.0323, 0.58838, 0.85247, 2.0942, 2.6017, 1.0192, 6.2786, 0.010677, 7.0038, 1.0787, 0.012087, 1.049, 0.10786, 0.1728, 0.0004298, 0.014268, 0.035457, 0.1471, 0.60147, 0.015743, 2.3564, 4.8753e-13, 1.8019, 0.061424, 1.7161e-05, 0.073351, 0.67046, -0.43106, 0.95813, 0.094197, 0.22529, -0.39557, -0.17692, 0.52349, 0.30552, -0.0046114, 0.90708, -0.098478, -0.001865, -0.1784, 2.0097, 2.5172, 1.0383, 0.68961, 0.8602, 3.3223, 2.829, 1.1021, 7.2019, 0.025964, 8.6846, 1.4406, 0.012411, 1.3854, 0.16574, 0.80316, 0.00059344, 0.032759, 0.037248, 1.2772, 0.83494, 0.030933, 4.3947, 8.6382e-05, 5.5894, 0.21889, 1.8833e-05, 0.22597
5, 0.125, 0.44876, 0.00661, 0.28113, 0.75, 0.33309, 0.70753, 1.8383, 1.0499, 0.20474, 0.38323, 3.1233, 2.0972, 0.55761, 5.6242, 0.00146, 6.395, 0.32076, 0.0031, 0.38359, 1.3401, 3.5754, 1.0112, 0.33988, 0.48549, 1.3845, 1.2843, 0.73756, 4.2896, 0.010676, 5.2384, 0.89497, 0.0052653, 0.54302, 0.7999, 2.586, 0.983, 0.18003, 0.28559, 0.77735, 0.0075514, 0.54718, 2.4032, 0.010675, 3.365, 0.51102, -0.0015485, 0.025978, 1.8803, 4.5648, 1.0394, 0.49973, 0.68539, 1.9917, 2.5611, 0.92794, 6.1759, 0.010677, 7.1119, 1.2789, 0.012079, 1.0601, 0.10786, 0.36185, 0.00029359, 0.0094442, 0.01477, 0.13627, 0.60253, 0.013396, 1.3152, 4.8753e-13, 1.2972, 0.054488, 1.7161e-05, 0.098808, 0.67046, 1.937, 0.97601, 0.064964, 0.27382, -0.46648, -0.2196, 0.45946, 1.2774, -0.0046114, 1.5294, 0.13771, -0.0018728, -0.28176, 2.0097, 5.2138, 1.0464, 0.61479, 0.69717, 3.2356, 2.7883, 1.0157, 7.3017, 0.025964, 8.9475, 1.6522, 0.012403, 1.3678, 0.16574, 0.99221, 0.00045723, 0.027935, 0.016561, 1.2664, 0.836, 0.028586, 3.3535, 8.6382e-05, 5.0848, 0.21195, 1.8833e-05, 0.25143
6, 0.28571, 0.28875, 0.00179, 0.05561, 0.6, 0.52839, 1.4788, 5.3145, 0.97662, 0.38642, 0.74854, 2.4419, 0.31409, 0.63779, 1.1985, 0.00735, 4.0259, 1.3362, 0.00592, 1.3767, 1.3401, 1.4584, 1.0003, 0.31538, 0.4816, 1.505, 1.2221, 0.62678, 3.5373, 0.010676, 5.3632, 0.96166, 0.0052731, 1.2571, 0.7999, -0.027947, 0.96607, 0.15665, 0.20538, 0.90822, -0.049129, 0.49229, 2.3476, 0.010675, 3.966, 0.70591, -0.0015407, 0.81994, 1.8803, 2.9447, 1.0346, 0.47412, 0.75782, 2.1017, 2.4934, 0.76126, 4.727, 0.010677, 6.7604, 1.2174, 0.012087, 1.6943, 0.10786, 0.81653, 0.00043395, 0.009313, 0.028201, 0.13162, 0.59735, 0.0066847, 0.52316, 4.8753e-13, 0.72153, 0.024176, 1.7161e-05, 0.070642, 0.67046, -0.52016, 0.96013, 0.041113, 0.19674, -0.34266, -0.27712, 0.3835, 0.90475, -0.0046114, 1.8704, 0.26064, -0.001865, 0.47991, 2.0097, 3.4369, 1.0405, 0.58965, 0.76646, 3.3526, 2.7214, 0.87005, 6.1698, 0.025964, 8.856, 1.6627, 0.012411, 2.0343, 0.16574, 1.4469, 0.00059759, 0.027803, 0.029992, 1.2617, 0.83081, 0.021875, 2.5615, 8.6382e-05, 4.5091, 0.18164, 1.8833e-05, 0.22326
7, 0.16667, 0.34416, 0.00257, 0.09624, 1.1571, 0.21682, 1.9601, 0.62153, 0.95202, 0.2604, 0.48465, 0.96471, 0.8061, 0.34672, 5.7162, 0.00036, 2.6063, 0.18524, 0.00454, 0.72372, 1.6285, 0.6804, 0.97921, 0.33675, 0.51463, 1.8746, 1.2843, 0.58832, 4.8942, 0.010676, 3.2455, 0.43128, 0.0052731, 0.76061, 1.3093, -0.046402, 0.95003, 0.24288, 0.36249, 1.3053, 0.0075506, 0.43908, 3.9917, 0.010675, 1.9646, 0.24417, -0.0015408, 0.34096, 1.9478, 1.4072, 1.0084, 0.43062, 0.66676, 2.4439, 2.5611, 0.73755, 5.7968, 0.010677, 4.5264, 0.61839, 0.012087, 1.1803, 0.037668, 0.19525, 0.00031465, 0.0032566, 0.0085548, 0.11978, 0.60253, 0.0082321, 0.30111, 4.8753e-13, 0.60642, 0.01294, 1.7161e-05, 0.065091, 1.1201, -0.81416, 0.94324, 0.094185, 0.34732, 0.035691, -0.2196, 0.33658, 2.3784, -0.0046114, -0.20243, -0.24771, -0.001865, -0.0068741, 2.137, 2.175, 1.0152, 0.57931, 0.68194, 3.7136, 2.7883, 0.84005, 7.4101, 0.025964, 6.6934, 1.1103, 0.012411, 1.5281, 0.095552, 0.8256, 0.00047829, 0.021747, 0.010346, 1.2499, 0.836, 0.023422, 2.3394, 8.6382e-05, 4.394, 0.1704, 1.8833e-05, 0.21771
8, 0.21285, 0.16327, 0.00629, 0.1029, 1.1811, 0.24521, 0.69529, 0.6262, 1.0104, 0.56335, 0.21447, 1.0708, 1.8637, 0.95119, 7.2162, 0.00534, 7.3249, 0.08153, 0.01291, 1.2927, 1.2314, 0.84677, 0.99871, 0.59605, 0.49978, 1.3535, 0.89363, 0.73902, 5.4556, 0.010676, 5.2269, 0.70268, 0.0052721, 1.1079, 0.91218, -0.035637, 0.97399, 0.47256, 0.26257, 0.79383, -0.18667, 0.60054, 4.6021, 0.010675, 3.7677, 0.46565, -0.0015418, 0.71643, 1.5507, 1.7292, 1.0234, 0.71955, 0.73699, 1.9133, 1.9739, 0.8775, 6.3092, 0.010677, 6.6862, 0.9397, 0.012086, 1.4993, 0.037668, 0.2878, 0.00022596, 0.0056369, 0.020798, 0.11579, 0.43136, 0.0070878, 0.26927, 4.8753e-13, 0.78703, 0.020765, 1.7161e-05, 0.056636, 0.72297, -0.72933, 0.96624, 0.34056, 0.25257, -0.48245, -0.44752, 0.49351, 2.957, -0.0046114, 1.7089, 0.0082666, -0.0018661, 0.35545, 1.7399, 2.4229, 1.0312, 0.85155, 0.747, 3.1895, 2.2348, 0.98453, 7.9543, 0.025964, 8.745, 1.3971, 0.01241, 1.8603, 0.095552, 0.91815, 0.0003896, 0.024127, 0.022589, 1.2459, 0.66482, 0.022278, 2.3076, 8.6382e-05, 4.5746, 0.17823, 1.8833e-05, 0.20926
9, 0.5022, 0.34905, 0.00692, 0.08487, 0.7125, 0.52514, 0.73333, 0.62236, 1.014, 0.39267, 0.54362, 0.63062, 0.56495, 0.66324, 1.7495, 0.02299, 9.6959, 0.37833, 0.00411, 0.84929, 1.3401, 1.5586, 1.0003, 0.34797, 0.53334, 1.6558, 1.2843, 0.69897, 2.4542, 0.010676, 4.6094, 0.48025, 0.0041359, 0.8882, 0.7999, 0.377, 0.96601, 0.16739, 0.2606, 1.0531, 0.0075506, 0.4226, 0.79113, 0.010675, 2.6791, 0.25093, -0.0022596, 0.40598, 1.8803, 2.7402, 1.0345, 0.52854, 0.80608, 2.2586, 2.5611, 0.97534, 4.1172, 0.010677, 6.5396, 0.70956, 0.010531, 1.3704, 0.10786, 0.51603, 0.00043395, 0.012052, 0.027495, 0.13427, 0.60253, 0.028231, 1.0222, 4.8753e-13, 1.3771, 0.019436, 1.5118e-05, 0.085947, 0.67046, -0.20255, 0.96006, 0.060503, 0.25186, -0.19372, -0.2196, 0.35622, -0.42341, -0.0046114, 0.87129, -0.21157, -0.002604, 0.084798, 2.0097, 3.3197, 1.0405, 0.63543, 0.81483, 3.5054, 2.7883, 1.0417, 5.3317, 0.025964, 8.3474, 1.1721, 0.010876, 1.6916, 0.16574, 1.1464, 0.0005976, 0.030543, 0.029286, 1.2644, 0.836, 0.043421, 3.0605, 8.6382e-05, 5.1647, 0.1769, 1.679e-05, 0.23857
10, 0.15198, 0.21123, 0.0175, 0.31341, 0.9, 0.15748, 1.876, 0.84286, 1.0105, 0.38127, 0.6269, 1.3521, 0.43455, 0.46173, 2.1319, 0.00537, 1.3671, 0.52485, 0.00254, 1.9136, 1.3401, 1.268, 1.01, 0.51144, 0.54476, 1.4013, 1.2843, 0.55112, 3.5772, 0.010676, 5.1016, 0.81536, 0.0040675, 1.2508, 0.7999, 0.70527, 0.9871, 0.36388, 0.26612, 0.8221, 0.0075506, 0.35818, 1.4744, 0.010675, 3.3027, 0.46495, 0.0020371, 0.65271, 1.8803, 1.8308, 1.0328, 0.65899, 0.82341, 1.9805, 2.5611, 0.74407, 5.68, 0.010677, 6.9004, 1.1658, 0.0060979, 1.8488, 0.10786, 0.11705, 0.00019331, 0.0080473, 0.028697, 0.124, 0.60253, 0.01376, 1.6344, 4.8753e-13, 1.1961, 0.045385, 1.5237e-06, 0.1322, 0.67046, -0.154, 0.9789, 0.24348, 0.25756, -0.44072, -0.2196, 0.27126, 0.42499, -0.0046114, 1.4296, 0.074544, 0.001127, 0.37293, 2.0097, 2.69, 1.041, 0.77939, 0.83197, 3.2433, 2.7883, 0.83099, 6.7295, 0.025964, 8.7735, 1.5562, 0.007008, 2.1286, 0.16574, 0.74741, 0.00035695, 0.026538, 0.030489, 1.2541, 0.836, 0.02895, 3.6727, 8.6382e-05, 4.9836, 0.20285, 3.1959e-06, 0.28482
