Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, eta_1, kappa_k, kappa, sig, lam, mup, sigp, rsmax, n, alpha, alpha1, alpha2, betam1, gamma, eta_1.median, kappa_k.median, kappa.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, n.median, alpha.median, alpha1.median, alpha2.median, betam1.median, gamma.median, eta_1.q5, kappa_k.q5, kappa.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, n.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, gamma.q5, eta_1.q95, kappa_k.q95, kappa.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, n.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, gamma.q95, eta_1.var, kappa_k.var, kappa.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, n.var, alpha.var, alpha1.var, alpha2.var, betam1.var, gamma.var, eta_1.q5_w_mnoise, kappa_k.q5_w_mnoise, kappa.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, n.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, gamma.q5_w_mnoise, eta_1.q95_w_mnoise, kappa_k.q95_w_mnoise, kappa.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, n.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, gamma.q95_w_mnoise, eta_1.var_w_mnoise, kappa_k.var_w_mnoise, kappa.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, n.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, gamma.var_w_mnoise
1, 0.91667, 0.64994, 0.04344, 0.11868, 0.72, 1.0531, 1.3866, 1.3779, 1.0474, 0.34278, 0.28754, 3.4329, 1.2397, 0.8447, 6.3513, 0.00455, 6.509, 1.9658, 0.01251, 0.21036, 1.1296, 1.4167, 1.0082, 0.2073, 0.26367, 2.1333, 2.1341, 0.82479, 4.553, 0.0037744, 3.0255, 0.89047, 0.016857, 0.5156, 0.91848, 0.9345, 0.97107, 0.090891, 0.16835, 1.533, 1.1685, 0.7603, 2.8989, -0.0018467, 0.05207, -0.26702, 0.010796, -0.33969, 1.3407, 1.8989, 1.0453, 0.3237, 0.35899, 2.7335, 3.0996, 0.88928, 6.2071, 0.0093955, 5.9989, 2.048, 0.022919, 1.3709, 0.016472, 0.085946, 0.00050981, 0.0050083, 0.0033582, 0.13316, 0.34458, 0.0015373, 1.0113, 1.1679e-05, 3.2678, 0.4952, 1.358e-05, 0.27038, 0.54617, -0.3968, 0.96119, 0.030328, 0.16712, 0.2404, -0.026, 0.56388, 1.7542, -0.0058748, -1.108, -0.26903, -0.0022221, -0.35425, 1.713, 3.2302, 1.0552, 0.38426, 0.36022, 4.0261, 4.2941, 1.0857, 7.3519, 0.013424, 7.159, 2.05, 0.035937, 1.3855, 0.12581, 1.2156, 0.00081698, 0.011575, 0.0034458, 1.3243, 1.7246, 0.025161, 2.8954, 3.4414e-05, 6.3151, 0.49692, 0.00013455, 0.27967
2, 0.91667, 0.49891, 0.04394, 0.12147, 0.36, 1.0315, 1.5182, 1.4942, 1.0312, 0.27646, 0.2043, 3.9903, 1.9603, 0.69381, 4.827, 0.00302, 1.4436, 0.68662, 0.0181, 0.25811, 1.1162, 1.193, 1.0082, 0.27055, 0.23474, 2.0149, 2.2499, 0.84872, 4.1015, 0.0027496, 3.5041, 0.33031, 0.015689, 0.33791, 0.90816, 0.81607, 0.97103, 0.18637, 0.16893, 1.4255, 1.5801, 0.79086, 1.6995, -0.0016892, 0.77111, -0.49689, 0.0099607, -0.20898, 1.3242, 1.57, 1.0453, 0.35472, 0.30056, 2.6043, 2.9196, 0.90659, 6.5034, 0.0071884, 6.237, 1.1575, 0.021417, 0.88479, 0.015992, 0.052518, 0.00050979, 0.0026187, 0.0016009, 0.1284, 0.1658, 0.0012376, 2.1324, 7.2825e-06, 2.7606, 0.25291, 1.2127e-05, 0.11054, 0.53387, -0.59539, 0.96115, 0.1129, 0.16716, 0.12541, 0.20482, 0.58937, 0.80499, -0.0062622, -0.45999, -0.49969, -0.0032875, -0.23148, 1.6985, 2.9814, 1.0552, 0.42819, 0.30233, 3.9043, 4.2949, 1.1081, 7.3979, 0.011761, 7.4681, 1.1603, 0.034665, 0.90729, 0.12533, 1.1822, 0.00081696, 0.0091857, 0.0016884, 1.3195, 1.5458, 0.024862, 4.0165, 3.0017e-05, 5.808, 0.25462, 0.0001331, 0.11983
3, 0.66703, 0.16021, 0.00808, 0.05737, 0.30236, 0.50529, 1.0221, 0.62941, 0.98042, 0.6678, 0.28812, 0.23308, 1.8332, 0.61947, 2.6974, 0.00254, 0.76698, 0.44164, 0.00888, 0.23578, 1.1421, 1.6482, 0.99883, 0.28402, 0.22561, 1.9478, 2.0152, 0.81124, 4.1015, 0.00496, 4.3339, 0.8269, 0.020528, 0.39285, 0.83906, 1.2045, 0.97478, 0.060979, 0.0067085, 1.1218, 1.0655, 0.75068, 1.6996, -0.0023112, 1.1903, -0.21964, 0.014258, -0.26966, 1.445, 2.0918, 1.0229, 0.50707, 0.44451, 2.7739, 2.9649, 0.87181, 6.5034, 0.012231, 7.4775, 1.8734, 0.026797, 1.0554, 0.033932, 0.072738, 0.00021372, 0.018388, 0.017711, 0.2522, 0.33339, 0.0013558, 2.1324, 1.9541e-05, 3.6525, 0.40481, 1.4529e-05, 0.16223, 0.51947, -0.15549, 0.96129, 0.024185, 0.0061681, -0.028265, -0.13787, 0.55127, 0.80502, -0.0057349, 0.076335, -0.22185, 0.001381, -0.28835, 1.7646, 3.4518, 1.0364, 0.54386, 0.44505, 3.9239, 4.1682, 1.0712, 7.398, 0.015655, 8.5914, 1.8757, 0.039674, 1.0741, 0.14327, 1.2024, 0.0005209, 0.024955, 0.017798, 1.4433, 1.7134, 0.02498, 4.0165, 4.2276e-05, 6.6999, 0.40653, 0.0001355, 0.17151
4, 0.91667, 0.47414, 0.04454, 0.23278, 0.48, 0.9695, 1.7926, 1.0978, 0.99254, 0.25278, 0.19446, 1.5952, 2.0583, 0.94752, 6.406, 0.00054, 3.5969, 1.584, 0.01101, 0.25738, 1.2553, 1.166, 1.0082, 0.19549, 0.22099, 2.0535, 2.2177, 0.84491, 4.1015, 0.0022748, 3.4597, 1.0081, 0.015092, 0.57975, 1.0078, 0.81083, 0.97109, 0.12988, 0.11675, 1.4603, 1.479, 0.79093, 1.6995, -0.0010339, 0.41696, -0.045851, 0.01013, 0.10552, 1.5028, 1.5211, 1.0454, 0.26109, 0.32523, 2.6467, 2.9565, 0.89889, 6.5034, 0.0055836, 6.5024, 2.0621, 0.020053, 1.054, 0.022647, 0.046614, 0.00050981, 0.0015908, 0.0040163, 0.13007, 0.20171, 0.0010769, 2.1324, 4.0465e-06, 3.4219, 0.41059, 9.0984e-06, 0.08312, 0.65773, -0.61798, 0.96121, 0.046923, 0.11562, 0.16283, 0.14906, 0.58639, 0.80498, -0.0062374, -0.72397, -0.048048, -0.0036675, 0.079739, 1.8529, 2.9499, 1.0552, 0.34405, 0.32636, 3.9441, 4.2864, 1.1034, 7.3979, 0.010787, 7.6433, 2.0643, 0.033851, 1.0798, 0.13198, 1.1763, 0.00081698, 0.0081579, 0.0041039, 1.3212, 1.5817, 0.024701, 4.0165, 2.6781e-05, 6.4692, 0.4123, 0.00013007, 0.092405
5, 0.5, 0.25462, 0.01461, 0, 0.6, 0.49298, 1.682, 0.933, 1.05, 0.17997, 0.39867, 1.2586, 1.6322, 0.70213, 2.2727, 0.00638, 3.1037, 1.2789, 0.00257, 0.20079, 1.4719, 1.5227, 1.0082, 0.155, 0.4118, 1.8127, 1.5562, 0.80859, 2.7848, 0.0068355, 4.8425, 0.77895, 0.018651, 0.24276, 1.2239, 1.0887, 0.97109, 0.055308, 0.35675, 1.1821, 0.76548, 0.74625, 1.4552, 0.0019098, 1.9728, -0.3486, 0.012879, -0.25333, 1.7199, 1.9567, 1.0454, 0.25469, 0.46685, 2.4434, 2.3469, 0.87093, 4.1144, 0.011761, 7.7123, 1.9065, 0.024424, 0.73886, 0.022728, 0.069617, 0.00050981, 0.0036731, 0.0011202, 0.147, 0.23109, 0.0014365, 0.65339, 8.9676e-06, 3.0439, 0.46991, 1.2316e-05, 0.090967, 0.87417, -0.27864, 0.96121, -0.011452, 0.35464, -0.090002, -0.5316, 0.5482, 0.16465, -0.0024259, 0.78297, -0.35065, -0.00033824, -0.27804, 2.0697, 3.324, 1.0552, 0.32145, 0.46896, 3.7154, 3.644, 1.069, 5.405, 0.016097, 8.9021, 1.9085, 0.037641, 0.76357, 0.13206, 1.1993, 0.00081698, 0.01024, 0.0012077, 1.3381, 1.6111, 0.025061, 2.5375, 3.1703e-05, 6.0912, 0.47162, 0.00013328, 0.10025
6, 0.4, 0.38756, 0.01485, 0, 0.6, 0.66731, 1.5959, 0.72225, 0.99986, 0.15986, 0.19936, 3.4749, 1.4799, 0.69793, 2.6799, 0.01032, 4.2291, 0.01744, 0.02778, 0.16912, 1.2937, 1.264, 1.0082, 0.14737, 0.22511, 1.9683, 2.1704, 0.80742, 2.6436, 0.006424, 3.8447, 0.9855, 0.020925, 0.5066, 0.98774, 0.83196, 0.97108, 0.070936, 0.0058238, 1.1283, 1.2037, 0.74712, 1.314, 0.0024562, 1.1679, -0.10176, 0.015557, -0.25692, 1.5998, 1.696, 1.0454, 0.2238, 0.4444, 2.8083, 3.1371, 0.86772, 3.9732, 0.010392, 6.5215, 2.0728, 0.026292, 1.2701, 0.03461, 0.068984, 0.00050981, 0.0021592, 0.017773, 0.26079, 0.34539, 0.001344, 0.65339, 5.819e-06, 2.6484, 0.43693, 1.0649e-05, 0.21547, 0.66969, -0.53685, 0.9612, -0.0062853, 0.0052844, -0.013697, 0.0098178, 0.54751, 0.023447, -0.0023654, -0.080884, -0.10389, 0.0020544, -0.27319, 1.9178, 3.0648, 1.0552, 0.30102, 0.44494, 3.9502, 4.331, 1.0673, 5.2638, 0.015213, 7.7702, 2.0749, 0.039795, 1.2864, 0.14394, 1.1986, 0.00081698, 0.0087263, 0.017861, 1.4519, 1.7254, 0.024968, 2.5375, 2.8554e-05, 5.6957, 0.43865, 0.00013162, 0.22475
7, 0.61111, 0.4608, 0.04391, 0, 0.48, 0.7694, 1.4351, 1.6036, 0.97767, 0.36027, 0.21146, 2.6139, 0.12569, 0.61397, 7.0277, 0.00029, 3.3231, 1.6487, 0.00466, 0.2545, 1.1381, 1.14, 1.0083, 0.20117, 0.1607, 2.2402, 2.1088, 0.84106, 3.9407, 0.0022145, 2.6855, 1.4894, 0.012832, 0.24768, 0.79645, 0.78239, 0.97113, 0.12023, 0.036405, 1.5684, 1.2425, 0.78542, 1.5826, -0.0011197, 0.89452, 1.118, 0.0081516, 0.077529, 1.4798, 1.4976, 1.0454, 0.2821, 0.28499, 2.912, 2.975, 0.8967, 6.2988, 0.0055487, 4.4765, 1.8608, 0.017513, 0.41783, 0.043144, 0.047265, 0.00050981, 0.0024213, 0.0057099, 0.16681, 0.27735, 0.0011441, 2.0553, 4.1089e-06, 1.1856, 0.050978, 8.0973e-06, 0.010701, 0.49582, -0.64445, 0.96126, 0.045221, 0.035456, 0.32341, -0.0087822, 0.5822, 0.67601, -0.0063077, -0.69863, 1.1118, -0.0058546, 0.015144, 1.7804, 2.9244, 1.0553, 0.35711, 0.28594, 4.1569, 4.2263, 1.0999, 7.2054, 0.010737, 6.0696, 1.867, 0.031519, 0.48021, 0.15248, 1.1769, 0.00081698, 0.0089884, 0.0057974, 1.3579, 1.6573, 0.024768, 3.9394, 2.6844e-05, 4.2329, 0.052691, 0.00012907, 0.019986
8, 0.61111, 0.47262, 0.04446, 0.11602, 0.48, 0.83664, 0.72282, 0.56051, 1.0023, 0.18557, 0.06267, 1.758, 2.0052, 0.72127, 3.9829, 0.00312, 2.2249, 0.25996, 0.01935, 0.54725, 1.1707, 1.1868, 1.0082, 0.23124, 0.15167, 2.475, 1.9637, 0.8474, 3.1258, 0.0018024, 2.6467, 0.43359, 0.012641, 0.56346, 0.89173, 0.83193, 0.97109, 0.17457, 0.049628, 1.8484, 1.1517, 0.79488, 1.4801, -0.0015082, 0.26957, -0.46784, 0.0082299, 0.37636, 1.4496, 1.5417, 1.0454, 0.28792, 0.25371, 3.1016, 2.7756, 0.89993, 4.7715, 0.0051131, 5.0239, 1.335, 0.017051, 0.75055, 0.02876, 0.046555, 0.00050981, 0.0011871, 0.0038485, 0.14514, 0.24365, 0.0010197, 1.001, 4.0511e-06, 2.0887, 0.30033, 7.1904e-06, 0.012938, 0.55943, -0.59706, 0.96121, 0.086402, 0.048474, 0.5736, -0.13226, 0.58919, 0.33194, -0.0067105, -1.0809, -0.47041, -0.0059803, 0.31825, 1.7819, 2.9707, 1.0552, 0.37609, 0.25486, 4.3764, 4.0596, 1.1056, 5.9197, 0.010315, 6.3744, 1.3376, 0.031262, 0.80866, 0.13809, 1.1762, 0.00081698, 0.0077541, 0.003936, 1.3363, 1.6237, 0.024644, 2.8851, 2.6786e-05, 5.136, 0.30205, 0.00012816, 0.022223
9, 0.5, 0.23049, 0.00283, 0.0024, 0.28937, 0.56103, 1.2673, 2.6782, 1.0447, 0.38976, 0.3256, 0.38657, 0.51746, 0.9933, 6.5359, 0.00238, 9.9661, 0.33619, 0.02018, 0.20636, 1.3704, 1.523, 1.0082, 0.23412, 0.31775, 1.9262, 1.7132, 0.79692, 5.3606, 0.0057989, 4.3973, 0.3209, 0.02229, 0.25009, 1.0968, 1.0938, 0.97109, 0.11902, 0.20259, 1.2752, 0.94057, 0.73576, 3.8144, 0.00042945, 2.0898, -0.34666, 0.01489, -0.25977, 1.644, 1.9523, 1.0454, 0.34921, 0.4329, 2.5772, 2.4858, 0.85807, 6.9068, 0.011168, 6.7049, 0.98846, 0.02969, 0.75996, 0.027677, 0.068113, 0.00050981, 0.0048964, 0.0049015, 0.15662, 0.22064, 0.0013823, 0.88359, 1.0656e-05, 1.9681, 0.16471, 2.0241e-05, 0.096084, 0.76156, -0.27713, 0.96121, 0.058007, 0.20157, 0.016657, -0.36782, 0.53681, 2.6242, -0.0037059, 0.71366, -0.35013, 0.0027443, -0.28383, 1.9792, 3.3232, 1.0552, 0.41023, 0.43393, 3.8358, 3.7942, 1.057, 8.097, 0.015304, 8.081, 0.99192, 0.041836, 0.78402, 0.13701, 1.1978, 0.00081698, 0.011463, 0.004989, 1.3478, 1.6006, 0.025006, 2.7677, 3.3391e-05, 5.0155, 0.16643, 0.00014121, 0.10537
10, 0.91667, 0.51803, 0, 0.25225, 10, 1.258, 1.2214, 2.4996, 0.99306, 0.48037, 0.46236, 2.8969, 2.5558, 0.71368, 2.9857, 0.00054, 0.68378, 2, 0.03148, 0.8981, 1.219, 1.3557, 1.0082, 0.47589, 0.43944, 2.2541, 2.121, 0.82775, 4.1015, 0.0025986, 3.6607, 0.88003, 0.039302, 1.3522, 0.82841, 0.89581, 0.97109, 0.37661, 0.27308, 1.5103, 1.3689, 0.76597, 1.6995, -0.0018109, 0.46619, -0.27795, 0.030041, 0.65738, 1.6095, 1.8156, 1.0454, 0.57516, 0.60581, 2.9978, 2.8732, 0.88953, 6.5034, 0.0070082, 6.8552, 2.038, 0.048563, 2.0471, 0.056374, 0.078177, 0.00050981, 0.0036428, 0.01023, 0.20447, 0.2091, 0.0014107, 2.1324, 7.1868e-06, 3.7719, 0.49561, 3.17e-05, 0.17846, 0.54938, -0.452, 0.96122, 0.30968, 0.27237, 0.3109, 0.047527, 0.5675, 0.80499, -0.0063988, -0.6346, -0.27995, 0.018978, 0.63953, 1.8885, 3.1634, 1.0552, 0.64209, 0.60652, 4.1972, 4.1945, 1.088, 7.3979, 0.011596, 7.956, 2.04, 0.059626, 2.065, 0.16571, 1.2078, 0.00081698, 0.01021, 0.010318, 1.3956, 1.5891, 0.025035, 4.0165, 2.9922e-05, 6.8192, 0.49733, 0.00015267, 0.18775
