ar	lrr	srr	alr	sdr	smr
0.18182	0.30430	0.01083	0.05829	0.60000	0.42944
0.28571	0.28875	0.01058	0.05561	0.60000	0.52839
0.15385	0.29889	0.01177	0.05726	0.60000	0.36901
0.18315	0.20652	0.01864	0.00336	1.41176	0.11561
0.18657	0.23496	0.01647	0.00981	1.88571	0.12381
0.26882	0.20527	0.01264	0.33953	2.58000	0.31963
0.25000	0.30326	0.01606	0.20813	0.90000	0.41679
0.25000	0.27666	0.03959	0.58943	1.09091	0.35315
0.50000	0.27313	0.01861	0.23911	0.80000	0.60230
0.50000	0.29161	0.01923	0.57173	1.20000	0.53949
0.50000	0.23577	0.02438	0.40689	0.85714	0.58015
0.50000	0.24182	0.04249	0.36837	1.74545	0.39848
0.50000	0.24182	0.04249	0.73674	1.74545	0.37436
0.50000	0.37205	0.01455	0.00000	0.60000	0.72438
0.50000	0.25462	0.01461	0.00000	0.60000	0.49298
0.50000	0.45595	0.04408	0.00000	0.36364	0.77836
0.50000	0.44862	0.01598	0.00000	0.90000	0.63472
0.66667	0.46352	0.01624	0.00000	0.60000	0.86356
0.50000	0.48597	0.01861	0.00000	0.45000	0.85286
0.50000	0.49951	0.01887	0.19991	1.20000	0.64416
0.40000	0.47946	0.01848	0.19988	1.20000	0.57691
0.50000	0.45949	0.06678	0.19996	0.60000	0.68223
0.50000	0.47946	0.01848	0.19988	0.60000	0.84849
0.66667	0.48783	0.01666	0.09989	1.20000	0.71362
0.50000	0.38541	0.01472	0.10002	1.20000	0.62094
0.50000	0.40764	0.01526	0.00000	0.60000	0.73839
0.50000	0.24055	0.01502	0.00000	0.60000	0.44564
0.50000	0.41772	0.01533	0.10007	0.60000	0.81841
0.40000	0.40676	0.01512	0.09999	0.60000	0.75656
0.66667	0.39863	0.01497	0.10004	0.60000	0.88162
0.66667	0.40558	0.01510	0.09993	0.45000	0.94386
0.57143	0.42027	0.01462	0.17498	0.45000	0.99222
0.50000	0.42024	0.01537	0.00000	0.45000	0.83798
0.50000	0.45152	0.04303	0.00000	0.27273	0.86989
0.50000	0.43195	0.06563	0.00000	0.45000	0.62500
0.50000	0.42151	0.04158	0.00000	0.54545	0.63979
0.66667	0.28878	0.00000	0.00000	10.00000	0.86381
0.25000	0.26710	0.06188	0.13674	0.44444	0.36078
0.25000	0.31953	0.06769	0.61304	0.80000	0.31132
0.25000	0.22752	0.02810	0.52760	0.57143	0.56185
0.25000	0.23335	0.04085	0.73864	1.05263	0.35494
0.50000	0.35621	0.03755	0.18994	1.00000	0.60165
0.50000	0.41081	0.01519	0.38993	0.55385	0.92438
0.50000	0.41081	0.03806	0.38993	1.00000	0.68992
0.16073	0.11341	0.02512	0.05049	0.48000	0.23969
0.16073	0.12155	0.02600	0.09479	0.48000	0.29796
0.34302	0.12791	0.02667	0.09975	0.48000	0.41399
0.13333	0.72522	0.08344	0.24120	1.00909	0.21516
0.26667	0.72522	0.08344	0.24120	1.00909	0.38041
0.26667	0.72522	0.08344	0.35142	1.00909	0.39777
0.16630	0.26546	0.01059	0.06850	1.07191	0.23756
0.33260	0.27707	0.01384	0.07150	2.12222	0.22993
0.33333	0.36272	0.01629	0.10144	2.06667	0.22601
0.33333	0.37842	0.01664	0.21077	2.06667	0.26906
0.16667	0.34416	0.01295	0.09624	1.15714	0.21682
0.33333	0.35826	0.01619	0.10019	2.06667	0.22590
0.33333	0.35974	0.01622	0.20036	2.06667	0.26958
0.16667	0.37518	0.01352	0.10492	1.15714	0.21749
0.66667	0.08881	0.18901	0.14145	1.06800	0.20878
1.00000	0.16347	0.17810	0.24754	1.61818	0.32643
0.50000	0.13709	0.07486	0.20759	0.56190	0.45383
0.50000	0.35329	0.16309	0.20759	1.27143	0.35946
0.91667	0.51623	0.04470	0.00000	0.36000	1.03969
0.91667	0.50742	0.04432	0.00000	0.72000	0.80742
0.91667	0.51984	0.00000	0.12657	10.00000	1.30778
0.91667	0.49891	0.04394	0.12147	0.36000	1.03148
0.91667	0.51984	0.04486	0.12657	0.72000	0.86469
0.91667	0.47349	0.04281	0.11528	1.02857	0.74456
0.91667	0.64994	0.04344	0.11868	0.72000	1.05311
0.91667	0.32820	0.04365	0.11986	0.72000	0.65770
0.91667	0.51803	0.00000	0.25225	10.00000	1.25804
0.91667	0.53480	0.04550	0.26042	0.36000	1.04840
0.91667	0.48746	0.04344	0.23736	0.72000	0.88952
0.91667	0.47500	0.04288	0.23130	1.02857	0.79126
0.61111	0.46080	0.04391	0.00000	0.48000	0.76940
0.61111	0.47111	0.04439	0.00000	1.02857	0.51611
0.91667	0.47111	0.04439	0.11565	0.48000	0.94280
0.61111	0.47414	0.00000	0.11639	10.00000	1.26814
0.61111	0.47262	0.04446	0.11602	0.48000	0.83664
0.45833	0.48346	0.04497	0.11868	0.48000	0.75422
0.61111	0.71930	0.05485	0.17658	0.48000	0.89347
0.61111	0.34942	0.03823	0.08578	0.48000	0.78839
0.91667	0.47414	0.04454	0.23278	0.48000	0.96950
0.61111	0.49648	0.04557	0.24376	0.48000	0.87843
0.45833	0.47720	0.04468	0.23429	0.48000	0.79806
0.61111	0.78019	0.05713	0.38305	0.48000	0.88483
0.61111	0.35704	0.03865	0.17529	0.48000	0.84857
0.22230	0.31474	0.01693	0.09439	1.26316	0.24533
0.22230	0.31474	0.01693	0.09439	1.26316	0.24533
0.22230	0.25711	0.01530	0.08559	1.26316	0.24902
0.22230	0.25711	0.01530	0.08559	1.26316	0.24902
0.22230	0.25711	0.01530	0.08559	1.26316	0.24902
0.22230	0.27827	0.01592	0.09264	1.26316	0.25017
0.22230	0.27827	0.01592	0.09264	1.26316	0.25017
0.22230	0.28084	0.01599	0.09349	1.26316	0.25029
0.22230	0.33805	0.01754	0.10139	1.26316	0.24617
0.22230	0.33805	0.01754	0.10139	1.26316	0.24617
0.22230	0.33805	0.01754	0.10139	1.26316	0.24617
0.66703	0.08010	0.00808	0.05737	0.50394	0.32326
0.66703	0.16021	0.00808	0.05737	0.30236	0.50529
0.16667	0.29326	0.01896	0.14819	1.00000	0.31028
0.50220	0.27023	0.03780	0.30689	0.95000	0.55514
0.50220	0.26402	0.03736	0.09860	0.95000	0.42686
0.50220	0.26268	0.03727	0.15009	0.95000	0.47273
0.50220	0.69368	0.07249	0.14806	1.69333	0.45189
0.50220	0.34905	0.04108	0.08487	0.71250	0.52514
0.50220	0.72035	0.07249	0.33339	1.90500	0.46781
0.12500	0.47328	0.04220	0.29649	0.75000	0.33101
0.12500	0.43305	0.01799	0.27129	0.75294	0.44400
0.12500	0.44876	0.04110	0.28113	0.75000	0.33309
0.25000	0.22305	0.01397	0.07227	1.20755	0.20167
0.12500	0.22305	0.01397	0.07227	1.20755	0.11638
0.10000	0.22305	0.01397	0.07227	1.20755	0.09607
0.25000	0.11153	0.01397	0.07227	1.20755	0.13854
0.25000	0.44611	0.01397	0.07227	1.20755	0.32794
0.12500	0.34793	0.01387	0.09056	1.51181	0.15050
0.10000	0.34793	0.01387	0.09056	1.51181	0.12390
0.33333	0.27345	0.02384	0.04505	0.58763	0.38867
0.33333	0.26774	0.02342	0.04287	0.89062	0.30755
0.15198	0.21123	0.14106	0.31341	0.90000	0.15748
0.15198	0.21123	0.13895	0.31341	1.35600	0.16402
0.15198	0.15255	0.11988	0.41875	0.90000	0.21355
0.15198	0.15255	0.07939	0.41875	0.96000	0.29429
0.15198	0.15255	0.11808	0.41875	0.67800	0.36956
0.15198	0.15255	0.11988	0.20938	0.90000	0.16059
0.15198	0.15255	0.11988	0.41875	0.90000	0.21355
0.15198	0.15255	0.11429	0.41875	1.35600	0.22189
0.25000	0.18588	0.01276	0.12047	1.20755	0.25029
0.25000	0.18588	0.01276	0.06024	0.60472	0.31029
0.16669	0.24413	0.00777	0.18697	0.30236	0.62526
0.21285	0.15917	0.05062	0.00000	1.12205	0.12363
0.21285	0.15408	0.04981	0.00000	1.12205	0.12325
0.21285	0.13859	0.05248	0.00000	1.18110	0.11228
0.21285	0.13859	0.05248	0.10290	1.18110	0.22790
0.21285	0.15862	0.05248	0.10290	1.18110	0.24195
0.21285	0.16327	0.05248	0.10290	1.18110	0.24521
0.21285	0.16327	0.05248	0.10290	1.18110	0.24521
0.21285	0.15862	0.05248	0.10290	1.18110	0.24195
0.18750	0.35833	0.03677	0.04308	0.74803	0.23885
0.18750	0.34261	0.03595	0.04120	0.74803	0.23801
0.18750	0.34565	0.03611	0.04156	0.74803	0.23818
0.15964	0.26776	0.05024	0.19381	0.18689	0.46394
0.21918	0.14721	0.01636	0.00000	0.84906	0.10870
0.21918	0.14721	0.01636	0.00000	0.84906	0.10870
0.38786	0.18065	0.01599	0.00000	0.15753	0.41111
0.38786	0.18065	0.01599	0.00000	0.15753	0.41111
0.38786	0.15178	0.01583	0.00000	0.42520	0.24306
0.21918	0.15093	0.01657	0.00000	0.84906	0.10902
0.50000	0.20729	0.00268	0.00216	0.28937	0.53531
0.50000	0.23049	0.00283	0.00240	0.28937	0.56103
0.50000	0.19083	0.00262	0.00206	0.28937	0.50593
