% ar	lrr	srr	alr	sdr	smr
0.18182	0.30430	0.01083	0.05829	0.60000	0.42944
0.50000	0.29161	0.01923	0.57173	1.20000	0.53949
0.50000	0.37205	0.01455	0.00000	0.60000	0.72438
0.50000	0.25462	0.01461	0.00000	0.60000	0.49298
0.50000	0.45595	0.04408	0.00000	0.36364	0.77836
0.50000	0.44862	0.01598	0.00000	0.90000	0.63472
0.66667	0.46352	0.01624	0.00000	0.60000	0.86356
0.50000	0.48597	0.01861	0.00000	0.45000	0.85286
0.50000	0.49951	0.01887	0.19991	1.20000	0.64416
0.50000	0.45949	0.06678	0.19996	0.60000	0.68223
0.50000	0.47946	0.01848	0.19988	0.60000	0.84849
0.66667	0.48783	0.01666	0.09989	1.20000	0.71362
0.50000	0.38541	0.01472	0.10002	1.20000	0.62094
0.50000	0.40764	0.01526	0.00000	0.60000	0.73839
0.50000	0.24055	0.01502	0.00000	0.60000	0.44564
0.50000	0.41772	0.01533	0.10007	0.60000	0.81841
0.40000	0.40676	0.01512	0.09999	0.60000	0.75656
0.66667	0.39863	0.01497	0.10004	0.60000	0.88162
0.66667	0.40558	0.01510	0.09993	0.45000	0.94386
0.57143	0.42027	0.01462	0.17498	0.45000	0.99222
0.50000	0.42024	0.01537	0.00000	0.45000	0.83798
0.50000	0.45152	0.04303	0.00000	0.27273	0.86989
0.50000	0.43195	0.06563	0.00000	0.45000	0.62500
0.50000	0.42151	0.04158	0.00000	0.54545	0.63979
0.66667	0.28878	0.00000	0.00000	10.00000	0.86381
0.50000	0.41081	0.01519	0.38993	0.55385	0.92438
0.34302	0.12791	0.02667	0.09975	0.48000	0.41399
1.00000	0.16347	0.17810	0.24754	1.61818	0.32643
0.91667	0.51623	0.04470	0.00000	0.36000	1.03969
0.91667	0.50742	0.04432	0.00000	0.72000	0.80742
0.91667	0.51984	0.00000	0.12657	10.00000	1.30778
0.91667	0.49891	0.04394	0.12147	0.36000	1.03148
0.91667	0.51984	0.04486	0.12657	0.72000	0.86469
0.91667	0.47349	0.04281	0.11528	1.02857	0.74456
0.91667	0.64994	0.04344	0.11868	0.72000	1.05311
0.91667	0.32820	0.04365	0.11986	0.72000	0.65770
0.91667	0.51803	0.00000	0.25225	10.00000	1.25804
0.91667	0.53480	0.04550	0.26042	0.36000	1.04840
0.91667	0.48746	0.04344	0.23736	0.72000	0.88952
0.91667	0.47500	0.04288	0.23130	1.02857	0.79126
0.61111	0.46080	0.04391	0.00000	0.48000	0.76940
0.91667	0.47111	0.04439	0.11565	0.48000	0.94280
0.61111	0.47414	0.00000	0.11639	10.00000	1.26814
0.61111	0.47262	0.04446	0.11602	0.48000	0.83664
0.61111	0.71930	0.05485	0.17658	0.48000	0.89347
0.61111	0.34942	0.03823	0.08578	0.48000	0.78839
0.91667	0.47414	0.04454	0.23278	0.48000	0.96950
0.61111	0.49648	0.04557	0.24376	0.48000	0.87843
0.61111	0.78019	0.05713	0.38305	0.48000	0.88483
0.61111	0.35704	0.03865	0.17529	0.48000	0.84857
0.66703	0.08010	0.00808	0.05737	0.50394	0.32326
0.66703	0.16021	0.00808	0.05737	0.30236	0.50529
0.50220	0.26402	0.03736	0.09860	0.95000	0.42686
0.50220	0.69368	0.07249	0.14806	1.69333	0.45189
0.50220	0.34905	0.04108	0.08487	0.71250	0.52514
0.38786	0.18065	0.01599	0.00000	0.15753	0.41111
0.38786	0.18065	0.01599	0.00000	0.15753	0.41111
0.38786	0.15178	0.01583	0.00000	0.42520	0.24306
0.50000	0.20729	0.00268	0.00216	0.28937	0.53531
0.50000	0.23049	0.00283	0.00240	0.28937	0.56103
0.50000	0.19083	0.00262	0.00206	0.28937	0.50593
