Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, eta1, kappa_k, kappa, sig, lam, mup, sigp, rsmax, n, alpha, alpha1, alpha2, betam1, gamma, eta1.median, kappa_k.median, kappa.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, n.median, alpha.median, alpha1.median, alpha2.median, betam1.median, gamma.median, eta1.q5, kappa_k.q5, kappa.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, n.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, gamma.q5, eta1.q95, kappa_k.q95, kappa.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, n.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, gamma.q95, eta1.var, kappa_k.var, kappa.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, n.var, alpha.var, alpha1.var, alpha2.var, betam1.var, gamma.var, eta1.q5_w_mnoise, kappa_k.q5_w_mnoise, kappa.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, n.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, gamma.q5_w_mnoise, eta1.q95_w_mnoise, kappa_k.q95_w_mnoise, kappa.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, n.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, gamma.q95_w_mnoise, eta1.var_w_mnoise, kappa_k.var_w_mnoise, kappa.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, n.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, gamma.var_w_mnoise
1, 4.56, 0.08105, 0.02882, 0.2, 3.125, 0.47855, 1.2408, 1.0424, 0.99312, 0.47007, 0.51312, 4.1825, 6.538, 0.89223, 5.2472, 3e-05, 3.3388, 1.8033, 0.02253, 0.48506, 1.43, 0.94835, 1.0041, 0.46194, 0.51461, 3.8472, 5.185, 0.65684, 3.3896, 0.011254, 4.1869, 0.7874, 0.012249, 0.49118, 1.43, 0.45981, 0.98425, 0.46191, 0.51451, 3.8467, 5.1844, 0.65671, 1.4285, 0.0050642, 3.6263, 0.59155, 0.0083411, 0.34216, 1.4301, 1.4369, 1.024, 0.46196, 0.51472, 3.8477, 5.1857, 0.65696, 5.3507, 0.017445, 4.7476, 0.98326, 0.016157, 0.64019, 9.718e-10, 0.088215, 0.00014631, 2.5427e-10, 3.9944e-09, 8.6384e-08, 1.6824e-07, 5.6732e-09, 1.4215, 1.4163e-05, 0.11618, 0.014179, 5.6449e-06, 0.0082074, 0.82879, 0.40618, 0.95262, 0.16069, 0.13656, 0.46371, 1.0621, 0.32035, 1.3346, 0.0044346, 1.7289, -0.14848, 0.0076759, 0.2718, 2.0313, 1.4905, 1.0557, 0.76319, 0.89267, 7.2307, 9.308, 0.99332, 5.4446, 0.018074, 6.645, 1.7233, 0.016822, 0.71056, 0.13361, 0.10865, 0.00098126, 0.033543, 0.052827, 4.2313, 6.2829, 0.041848, 1.5609, 1.719e-05, 2.2332, 0.32373, 7.7302e-06, 0.017789
2, 2.5, 0.13114, 0.04582, 0.25389, 0.97222, 0.73611, 1.5711, 1.0109, 0.99492, 0.81263, 0.17379, 7.7879, 2.2354, 0.45383, 3.1187, 0.0061, 1.6051, 0.61978, 0.00227, 0.49677, 1.222, 0.96333, 0.98837, 0.51981, 0.47277, 3.9133, 4.7016, 0.60896, 2.5608, 0.0050857, 2.401, 0.82236, 0.0037857, 0.48246, 1.2219, 0.78043, 0.97483, 0.51978, 0.47267, 3.9128, 4.701, 0.60884, 0.7927, 0.0014062, 2.0019, 0.63927, 0.0011544, 0.34945, 1.222, 1.1462, 1.0019, 0.51984, 0.47288, 3.9138, 4.7023, 0.60908, 4.3289, 0.0087652, 2.8001, 1.0055, 0.006417, 0.61548, 9.718e-10, 0.012364, 6.7725e-05, 2.5427e-10, 3.9944e-09, 8.6384e-08, 1.6824e-07, 5.6732e-09, 1.1555, 5.004e-06, 0.058866, 0.012391, 2.559e-06, 0.0065395, 0.44065, 0.69196, 0.95564, 0.21856, 0.16542, 0.14828, 1.7038, 0.35967, -0.19648, -0.0092839, 0.77353, -0.083099, -0.0056111, 0.31731, 2.0033, 1.2347, 1.0211, 0.82106, 0.78013, 7.6783, 7.6995, 0.85825, 5.3181, 0.019455, 4.0285, 1.7278, 0.013182, 0.64762, 0.22565, 0.027218, 0.00039582, 0.033543, 0.034916, 5.2393, 3.3217, 0.02297, 2.81, 7.632e-05, 0.97898, 0.30303, 3.2637e-05, 0.010082
3, 6.5574, 0.11837, 0.07809, 0.27652, 0.88496, 0.22979, 1.6394, 1.0458, 0.96602, 0.79225, 0.28596, 5.7121, 1.5682, 0.4927, 1.7754, 0.00901, 0.93556, 0.57721, 0.00394, 0.86603, 1.3733, 0.95131, 0.97626, 0.54718, 0.53446, 3.6879, 3.3622, 0.65627, 3.2723, 0.0054492, 2.3575, 0.94515, 0.0041939, 0.72834, 1.3732, 0.85155, 0.96046, 0.54715, 0.53436, 3.6874, 3.3615, 0.65615, 1.9614, 0.0023319, 1.952, 0.74553, 0.0022487, 0.58577, 1.3733, 1.0511, 0.99206, 0.54721, 0.53457, 3.6883, 3.3628, 0.65639, 4.5832, 0.0085666, 2.7631, 1.1448, 0.006139, 0.87091, 9.718e-10, 0.0036785, 9.2277e-05, 2.5427e-10, 3.9944e-09, 8.6384e-08, 1.6824e-07, 5.6732e-09, 0.63518, 3.5918e-06, 0.060795, 0.014728, 1.3985e-06, 0.0075127, 0.6662, 0.72344, 0.94172, 0.24593, 0.25243, -0.29719, 0.54116, 0.38533, 0.764, -0.0044173, 1.0164, 0.084848, -0.00050841, 0.40786, 2.0803, 1.1792, 1.0108, 0.84843, 0.8165, 7.6729, 6.1831, 0.92721, 5.7806, 0.015316, 3.6987, 1.8055, 0.0088962, 1.0488, 0.18478, 0.019192, 0.00044109, 0.033543, 0.0294, 5.8696, 2.9414, 0.027133, 2.3254, 3.5981e-05, 0.6648, 0.27356, 8.1727e-06, 0.037963
4, 2, 0.41081, 0.05307, 0.38993, 1, 0.92872, 1.6462, 0.15058, 0.99217, 0.30258, 0.43927, 0.67126, 1.3404, 0.32209, 3.5752, 0.00249, 8.6783, 0.78786, 0.00373, 0.53783, 1.2198, 0.24078, 0.97015, 0.45765, 0.5073, 3.4343, 3.9615, 0.59218, 2.3887, 0.011178, 4.7069, 0.67959, 0.0059173, 0.60001, 1.2198, -0.11537, 0.95522, 0.45762, 0.50719, 3.4338, 3.9608, 0.59206, 0.42969, 0.00584, 4.224, 0.49351, 0.0017727, 0.4726, 1.2199, 0.59693, 0.98508, 0.45768, 0.5074, 3.4347, 3.9622, 0.59231, 4.3477, 0.016515, 5.1898, 0.86567, 0.010062, 0.72743, 9.718e-10, 0.046882, 8.2377e-05, 2.5427e-10, 3.9944e-09, 8.6384e-08, 1.6824e-07, 5.6732e-09, 1.4185, 1.0531e-05, 0.086196, 0.012798, 6.3492e-06, 0.0060006, 1.0751, -0.15047, 0.92646, 0.1564, 0.22332, -0.55955, -0.60665, 0.2554, -0.29048, -0.00037991, 2.0248, -0.20264, -0.0079026, 0.44935, 1.3645, 0.63203, 1.0138, 0.7589, 0.79128, 7.4281, 8.5296, 0.92897, 5.0679, 0.022735, 7.389, 1.5618, 0.019737, 0.75068, 0.007739, 0.05658, 0.0007056, 0.033543, 0.029807, 5.8955, 7.713, 0.041922, 2.6531, 4.9372e-05, 2.6588, 0.28768, 7.0593e-05, 0.0083902
5, 7.6378, 0.10199, 0.00844, 0.3395, 6.0476, 0.45183, 1.4236, 0.9818, 1.0304, 0.82069, 0.22229, 1.6382, 0.28201, 0.63679, 4.8321, 0.01933, 7.8569, 0.09091, 0.01613, 0.9638, 1.6855, 1.1569, 1.0169, 0.43636, 0.55188, 2.774, 4.4228, 0.68061, 3.8401, 0.010246, 6.3535, 0.79132, 0.010885, 0.69577, 1.6855, 0.63933, 0.99653, 0.43634, 0.55178, 2.7735, 4.4221, 0.68048, 1.8766, -0.0017666, 5.7086, 0.58288, 0.0048899, 0.54669, 1.6856, 1.6745, 1.0373, 0.43639, 0.55198, 2.7745, 4.4235, 0.68073, 5.8036, 0.022259, 6.9985, 0.99977, 0.016881, 0.84486, 9.718e-10, 0.099009, 0.00015379, 2.5427e-10, 3.9944e-09, 8.6384e-08, 1.6824e-07, 5.6732e-09, 1.425, 5.3337e-05, 0.15373, 0.016059, 1.3286e-05, 0.0082151, 1.1357, 0.60299, 0.96396, 0.13511, 0.26985, -1.211, 0.36784, 0.34774, 0.93694, -0.0049846, 4.3374, -0.14728, 0.0034882, 0.48368, 2.2353, 1.7108, 1.0699, 0.73761, 0.83391, 6.7591, 8.4778, 1.0135, 6.7433, 0.025477, 8.3697, 1.7299, 0.018282, 0.90787, 0.11174, 0.1134, 0.0010369, 0.033543, 0.0294, 5.8697, 6.0775, 0.040953, 3.1152, 8.5739e-05, 1.5024, 0.32562, 2.0224e-05, 0.016627
6, 5.4951, 0.1914, 0.07359, 0.27776, 1.3333, 0.3153, 1.3105, 0.98872, 1.0372, 0.60013, 0.59116, 6.8592, 6.0458, 0.60837, 1.2128, 0.00204, 4.6607, 0.40623, 0.00259, 0.45056, 1.3732, 0.41821, 0.96744, 0.50242, 0.53496, 3.7799, 3.834, 0.66092, 1.707, 0.0093795, 2.7169, 0.83669, 0.0043523, 0.62221, 1.3731, 0.06535, 0.95319, 0.5024, 0.53485, 3.7794, 3.8334, 0.6608, 0.18669, 0.0065611, 2.3779, 0.63507, 0.002096, 0.47391, 1.3732, 0.77108, 0.98169, 0.50245, 0.53506, 3.7804, 3.8347, 0.66105, 3.2274, 0.012198, 3.0559, 1.0383, 0.0066087, 0.77051, 9.718e-10, 0.046021, 7.5046e-05, 2.5427e-10, 3.9943e-09, 8.6384e-08, 1.6824e-07, 5.6732e-09, 0.85434, 2.9358e-06, 0.042481, 0.015024, 1.8817e-06, 0.0081287, 0.37521, 0.036264, 0.93878, 0.20117, 0.25328, -0.19201, 0.23187, 0.35589, -0.90283, 3.4602e-05, 1.4434, -0.035221, 0.00010619, 0.30105, 2.3711, 0.80016, 0.99611, 0.80367, 0.81664, 7.7518, 7.4362, 0.96595, 4.3169, 0.018724, 3.9905, 1.7086, 0.0085985, 0.94336, 0.3681, 0.053921, 0.00030371, 0.033543, 0.029326, 5.8311, 4.7959, 0.034391, 2.5176, 3.2277e-05, 0.59948, 0.28099, 6.664e-06, 0.038122
7, 3.9167, 0.15572, 0.1195, 0.09985, 1.3229, 0.22303, 1.5037, 0.97459, 1.0474, 0.12752, 0.42828, 1.0411, 3.9405, 0.93224, 2.118, 0.00118, 7.0411, 0.85487, 0.00076, 0.53923, 1.397, 0.9776, 1.0033, 0.45619, 0.49981, 4.3071, 4.0824, 0.74549, 2.9961, 0.00263, 3.0881, 0.77436, 0.00074863, 0.38718, 1.397, 0.71764, 0.99017, 0.45617, 0.49971, 4.3066, 4.0818, 0.74537, 1.568, -0.0003526, 2.5747, 0.60137, -0.00090437, 0.25372, 1.3971, 1.2375, 1.0164, 0.45622, 0.49991, 4.3076, 4.0831, 0.74562, 4.4243, 0.0056126, 3.6015, 0.94736, 0.0024016, 0.52063, 9.718e-10, 0.024977, 6.3616e-05, 2.5427e-10, 3.9944e-09, 8.6384e-08, 1.6824e-07, 5.6732e-09, 0.75386, 3.288e-06, 0.097424, 0.011062, 1.0099e-06, 0.0065829, 0.35936, 0.68004, 0.94783, 0.15495, 0.22465, 0.4493, 0.40251, 0.55636, 0.49586, -0.0068477, -2.4615, -0.20016, -0.0027038, -0.10805, 2.4347, 1.2752, 1.0587, 0.75744, 0.77497, 8.1649, 7.7623, 0.93463, 5.4964, 0.012108, 8.6377, 1.7489, 0.004201, 0.88241, 0.39799, 0.032725, 0.0011366, 0.033543, 0.027985, 5.5007, 5.0052, 0.013222, 2.3106, 3.3201e-05, 11.383, 0.35102, 4.4054e-06, 0.090648
8, 2.1818, 0.31447, 0.1057, 0.42002, 1.25, 0.63982, 1.6771, 1.001, 1.0061, 0.5865, 0.51252, 2.8102, 2.8166, 0.96492, 3.8153, 0.00097, 4.4461, 0.77322, 0.00079, 0.62098, 1.2589, 0.9113, 0.98417, 0.51195, 0.46341, 3.7586, 3.9753, 0.67373, 3.4745, 0.0069648, 4.373, 0.77228, 0.0034624, 0.64123, 1.2589, 0.69554, 0.96927, 0.51192, 0.46331, 3.7582, 3.9746, 0.67361, 1.6888, 0.0033467, 3.8906, 0.58799, 0.00041004, 0.51879, 1.259, 1.1271, 0.99907, 0.51197, 0.46352, 3.7591, 3.976, 0.67386, 5.2603, 0.010583, 4.8555, 0.95657, 0.0065147, 0.76367, 9.718e-10, 0.017206, 8.209e-05, 2.5427e-10, 3.9944e-09, 8.6384e-08, 1.6824e-07, 5.6732e-09, 1.1787, 4.8383e-06, 0.086035, 0.012553, 3.4436e-06, 0.0055407, 1.1026, 0.64062, 0.93743, 0.2107, 0.22418, -0.42462, -0.73188, 0.24443, 1.2035, -0.016519, 1.3163, 0.025813, -0.010261, 0.39217, 1.4152, 1.182, 1.0309, 0.8132, 0.70265, 7.9419, 8.6825, 1.103, 5.7456, 0.030449, 7.4298, 1.5188, 0.017186, 0.89029, 0.0090324, 0.02708, 0.0008074, 0.033543, 0.021154, 6.4681, 8.1897, 0.068121, 1.9063, 0.00020385, 3.4536, 0.20595, 6.961e-05, 0.022928
9, 3, 0.36272, 0.12277, 0.10144, 0.48387, 0.34315, 1.3598, 0.10788, 0.91103, 0.36805, 0.46462, 1.3855, 2.1175, 0.98695, 2.8094, 0.0138, 9.1571, 1.0807, 0.00111, 0.51651, 1.3433, 0.3168, 0.9774, 0.39139, 0.53509, 4.2985, 3.7714, 0.72334, 2.2472, 0.010601, 3.9277, 0.75643, 0.0067237, 0.37356, 1.3432, 0.17873, 0.9602, 0.39136, 0.53498, 4.298, 3.7707, 0.72322, 0.87719, 0.0070685, 3.3886, 0.58096, 0.0045609, 0.24303, 1.3433, 0.45486, 0.9946, 0.39142, 0.53519, 4.299, 3.7721, 0.72347, 3.6173, 0.014133, 4.4668, 0.9319, 0.0088865, 0.5041, 9.718e-10, 0.0070455, 0.00010936, 2.5427e-10, 3.9944e-09, 8.6384e-08, 1.6824e-07, 5.6732e-09, 0.69379, 4.6109e-06, 0.10742, 0.01138, 1.7289e-06, 0.0062981, 1.2659, -0.17711, 0.88355, 0.090139, 0.11435, -0.78859, -1.1131, 0.37414, -0.96022, 0.00084358, -1.3952, -0.15471, 0.0017895, -0.082011, 1.4207, 0.8107, 1.0713, 0.69264, 0.95582, 9.3857, 8.6559, 1.0725, 5.4547, 0.020357, 9.2506, 1.6676, 0.011658, 0.82914, 0.002215, 0.090164, 0.003256, 0.033543, 0.065428, 9.5651, 8.8183, 0.045072, 3.8025, 3.5186e-05, 10.472, 0.30684, 8.9989e-06, 0.076712
10, 4.56, 0.08105, 0.08646, 0.2, 1.0417, 0.23453, 1.5618, 0.99347, 1.0029, 0.55991, 0.7392, 1.477, 4.875, 0.78492, 2.3393, 0.00191, 0.55459, 0.9009, 0.0017, 0.36311, 1.3337, 0.91271, 0.99403, 0.52531, 0.49925, 4.2723, 4.453, 0.68625, 3.9926, 0.0013019, 2.4724, 0.8302, 0.0036922, 0.57591, 1.3337, 0.53079, 0.97989, 0.52529, 0.49915, 4.2719, 4.4523, 0.68613, 2.4127, -0.0022758, 2.0533, 0.64497, 0.00055794, 0.43285, 1.3338, 1.2946, 1.0082, 0.52534, 0.49936, 4.2728, 4.4536, 0.68638, 5.5726, 0.0048796, 2.8916, 1.0154, 0.0068264, 0.71897, 9.718e-10, 0.053912, 7.391e-05, 2.5427e-10, 3.9944e-09, 8.6384e-08, 1.6824e-07, 5.6732e-09, 0.92267, 4.731e-06, 0.064924, 0.012682, 3.6309e-06, 0.0075646, 0.66837, 0.461, 0.95627, 0.22406, 0.31961, 1.87, 2.1955, 0.47367, 2.3015, -0.0078903, 0.10107, -0.10418, -0.00017631, 0.11051, 1.9991, 1.3644, 1.0318, 0.82656, 0.67889, 6.6746, 6.7104, 0.89884, 5.6838, 0.010494, 4.8438, 1.7646, 0.0075607, 1.0413, 0.16363, 0.075416, 0.00052701, 0.033543, 0.011928, 2.1331, 1.8836, 0.016704, 1.0571, 3.1231e-05, 2.0785, 0.3227, 5.5313e-06, 0.080056
