% ar	lrr	srr	alr	sdr	smr
4.56000	0.08105	0.02882	0.20000	3.12500	0.47855
2.50000	0.13114	0.04582	0.25389	0.97222	0.73611
6.55738	0.11837	0.07809	0.27652	0.88496	0.22979
2.00000	0.41081	0.05307	0.38993	1.00000	0.92872
7.63780	0.10199	0.00844	0.33950	6.04762	0.45183
5.49508	0.19140	0.07359	0.27776	1.33333	0.31530
3.91667	0.15572	0.11950	0.09985	1.32292	0.22303
2.18182	0.31447	0.10570	0.42002	1.25000	0.63982
3.00000	0.36272	0.12277	0.10144	0.48387	0.34315
4.56000	0.08105	0.08646	0.20000	1.04167	0.23453
2.25000	0.40365	0.10725	0.10450	1.51323	0.69031
4.56000	0.32421	0.04323	0.20000	2.08333	0.76092
4.69809	0.15917	0.04547	0.00000	0.89123	0.21796
2.50000	0.13114	0.11054	0.25389	0.97222	0.42379
1.63636	0.49648	0.03517	0.24376	2.08333	1.49949
2.50000	0.17720	0.06191	0.39994	0.97222	0.73215
1.63636	0.35704	0.02529	0.17529	2.08333	1.44882
2.85714	0.35920	0.09246	0.12559	1.69271	0.62444
6.55738	0.12536	0.07885	0.13961	0.88496	0.18522
2.18182	0.16255	0.08371	0.21400	1.04167	0.52392
2.00000	0.06200	0.15337	0.59912	1.17187	0.38897
4.00000	0.27284	0.15335	0.38003	1.38889	0.31767
6.00000	0.34416	0.06131	0.09624	0.86420	0.29775
4.56000	0.32421	0.04323	0.30000	2.08333	0.78689
1.50000	0.12975	0.13970	0.33320	0.96970	0.50471
3.00493	0.16869	0.07108	0.21080	1.35439	0.51042
6.01316	0.26546	0.04042	0.06850	0.93291	0.32500
6.58000	0.15255	0.03744	0.41875	1.47493	0.34159
3.00000	0.19901	0.07594	0.10000	1.52778	0.42467
4.56000	0.08105	0.04323	0.20000	2.08333	0.37977
3.00493	0.16840	0.07188	0.21080	1.33684	0.50631
4.00000	0.18328	0.06227	0.70000	1.60417	0.48987
3.00000	0.37842	0.12808	0.21077	0.48387	0.37332
4.00000	0.17018	0.08639	0.70000	1.33333	0.39950
3.00000	0.21736	0.06894	0.10552	1.51515	0.47661
3.00493	0.16268	0.06944	0.10201	1.33684	0.42998
4.00000	0.18588	0.05414	0.12047	0.82812	0.33729
3.50000	0.40032	0.10048	0.10653	1.42857	0.52516
3.50000	0.39288	0.09861	0.20911	1.42857	0.56068
3.00219	0.21409	0.08002	0.31039	1.78947	0.54525
4.70000	0.41303	0.08776	0.46170	1.91919	0.52352
6.55738	0.11795	0.07931	0.39409	0.88496	0.25190
4.69809	0.13859	0.04387	0.00000	0.84667	0.19799
4.49836	0.27827	0.05739	0.09264	0.79167	0.36082
6.58000	0.21123	0.10875	0.31341	1.11111	0.17053
