Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, eta1, kappa_k, kappa, sig, lam, mup, sigp, rsmax, n, alpha, alpha1, alpha2, betam1, gamma, eta1.median, kappa_k.median, kappa.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, n.median, alpha.median, alpha1.median, alpha2.median, betam1.median, gamma.median, eta1.q5, kappa_k.q5, kappa.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, n.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, gamma.q5, eta1.q95, kappa_k.q95, kappa.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, n.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, gamma.q95, eta1.var, kappa_k.var, kappa.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, n.var, alpha.var, alpha1.var, alpha2.var, betam1.var, gamma.var, eta1.q5_w_mnoise, kappa_k.q5_w_mnoise, kappa.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, n.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, gamma.q5_w_mnoise, eta1.q95_w_mnoise, kappa_k.q95_w_mnoise, kappa.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, n.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, gamma.q95_w_mnoise, eta1.var_w_mnoise, kappa_k.var_w_mnoise, kappa.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, n.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, gamma.var_w_mnoise
1, 2.8721, 0.36112, 0.03316, 0.11427, 3.3598, 1.0993, 1.3226, 0.98609, 0.97148, 0.259, 0.41542, 6.2983, 5.2706, 0.88216, 1.6667, 0.01047, 8.0089, 1.5395, 0.00546, 0.22727, 1.3667, 1.078, 0.99423, 0.4634, 0.47112, 4.2008, 4.1866, 0.75464, 3.2662, 0.00017537, 3.9899, 0.81738, 0.0060439, 0.31874, 1.3667, 0.85733, 0.97364, 0.36632, 0.47098, 4.2001, 4.1857, 0.75462, 2.7004, -0.0063935, 3.9896, 0.81727, 0.0017511, 0.18808, 1.3668, 1.2987, 1.0148, 0.56048, 0.47126, 4.2016, 4.1875, 0.75466, 3.8319, 0.0067442, 3.9901, 0.81749, 0.010337, 0.4494, 7.3965e-10, 0.018004, 0.00015672, 0.0034833, 7.1751e-09, 2.147e-07, 2.9666e-07, 9.0285e-11, 0.11829, 1.5949e-05, 2.4841e-08, 4.7957e-09, 6.8115e-06, 0.0063102, 0.96039, 0.84842, 0.93863, 0.21818, 0.12451, -3.4959, 1.1707, 0.42317, 1.9883, -0.0087297, -1.4607, -0.095413, -0.0024854, 0.14606, 1.7731, 1.3077, 1.0498, 0.70862, 0.81774, 11.898, 7.2025, 1.0861, 4.544, 0.0090804, 9.4405, 1.7302, 0.014573, 0.49142, 0.061027, 0.019487, 0.0011425, 0.022227, 0.044406, 21.896, 3.3619, 0.040611, 0.60357, 2.931e-05, 10.981, 0.30796, 2.6889e-05, 0.011021
2, 1.0909, 0.475, 0.06908, 0.2313, 0.97222, 1.6252, 0.6065, 0.17457, 0.95964, 0.25119, 0.27245, 6.4975, 9.7085, 0.79198, 3.6225, 0.00369, 1.8842, 0.45611, 0.00597, 0.16732, 1.3229, 0.26393, 1.013, 0.37474, 0.37323, 5.8646, 4.4296, 0.76482, 3.5736, 0.0032578, 2.8132, 0.75964, 0.011725, 0.42017, 1.3229, -0.27966, 0.99166, 0.28468, 0.37309, 5.8638, 4.4287, 0.76481, 2.6721, -0.007817, 2.813, 0.75952, 0.0079385, 0.13505, 1.323, 0.80752, 1.0344, 0.46481, 0.37337, 5.8654, 4.4305, 0.76484, 4.4752, 0.014333, 2.8135, 0.75975, 0.015511, 0.70529, 7.3965e-10, 0.10922, 0.00016852, 0.0029981, 7.1751e-09, 2.147e-07, 2.9666e-07, 9.0285e-11, 0.30041, 4.5334e-05, 2.4841e-08, 4.7957e-09, 5.2987e-06, 0.030047, 0.78272, -0.28551, 0.9482, 0.1905, 0.026609, 2.31, 0.7019, 0.50894, 0.23613, -0.0093439, -0.74724, 0.0029628, 0.0015892, 0.109, 1.8632, 0.81336, 1.0778, 0.55899, 0.71984, 9.4192, 8.1574, 1.0207, 6.9112, 0.01586, 6.3737, 1.5163, 0.02186, 0.73134, 0.10787, 0.11158, 0.0015525, 0.012548, 0.044406, 4.67, 5.1361, 0.0242, 4.1171, 5.8695e-05, 4.6855, 0.21162, 3.797e-05, 0.035788
3, 2.5, 0.38756, 0.02147, 0, 1.6667, 1.2635, 1.5981, 0.10166, 0.91349, 0.64248, 0.07366, 2.7832, 5.6631, 0.3561, 2.4013, 0.03775, 0.53213, 0.08284, 0.0274, 0.27824, 1.4807, 0.34463, 1.0059, 0.40437, 0.46272, 5.2208, 5.0071, 0.74866, 3.613, 0.0018541, 3.6071, 0.79114, 0.015324, 0.23872, 1.4807, 0.013802, 0.98653, 0.3173, 0.46258, 5.22, 5.0062, 0.74864, 2.9087, -0.0057603, 3.6069, 0.79102, 0.012184, 0.054459, 1.4808, 0.67546, 1.0252, 0.49144, 0.46286, 5.2215, 5.008, 0.74867, 4.3174, 0.0094684, 3.6074, 0.79125, 0.018464, 0.42297, 7.3965e-10, 0.040453, 0.00013795, 0.0028021, 7.1751e-09, 2.147e-07, 2.9666e-07, 9.0285e-11, 0.18338, 2.143e-05, 2.4841e-08, 4.7957e-09, 3.6434e-06, 0.012549, 0.94056, 0.0062705, 0.94169, 0.15732, 0.11611, 1.6652, 1.2797, 0.49277, 2.1311, -0.007848, 0.046315, 0.034423, 0.0055084, 0.016271, 2.0209, 0.68299, 1.07, 0.65142, 0.80934, 8.7764, 8.7345, 1.0045, 5.095, 0.011556, 7.168, 1.5479, 0.02514, 0.46116, 0.10785, 0.042316, 0.0015218, 0.022559, 0.044406, 4.6728, 5.1352, 0.024202, 0.81172, 3.4791e-05, 4.6865, 0.21165, 3.5611e-05, 0.018289
4, 2, 0.23185, 0.04692, 0.14297, 1.5151, 0.80426, 0.70377, 0.95625, 0.98987, 0.44672, 0.46848, 8.1795, 5.5748, 0.81876, 5.2179, 0.00185, 9.3513, 0.11674, 0.00169, 0.12534, 1.4587, 0.47986, 0.9962, 0.5801, 0.40607, 5.8767, 4.5233, 0.69761, 2.9553, 0.019592, 3.677, 0.73209, 0.0097595, 0.23974, 1.4586, 0.19211, 0.97509, 0.49558, 0.40593, 5.8759, 4.5224, 0.69759, 2.0736, 0.012838, 3.6768, 0.73198, 0.0060694, 0.08821, 1.4587, 0.76761, 1.0173, 0.66463, 0.40621, 5.8774, 4.5242, 0.69762, 3.8371, 0.026345, 3.6773, 0.73221, 0.01345, 0.39128, 7.3965e-10, 0.030604, 0.00016462, 0.0026408, 7.1751e-09, 2.147e-07, 2.9666e-07, 9.0285e-11, 0.28737, 1.6857e-05, 2.4841e-08, 4.7957e-09, 5.0331e-06, 0.0084873, 0.91843, 0.1827, 0.93147, 0.40116, 0.059454, 2.3221, 0.79556, 0.44173, 0.40544, 0.01055, 0.11657, -0.024581, -0.00034042, 0.043542, 1.9989, 0.77702, 1.0609, 0.75905, 0.75269, 9.4312, 8.251, 0.95348, 5.5052, 0.028634, 7.2375, 1.4888, 0.01986, 0.43595, 0.10787, 0.032639, 0.0015486, 0.011835, 0.044406, 4.67, 5.1361, 0.0242, 2.4032, 3.0219e-05, 4.6855, 0.21162, 3.7704e-05, 0.014228
5, 1.1098, 0.37993, 0.03277, 0.16226, 2.4722, 2.4029, 1.0283, 1.0447, 1.0305, 0.50109, 0.14907, 5.7077, 3.336, 0.91685, 1.7527, 0.00028, 4.6847, 0.58674, 0.0171, 0.11906, 1.4788, 0.52201, 1.0403, 0.37485, 0.33943, 5.604, 4.4943, 0.71712, 2.7242, 0.0040342, 1.8367, 0.70661, 0.013088, 0.58495, 1.4788, 0.014075, 1.0207, 0.28044, 0.33929, 5.6033, 4.4934, 0.71711, 1.9733, -0.0065102, 1.8364, 0.70649, 0.0090731, 0.31722, 1.4789, 1.0299, 1.0599, 0.46925, 0.33957, 5.6048, 4.4952, 0.71714, 3.4751, 0.014579, 1.8369, 0.70672, 0.017104, 0.85269, 7.3965e-10, 0.095358, 0.00014209, 0.0032939, 7.1751e-09, 2.147e-07, 2.9666e-07, 9.0285e-11, 0.20842, 4.1095e-05, 2.4841e-08, 4.7957e-09, 5.9592e-06, 0.026494, 0.93861, 0.0093322, 0.97605, 0.14626, -0.0071903, 2.0495, 0.76652, 0.46124, 0.82186, -0.008104, -1.7238, -0.05007, 0.0028651, 0.28963, 2.0191, 1.0347, 1.1046, 0.60344, 0.68604, 9.1586, 8.222, 0.973, 4.6265, 0.016172, 5.3971, 1.4633, 0.023312, 0.88028, 0.10787, 0.097147, 0.0015261, 0.019313, 0.044406, 4.67, 5.1361, 0.0242, 1.3375, 5.4457e-05, 4.6855, 0.21162, 3.8631e-05, 0.032235
6, 2.1818, 0.4772, 0.03381, 0.23429, 2.0833, 1.184, 1.6797, 0.10921, 0.94236, 0.27692, 0.22347, 2.496, 1.4592, 0.79977, 4.5259, 0.00894, 9.088, 0.44356, 0.01656, 0.57666, 1.2741, 0.33512, 0.99802, 0.43809, 0.38206, 4.9522, 4.1709, 0.80279, 3.3802, 0.0075011, 3.7285, 0.86488, 0.013358, 0.54555, 1.2741, 0.031654, 0.97814, 0.35197, 0.38192, 4.9515, 4.17, 0.80278, 2.5435, 0.00027628, 3.7282, 0.86477, 0.010043, 0.38735, 1.2742, 0.63859, 1.0179, 0.52421, 0.3822, 4.953, 4.1718, 0.80281, 4.2169, 0.014726, 3.7287, 0.86499, 0.016672, 0.70374, 7.3965e-10, 0.034038, 0.0001461, 0.0027412, 7.1751e-09, 2.147e-07, 2.9666e-07, 9.0285e-11, 0.25875, 1.9293e-05, 2.4841e-08, 4.7957e-09, 4.0605e-06, 0.0092498, 0.73388, 0.020756, 0.93368, 0.21952, 0.035444, 1.3977, 0.44316, 0.54691, 0.35056, -0.0018983, 0.16799, 0.1082, 0.0033903, 0.34416, 1.8143, 0.64949, 1.0624, 0.65667, 0.72868, 8.5068, 7.8986, 1.0587, 6.4098, 0.016901, 7.2889, 1.6216, 0.023325, 0.74694, 0.10787, 0.036527, 0.0015301, 0.017658, 0.044406, 4.67, 5.1361, 0.0242, 3.3925, 3.2655e-05, 4.6855, 0.21162, 3.6721e-05, 0.014991
7, 2.6667, 0.3723, 0.01742, 0, 7.1298, 1.3707, 1.3224, 1.0201, 1.0135, 0.24959, 0.41185, 4.0502, 1.459, 0.98207, 5.0873, 0.00106, 6.9656, 0.49902, 0.00108, 0.16349, 1.2073, 0.86074, 1.0058, 0.28313, 0.41119, 3.7691, 2.9076, 0.82358, 4.5382, 0.0023708, 3.7982, 0.63396, 0.012989, 0.27029, 1.2072, 0.25713, 0.98187, 0.16626, 0.41105, 3.7683, 2.9067, 0.82356, 3.6894, -0.0096945, 3.7979, 0.63385, 0.0066906, -0.018037, 1.2073, 1.4643, 1.0297, 0.39999, 0.41133, 3.7699, 2.9085, 0.82359, 5.3869, 0.014436, 3.7985, 0.63407, 0.019288, 0.55863, 7.3965e-10, 0.13467, 0.00021158, 0.0050479, 7.1751e-09, 2.147e-07, 2.9666e-07, 9.0285e-11, 0.26627, 5.3805e-05, 2.4841e-08, 4.7957e-09, 1.4663e-05, 0.030728, 0.67102, 0.25304, 0.94032, 0.022969, 0.064577, 0.13968, -0.78827, 0.56613, 3.1162, -0.01111, 0.19914, -0.12585, 0.0021923, -0.043708, 1.7436, 1.4684, 1.0713, 0.54328, 0.75781, 7.3985, 6.6035, 1.081, 5.9601, 0.015851, 7.3973, 1.3938, 0.023786, 0.5843, 0.10629, 0.1365, 0.0015847, 0.025016, 0.044406, 4.8688, 5.0487, 0.024497, 0.74736, 6.7167e-05, 4.7877, 0.21338, 4.3086e-05, 0.036443
8, 3.2222, 0.50973, 0.03901, 0.60514, 5.3474, 1.0246, 0.92769, 0.98555, 1.0133, 0.7209, 0.30017, 2.2306, 2.8917, 0.94118, 7.0493, 0.00109, 3.4557, 1.7328, 0.00314, 0.76636, 0.99676, 1.1824, 1.0105, 0.67477, 0.36479, 2.3238, 2.4714, 0.84383, 3.6191, 0.002019, 4.5142, 1.0671, 0.0088647, 0.7539, 0.99672, 0.50214, 0.98584, 0.5514, 0.36465, 2.323, 2.4705, 0.84382, 2.3042, -0.011265, 4.5139, 1.0669, 0.0021173, 0.39377, 0.9968, 1.8626, 1.0352, 0.79814, 0.36493, 2.3245, 2.4723, 0.84385, 4.9341, 0.015302, 4.5145, 1.0672, 0.015612, 1.114, 7.3965e-10, 0.17103, 0.00022546, 0.0056253, 7.1751e-09, 2.147e-07, 2.9666e-07, 9.0285e-11, 0.63909, 6.5218e-05, 2.4841e-08, 4.7957e-09, 1.6827e-05, 0.047935, 0.45362, 0.49806, 0.94455, 0.4297, 0.018177, -1.0819, -1.2782, 0.58959, 0.48448, -0.012562, 0.9961, 0.31042, -0.0090194, 0.37281, 1.5399, 1.8667, 1.0765, 0.91984, 0.71141, 5.7294, 6.221, 1.0981, 6.7538, 0.0166, 8.0323, 1.8237, 0.026749, 1.135, 0.10903, 0.17308, 0.0016096, 0.022199, 0.044406, 4.2869, 5.1966, 0.023892, 3.6318, 7.858e-05, 4.5747, 0.2116, 0.00011822, 0.053676
9, 2.9316, 0.12257, 0.01642, 0.05456, 2.0833, 0.5054, 1.3299, 0.10883, 0.98876, 0.24845, 0.73154, 5.7468, 7.1369, 0.62969, 1.083, 0.00411, 2.8884, 0.4158, 0.00284, 0.58119, 1.5713, 0.58616, 0.97222, 0.50277, 0.44745, 5.4175, 4.7702, 0.66626, 2.7508, 0.0071342, 4.1847, 0.76519, 0.0043702, 0.2465, 1.5712, -0.056182, 0.94975, 0.39775, 0.44731, 5.4168, 4.7693, 0.66624, 1.7478, -0.0055788, 4.1844, 0.76508, -0.000747, -0.086203, 1.5713, 1.2285, 0.99469, 0.60779, 0.44759, 5.4183, 4.7711, 0.66627, 3.7537, 0.019847, 4.1849, 0.7653, 0.0094873, 0.57921, 7.3965e-10, 0.1525, 0.00018664, 0.0040768, 7.1751e-09, 2.147e-07, 2.9666e-07, 9.0285e-11, 0.3718, 5.9737e-05, 2.4841e-08, 4.7957e-09, 9.6784e-06, 0.040914, 1.0316, -0.060486, 0.90704, 0.23942, 0.10083, 0.10882, 1.0543, 0.4097, 0.14834, -0.0069289, 0.60932, 0.0085029, -0.004957, -0.10878, 2.111, 1.2328, 1.0374, 0.76612, 0.79407, 10.726, 8.4861, 0.92281, 5.3533, 0.021197, 7.7601, 1.5219, 0.013697, 0.60179, 0.10766, 0.15456, 0.0015706, 0.025634, 0.044406, 10.416, 5.1036, 0.024328, 2.5033, 7.3099e-05, 4.7248, 0.21163, 3.2154e-05, 0.046655
10, 2, 0.45595, 0.02458, 0, 2.75, 1.481, 0.89865, 0.13699, 1.0626, 0.27082, 0.36905, 7.3639, 4.8575, 0.76154, 1.7602, 0.01937, 4.5205, 0.81288, 0.02148, 0.23725, 1.3596, 0.56799, 1.0166, 0.4184, 0.40994, 5.331, 4.4189, 0.79895, 4.5187, 0.0011054, 3.3367, 0.71691, 0.012138, 0.29685, 1.3596, 0.28712, 0.9964, 0.32556, 0.4098, 5.3302, 4.418, 0.79894, 3.7925, -0.0058743, 3.3365, 0.71679, 0.0084587, 0.15922, 1.3597, 0.84886, 1.0368, 0.51123, 0.41007, 5.3318, 4.4198, 0.79897, 5.2449, 0.0080851, 3.337, 0.71702, 0.015817, 0.43448, 7.3965e-10, 0.029158, 0.00015045, 0.0031855, 7.1751e-09, 2.147e-07, 2.9666e-07, 9.0285e-11, 0.19493, 1.8006e-05, 2.4841e-08, 4.7957e-09, 5.0031e-06, 0.0070011, 0.81942, 0.2765, 0.95215, 0.17365, 0.063318, 1.7764, 0.6912, 0.54308, 1.8974, -0.008107, -0.22373, -0.03977, 0.0020419, 0.11118, 1.8999, 0.85948, 1.081, 0.66315, 0.75655, 8.8856, 8.1467, 1.0548, 7.14, 0.010318, 6.8972, 1.4736, 0.022234, 0.48252, 0.10787, 0.031405, 0.0015345, 0.022141, 0.044406, 4.67, 5.1361, 0.0242, 2.5396, 3.1368e-05, 4.6855, 0.21162, 3.7674e-05, 0.012742
