Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, eta_1, kappa_k, kappa, sig, lam, mup, sigp, rsmax, n, alpha, alpha1, alpha2, betam1, gamma, eta_1.median, kappa_k.median, kappa.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, n.median, alpha.median, alpha1.median, alpha2.median, betam1.median, gamma.median, eta_1.q5, kappa_k.q5, kappa.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, n.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, gamma.q5, eta_1.q95, kappa_k.q95, kappa.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, n.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, gamma.q95, eta_1.var, kappa_k.var, kappa.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, n.var, alpha.var, alpha1.var, alpha2.var, betam1.var, gamma.var, eta_1.q5_w_mnoise, kappa_k.q5_w_mnoise, kappa.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, n.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, gamma.q5_w_mnoise, eta_1.q95_w_mnoise, kappa_k.q95_w_mnoise, kappa.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, n.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, gamma.q95_w_mnoise, eta_1.var_w_mnoise, kappa_k.var_w_mnoise, kappa.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, n.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, gamma.var_w_mnoise
1, 0.61111, 0.4608, 0.04391, 0, 0.48, 0.7694, 1.4351, 1.6036, 0.97767, 0.36027, 0.21146, 2.6139, 0.12569, 0.61397, 7.0277, 0.00029, 3.3231, 1.6487, 0.00466, 0.2545, 1.0277, 0.92552, 1.0127, 0.29108, 0.19217, 2.5234, 1.5819, 0.80841, 5.2154, 0.0023542, 5.7045, 1.0377, 0.014224, 0.54339, 0.86175, 0.52265, 0.99573, 0.16675, 0.040846, 1.7943, 0.77416, 0.70134, 4.0608, -0.0011111, 3.3817, 0.069549, 0.0111, 0.26835, 1.1937, 1.3284, 1.0296, 0.41541, 0.3435, 3.2525, 2.3896, 0.91549, 6.3699, 0.0058195, 8.0273, 2.0058, 0.017347, 0.81842, 0.010183, 0.059991, 0.00010633, 0.0057134, 0.0084641, 0.19648, 0.24113, 0.0042376, 0.49267, 4.4384e-06, 1.9942, 0.34642, 3.6061e-06, 0.027959, 0.38878, -0.55852, 0.97379, 0.083845, 0.039982, 0.89271, -0.37002, 0.49791, 1.9713, -0.0066578, 1.6054, 0.066773, -0.0021542, 0.15373, 1.6667, 2.4096, 1.0516, 0.49832, 0.34437, 4.1542, 3.5337, 1.1189, 8.4595, 0.011366, 9.8036, 2.0086, 0.030602, 0.93304, 0.15089, 0.81402, 0.00055913, 0.015874, 0.0085611, 0.9829, 1.4082, 0.035635, 3.8898, 3.0018e-05, 6.2104, 0.34841, 9.9144e-05, 0.056118
2, 0.25, 0.27666, 0.03959, 0.58943, 1.0909, 0.35315, 1.4019, 1.2775, 0.98285, 0.4716, 0.5737, 1.1762, 1.0645, 0.7856, 2.3512, 0.00513, 9.0459, 1.4588, 0.01002, 1.7844, 1.2001, 1.1676, 0.96871, 0.39497, 0.429, 2.102, 1.9053, 0.67487, 3.99, 0.0062352, 5.6963, 0.73559, 0.0099131, 1.5136, 1.0077, 0.57408, 0.94485, 0.23337, 0.28382, 1.0733, 0.63662, 0.52164, 2.309, 0.00095839, 2.947, -0.20431, 0.0050553, 0.93896, 1.3925, 1.7611, 0.99258, 0.55657, 0.57419, 3.1307, 3.174, 0.8281, 5.6709, 0.011512, 8.4456, 1.6755, 0.014771, 2.0883, 0.013681, 0.1302, 0.00021046, 0.0096521, 0.0077905, 0.39113, 0.59491, 0.0086785, 1.0444, 1.0292e-05, 2.7937, 0.32652, 8.7222e-06, 0.12207, 0.55383, -0.37911, 0.92635, 0.16345, 0.28292, 0.31709, -0.27805, 0.34559, 0.52347, -0.0036163, 1.3413, -0.20717, -0.0068821, 0.87611, 1.8465, 2.7143, 1.0111, 0.62649, 0.57509, 3.8869, 4.0886, 1.0042, 7.4565, 0.016087, 10.051, 1.6783, 0.026708, 2.1512, 0.15439, 0.88423, 0.00066326, 0.019812, 0.0078875, 1.1776, 1.7619, 0.040075, 4.4415, 3.5872e-05, 7.0099, 0.32851, 0.00010426, 0.15023
3, 0.5, 0.23049, 0.00283, 0.0024, 0.28937, 0.56103, 1.2673, 2.6782, 1.0447, 0.38976, 0.3256, 0.38657, 0.51746, 0.9933, 6.5359, 0.00238, 9.9661, 0.33619, 0.02018, 0.20636, 1.2737, 1.9725, 0.9858, 0.22755, 0.34605, 1.6033, 1.0345, 0.7698, 5.7299, 0.0081084, 6.3831, 0.17684, 0.017678, 0.19636, 1.0945, 1.4708, 0.9716, 0.11298, 0.27771, 0.93387, -0.23238, 0.64124, 4.4519, 0.0050908, 4.7466, -0.13811, 0.012978, -0.017556, 1.4528, 2.4743, 1, 0.34212, 0.4144, 2.2727, 2.3015, 0.89835, 7.0079, 0.011126, 8.0195, 0.49179, 0.022377, 0.41027, 0.011859, 0.093044, 7.4568e-05, 0.0048515, 0.0017265, 0.16563, 0.59327, 0.0061086, 0.6037, 3.3658e-06, 0.98979, 0.036663, 8.1614e-06, 0.016913, 0.63118, 0.45868, 0.94803, 0.026022, 0.27581, -0.0016531, -1.1478, 0.45125, 2.4399, -0.00074108, 2.6301, -0.14654, 0.0009275, -0.15285, 1.9161, 3.4864, 1.0236, 0.42908, 0.41629, 3.2082, 3.2169, 1.0883, 9.02, 0.016958, 10.136, 0.50022, 0.034428, 0.54556, 0.15257, 0.84707, 0.00052737, 0.015012, 0.0018234, 0.95205, 1.7603, 0.037505, 4.0009, 2.8946e-05, 5.206, 0.038653, 0.0001037, 0.045072
4, 0.91667, 0.47111, 0.04439, 0.11565, 0.48, 0.9428, 0.722, 0.5, 1.05, 0.1797, 0.0745, 0.58626, 4.0374, 1, 2.2361, 0, 1.8604, 0.01, 0.01761, 0.48251, 1.1241, 1.0133, 1.0278, 0.27462, 0.017529, 2.0486, 1.5207, 0.81581, 4.5896, 0.0018251, 2.4274, 0.72343, 0.013702, 0.43587, 0.97009, 0.61045, 1.0145, 0.2058, -0.11278, 1.3653, 0.79229, 0.73451, 3.4647, -0.0012731, 0.79052, 0.033763, 0.010565, 0.28394, 1.278, 1.4162, 1.0412, 0.34345, 0.14784, 2.7319, 2.2491, 0.89712, 5.7144, 0.0049233, 4.0643, 1.4131, 0.016838, 0.58779, 0.0087634, 0.059991, 6.6299e-05, 0.0017507, 0.0062765, 0.17259, 0.1961, 0.0024432, 0.46769, 3.5479e-06, 0.99032, 0.1758, 3.6361e-06, 0.008531, 0.48813, -0.47071, 0.99037, 0.095109, -0.11379, 0.43782, -0.39972, 0.51323, 1.3559, -0.0070522, -1.3258, 0.029872, -0.0026788, 0.1208, 1.76, 2.4974, 1.0653, 0.45414, 0.14884, 3.6594, 3.4411, 1.1184, 7.8232, 0.010702, 6.1806, 1.417, 0.030082, 0.75093, 0.14948, 0.81402, 0.0005191, 0.011911, 0.0063734, 0.95901, 1.3631, 0.03384, 3.8648, 2.9128e-05, 5.2065, 0.17779, 9.9174e-05, 0.03669
5, 0.61111, 0.47111, 0.04439, 0, 1.0286, 0.51611, 0.51975, 1.0731, 1.0062, 0.37353, 0.34198, 0.33444, 0.67944, 0.98344, 2.9876, 0.00098, 7.662, 0.65785, 0.00084, 0.3385, 1.0859, 0.93565, 1.0198, 0.33359, 0.37449, 0.97618, 1.4157, 0.76043, 3.799, 0.0070071, 3.7363, 1.0992, 0.010711, 0.14944, 0.9223, 0.41369, 0.99495, 0.20027, 0.13534, -0.0064645, 0.75242, 0.66021, 2.407, 0.0035826, 1.0429, 0.26065, 0.0062729, -0.19141, 1.2494, 1.4576, 1.0446, 0.46691, 0.61364, 1.9588, 2.079, 0.86064, 5.191, 0.010432, 6.4297, 1.9377, 0.015149, 0.49029, 0.0098881, 0.1007, 0.00022783, 0.0065697, 0.021139, 0.35689, 0.16261, 0.003712, 0.71616, 4.3344e-06, 2.6814, 0.25989, 7.2798e-06, 0.042941, 0.44754, -0.58504, 0.97686, 0.12084, 0.13479, -0.7826, -0.48097, 0.45223, 0.46304, -0.0019893, -0.58361, 0.25745, -0.0059678, -0.28915, 1.7242, 2.4563, 1.0627, 0.54634, 0.61418, 2.735, 3.3124, 1.0686, 7.135, 0.016003, 8.0562, 1.9409, 0.02739, 0.58803, 0.1506, 0.85473, 0.00068063, 0.01673, 0.021236, 1.1433, 1.3296, 0.035109, 4.1133, 2.9914e-05, 6.8976, 0.26188, 0.00010282, 0.0711
6, 0.16669, 0.24413, 0.00777, 0.18697, 0.30236, 0.62526, 0.89593, 1.9974, 1.0241, 0.74136, 0.44034, 0.58529, 0.2036, 0.72609, 3.4219, 0.01618, 6.0485, 1.3521, 0.00625, 1.8467, 1.2884, 1.9427, 1.0253, 0.7825, 0.49166, 2.3195, 1.1672, 0.79273, 3.7627, 0.0083609, 1.9382, 1.0208, 0.018305, 1.174, 1.1023, 1.449, 1.0075, 0.62143, 0.17793, 0.98971, -0.22039, 0.66668, 2.2755, 0.0031024, -0.42988, 0.27568, 0.013954, 0.37694, 1.4746, 2.4364, 1.0431, 0.94357, 0.8054, 3.6493, 2.5548, 0.91877, 5.25, 0.013619, 4.3063, 1.7658, 0.022655, 1.9711, 0.012804, 0.090094, 0.00011749, 0.009589, 0.036381, 0.65362, 0.71166, 0.0058721, 0.81756, 1.0221e-05, 2.0727, 0.20518, 6.9955e-06, 0.23482, 0.64397, 0.4315, 0.98602, 0.55135, 0.17751, 0.34567, -1.0873, 0.47518, 0.38589, -0.0014808, -2.1867, 0.27208, 0.0016493, 0.3305, 1.9329, 3.454, 1.0646, 1.0137, 0.80582, 4.2934, 3.4217, 1.1103, 7.1396, 0.018203, 6.0631, 1.7694, 0.034961, 2.0175, 0.15352, 0.84412, 0.00057029, 0.019749, 0.036478, 1.44, 1.8787, 0.037269, 4.2147, 3.58e-05, 6.2889, 0.20717, 0.00010253, 0.26298
7, 0.61111, 0.47262, 0.04446, 0.11602, 0.48, 0.83664, 0.72282, 0.56051, 1.0023, 0.18557, 0.06267, 1.758, 2.0052, 0.72127, 3.9829, 0.00312, 2.2249, 0.25996, 0.01935, 0.54725, 1.0874, 1.0085, 1.0349, 0.21472, 0.097245, 3.1258, 1.2372, 0.83727, 5.6325, 0.0036292, 2.3449, -0.11968, 0.013631, 0.71325, 0.93761, 0.60564, 1.0215, 0.12817, 0.024579, 2.4774, 0.58472, 0.75696, 4.4687, 0.00045386, 0.70698, -0.61801, 0.010492, 0.52881, 1.2372, 1.4114, 1.0483, 0.30127, 0.16991, 3.7743, 1.8896, 0.91758, 6.7964, 0.0068045, 3.9829, 0.37864, 0.016769, 0.89769, 0.0082938, 0.059991, 6.6345e-05, 0.0027686, 0.0019517, 0.15543, 0.15734, 0.0023839, 0.50066, 3.7267e-06, 0.99162, 0.091785, 3.6406e-06, 0.012574, 0.45248, -0.47553, 0.99741, 0.027694, 0.022796, 1.5295, -0.65574, 0.53495, 2.3851, -0.0052753, -1.4087, -0.62338, -0.0027503, 0.38128, 1.7223, 2.4926, 1.0724, 0.40175, 0.17169, 4.7221, 3.1301, 1.1396, 8.8799, 0.012534, 6.0986, 0.38401, 0.030011, 1.0452, 0.14901, 0.81402, 0.00051914, 0.012929, 0.0020486, 0.94185, 1.3244, 0.033781, 3.8978, 2.9307e-05, 5.2078, 0.093774, 9.9179e-05, 0.040733
8, 0.91667, 0.47414, 0.04454, 0.23278, 0.48, 0.9695, 1.7926, 1.0978, 0.99254, 0.25278, 0.19446, 1.5952, 2.0583, 0.94752, 6.406, 0.00054, 3.5969, 1.584, 0.01101, 0.25738, 1.1241, 0.96577, 1.012, 0.34502, 0.27845, 2.0427, 1.8547, 0.85589, 4.0168, 0.0028668, 3.5839, 0.93431, 0.013943, 0.41517, 0.95896, 0.56289, 0.99447, 0.25241, 0.14363, 1.3912, 1.1503, 0.75799, 2.8935, -0.00076028, 1.3859, 0.059089, 0.010802, 0.23325, 1.2893, 1.3686, 1.0294, 0.43763, 0.41328, 2.6941, 2.5591, 0.95379, 5.1401, 0.0064939, 5.7818, 1.8095, 0.017084, 0.59709, 0.010086, 0.059991, 0.00011305, 0.0031701, 0.0067183, 0.15686, 0.1834, 0.0035423, 0.46638, 4.8625e-06, 1.7856, 0.28313, 3.6458e-06, 0.012232, 0.48541, -0.51827, 0.97283, 0.15511, 0.14266, 0.44513, -0.056735, 0.54843, 0.78372, -0.0062086, -0.44581, 0.056019, -0.0024382, 0.084596, 1.7629, 2.4498, 1.0511, 0.53493, 0.41424, 3.6402, 3.7662, 1.1633, 7.2499, 0.011942, 7.6135, 1.8126, 0.030324, 0.74574, 0.1508, 0.81402, 0.00056585, 0.01333, 0.0068153, 0.94328, 1.3504, 0.034939, 3.8635, 3.0442e-05, 6.0018, 0.28512, 9.9184e-05, 0.040391
9, 0.5022, 0.26402, 0.03736, 0.0986, 0.95, 0.42686, 1.8368, 0.69567, 0.99959, 0.3072, 0.40429, 0.51561, 0.14052, 0.96166, 4.4988, 0.02101, 5.971, 0.40456, 0.01229, 0.20904, 1.255, 0.81087, 1.0032, 0.25858, 0.42574, 1.6454, 1.869, 0.78647, 3.4694, 0.01077, 3.5405, 0.6752, 0.010866, 0.2783, 1.0763, 0.2237, 0.98576, 0.13399, 0.19607, 0.64783, 0.52464, 0.66995, 2.1146, 0.0072389, 1.063, -0.32246, 0.006864, -0.059694, 1.4338, 1.398, 1.0206, 0.38317, 0.65542, 2.6429, 3.2134, 0.90299, 4.8241, 0.014302, 6.018, 1.6729, 0.014868, 0.6163, 0.01181, 0.12743, 0.00011216, 0.0057373, 0.019497, 0.36779, 0.668, 0.0050183, 0.67835, 4.6094e-06, 2.2687, 0.36789, 5.9193e-06, 0.042226, 0.61263, -0.73342, 0.96409, 0.051187, 0.1955, -0.12178, -0.35917, 0.47258, 0.14874, 0.0017327, -0.64821, -0.32516, -0.0057021, -0.15808, 1.8974, 2.3552, 1.0423, 0.46597, 0.65599, 3.4125, 4.0972, 1.1004, 6.79, 0.019808, 7.7292, 1.6756, 0.027434, 0.71469, 0.15252, 0.88146, 0.00056496, 0.015897, 0.019594, 1.1542, 1.835, 0.036415, 4.0755, 3.0189e-05, 6.4849, 0.36988, 0.00010146, 0.070385
10, 0.66667, 0.08881, 0.18901, 0.14145, 1.068, 0.20878, 1.2688, 0.56034, 0.98981, 0.42216, 0.50889, 0.28996, 0.65548, 0.53857, 6.1089, 0.0132, 0.89072, 0.21707, 0.00458, 1.9218, 1.2147, 1.17, 0.98826, 0.52992, 0.31782, 1.546, 1.8601, 0.57386, 4.3498, 0.010678, 3.3182, 0.77245, 0.0064382, 0.74206, 1.0138, 0.61889, 0.96861, 0.25929, -0.015691, 0.064616, 0.15025, 0.4015, 2.5882, 0.0047469, 0.78462, -0.23152, -0.0083476, -0.53923, 1.4156, 1.721, 1.0079, 0.80055, 0.65133, 3.0274, 3.5699, 0.74623, 6.1114, 0.016609, 5.8518, 1.7764, 0.021224, 2.0233, 0.014916, 0.11224, 0.00014278, 0.027071, 0.041112, 0.81109, 1.0806, 0.010981, 1.147, 1.3003e-05, 2.3725, 0.37255, 8.0804e-05, 0.60679, 0.56582, -0.36097, 0.94812, 0.21254, -0.016084, -0.533, -0.60588, 0.23526, 0.84345, 0.00046113, -0.9039, -0.23419, -0.015404, -0.56863, 1.8636, 2.7009, 1.0284, 0.8473, 0.65173, 3.625, 4.326, 0.91247, 7.8562, 0.020895, 7.5403, 1.7791, 0.028281, 2.0527, 0.15563, 0.86627, 0.00059558, 0.037231, 0.041209, 1.5975, 2.2476, 0.042378, 4.5442, 3.8583e-05, 6.5887, 0.37454, 0.00017634, 0.63495
