Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, eta_1, kappa_k, kappa, sig, lam, mup, sigp, rsmax, n, alpha, alpha1, alpha2, betam1, gamma, eta_1.median, kappa_k.median, kappa.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, n.median, alpha.median, alpha1.median, alpha2.median, betam1.median, gamma.median, eta_1.q5, kappa_k.q5, kappa.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, n.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, gamma.q5, eta_1.q95, kappa_k.q95, kappa.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, n.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, gamma.q95, eta_1.var, kappa_k.var, kappa.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, n.var, alpha.var, alpha1.var, alpha2.var, betam1.var, gamma.var, eta_1.q5_w_mnoise, kappa_k.q5_w_mnoise, kappa.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, n.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, gamma.q5_w_mnoise, eta_1.q95_w_mnoise, kappa_k.q95_w_mnoise, kappa.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, n.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, gamma.q95_w_mnoise, eta_1.var_w_mnoise, kappa_k.var_w_mnoise, kappa.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, n.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, gamma.var_w_mnoise
1, 0.5, 0.45595, 0.00797, 0, 0.36364, 0.77836, 0.79307, 0.62209, 1.0359, 0.20199, 0.19839, 2.371, 1.8119, 0.69755, 1.8175, 0.01209, 3.6578, 1.3234, 0.0205, 0.17995, 1.252, 0.76511, 1.0303, 0.163, 0.23621, 2.5313, 1.8282, 0.70553, 1.7844, 0.004236, 4.5718, 1.5714, 0.014929, 0.32204, 0.60845, 0.43439, 1.011, 0.11588, 0.09767, 1.6347, 1.2524, 0.62562, 0.78061, -0.0025559, 1.346, 1.2823, -0.00060761, 0.17569, 1.8955, 1.0958, 1.0497, 0.21012, 0.37476, 3.428, 2.4041, 0.78545, 2.7881, 0.011028, 7.7976, 1.8605, 0.030466, 0.4684, 0.15307, 0.040427, 0.00013871, 0.00082071, 0.0070946, 0.29716, 0.12257, 0.0023606, 0.3724, 1.705e-05, 3.8461, 0.030898, 8.9222e-05, 0.0079167, 0.60845, 0.43439, 0.98942, 0.043947, 0.09767, 1.1895, 1.2524, 0.62562, 0.78061, -0.0036705, 1.346, 0.85152, -0.0022661, 0.17569, 1.8955, 1.0958, 1.0712, 0.28205, 0.37476, 3.8731, 2.4041, 0.78545, 2.7881, 0.012143, 7.7976, 2.2913, 0.032125, 0.4684, 0.15307, 0.040427, 0.00061864, 0.0052385, 0.0070946, 0.66544, 0.12257, 0.0023606, 0.3724, 2.3105e-05, 3.8461, 0.19154, 0.00010929, 0.0079167
2, 0.45833, 0.4772, 0.00804, 0.23429, 0.48, 0.79806, 1.3453, 1.1679, 1.0326, 0.14986, 0.16566, 3.555, 3.5972, 0.97884, 2.554, 0.00866, 1.7877, 1.7552, 0.01207, 0.65964, 1.0477, 1.1292, 1.0223, 0.1846, 0.14834, 2.2714, 1.6477, 0.83227, 2.4114, 0.0032085, 4.934, 1.4493, 0.011074, 0.49379, 0.54195, 0.18097, 1.0091, 0.12209, 0.029279, 0.99312, -0.65064, 0.623, 1.215, 0.00035735, 0.78099, 1.1734, -0.0034638, 0.21144, 1.5535, 2.0774, 1.0356, 0.24712, 0.2674, 3.5496, 3.946, 1.0415, 3.6077, 0.0060597, 9.0871, 1.7253, 0.025612, 0.77614, 0.094548, 0.33231, 6.4852e-05, 0.0014443, 0.0052393, 0.60391, 1.9524, 0.016186, 0.52901, 3.0047e-06, 6.375, 0.028143, 7.8115e-05, 0.029466, 0.54195, 0.18097, 0.98396, 0.058667, 0.029279, 0.64955, -0.65064, 0.623, 1.215, -0.0017424, 0.78099, 0.73463, -0.0052244, 0.21144, 1.5535, 2.0774, 1.0607, 0.31054, 0.2674, 3.8932, 3.946, 1.0415, 3.6077, 0.0081595, 9.0871, 2.164, 0.027372, 0.77614, 0.094548, 0.33231, 0.00054478, 0.0058622, 0.0052393, 0.97218, 1.9524, 0.016186, 0.52901, 9.06e-06, 6.375, 0.18879, 9.818e-05, 0.029466
3, 0.5, 0.44862, 0.00287, 0, 0.9, 0.63472, 0.77275, 0.63017, 1.0015, 0.07769, 0.14622, 3.7039, 0.80358, 0.71451, 1.7265, 0.01335, 3.5016, 1.7891, 0.04098, 0.16973, 1.252, 0.57043, 0.99737, 0.16967, 0.14144, 3.2431, 0.97287, 0.73461, 1.9806, 0.0087788, 2.9532, 0.74641, 0.017607, 0.15856, 0.60845, 0.25988, 0.97911, 0.12005, -0.0047054, 2.2856, 0.32537, 0.66785, 0.58982, 0.0012899, 0.015929, 0.30538, 0.0042917, 0.13367, 1.8955, 0.88099, 1.0156, 0.2193, 0.28759, 4.2006, 1.6204, 0.80137, 3.3714, 0.016268, 5.8904, 1.1874, 0.030922, 0.18346, 0.15307, 0.035647, 0.00012326, 0.00091032, 0.0078948, 0.33884, 0.15496, 0.0016473, 0.71494, 2.0729e-05, 3.1888, 0.07189, 6.5529e-05, 0.00022908, 0.60845, 0.25988, 0.95697, 0.04961, -0.0047054, 1.8599, 0.32537, 0.66785, 0.58982, 0.0002661, 0.015929, -0.046774, 0.0023891, 0.13367, 1.8955, 0.88099, 1.0378, 0.28974, 0.28759, 4.6262, 1.6204, 0.80137, 3.3714, 0.017291, 5.8904, 1.5396, 0.032824, 0.18346, 0.15307, 0.035647, 0.00060319, 0.0053281, 0.0078948, 0.70711, 0.15496, 0.0016473, 0.71494, 2.6784e-05, 3.1888, 0.23254, 8.5594e-05, 0.00022908
4, 0.91667, 0.48746, 0.00787, 0.23736, 0.72, 0.88952, 1.0035, 0.57434, 0.97424, 0.40131, 0.1505, 1.2918, 1.3209, 0.95334, 8.3297, 0.0031, 6.8582, 1.7485, 0.02097, 0.74309, 0.92583, 1.131, 0.99207, 0.34493, 0.10065, 1.4388, 0.60092, 0.8259, 6.2615, 0.0019802, 3.2506, 1.09, 0.012964, 0.58256, 0.78524, 0.086848, 0.97479, 0.29354, -0.040276, 0.20839, -0.80413, 0.61672, 4.2669, -0.0018877, -0.86257, 0.69076, 0.0027134, 0.39185, 1.0664, 2.1752, 1.0093, 0.39633, 0.24158, 2.6692, 2.006, 1.0351, 8.2561, 0.0058481, 7.3639, 1.4892, 0.023214, 0.77326, 0.0073065, 0.40297, 0.00011031, 0.00097635, 0.0073406, 0.55956, 0.72967, 0.016172, 1.4705, 5.5296e-06, 6.2533, 0.058912, 3.8835e-05, 0.013442, 0.78523, 0.086848, 0.95211, 0.22413, -0.040276, -0.14558, -0.80413, 0.61672, 4.2669, -0.0036183, -0.86257, 0.31926, 0.00034004, 0.39185, 1.0664, 2.1752, 1.032, 0.46574, 0.24158, 3.0232, 2.006, 1.0351, 8.2561, 0.0075787, 7.3639, 1.8607, 0.025587, 0.77326, 0.0073068, 0.40297, 0.00059024, 0.0053942, 0.0073406, 0.92783, 0.72967, 0.016172, 1.4705, 1.1585e-05, 6.2533, 0.21956, 5.89e-05, 0.013442
5, 0.61111, 0.47414, 0, 0.11639, 2, 1.2681, 0.72282, 0.56051, 1.0023, 0.18557, 0.06267, 1.758, 2.0052, 0.72127, 3.9829, 0.00312, 2.2249, 0.25996, 0.01935, 0.54725, 1.252, 1.3366, 1.0114, 0.1901, 0.19981, 2.234, 1.9448, 0.83235, 4.5214, 0.0024706, 1.846, 0.91289, 0.014966, 0.35306, 0.60845, 0.22102, 0.99026, 0.12493, 0.056543, 0.11618, 0.64166, 0.62309, 1.7909, -0.0023587, -0.491, 0.4226, -0.00060616, -0.23999, 1.8955, 2.4523, 1.0326, 0.25526, 0.34307, 4.3518, 3.248, 1.0416, 7.2519, 0.0072999, 4.1829, 1.4032, 0.030538, 0.9461, 0.15307, 0.46003, 0.00016531, 0.0015696, 0.007586, 1.6578, 0.62767, 0.016186, 2.7557, 8.62e-06, 2.0186, 0.088851, 8.9627e-05, 0.12999, 0.60845, 0.22102, 0.96963, 0.062821, 0.056543, -0.10727, 0.64166, 0.62309, 1.7909, -0.0038306, -0.491, 0.091294, -0.0022613, -0.23999, 1.8955, 2.4523, 1.0532, 0.31737, 0.34307, 4.5753, 3.248, 1.0416, 7.2519, 0.0087718, 4.1829, 1.7345, 0.032193, 0.9461, 0.15307, 0.46003, 0.00064525, 0.0059874, 0.007586, 2.0261, 0.62767, 0.016186, 2.7557, 1.4675e-05, 2.0186, 0.2495, 0.00010969, 0.12999
6, 0.61111, 0.7193, 0.01212, 0.17658, 0.48, 0.89347, 1.2196, 0.5, 1.05, 0.17239, 0.12868, 2.5066, 4.9411, 0.88617, 5.5944, 0, 1.0319, 0.01, 0.01255, 0.80994, 1.252, 1.1764, 1.0304, 0.10746, 0.18217, 3.8049, 2.0995, 0.83227, 3.8569, 0.0041103, 4.0381, 0.57046, 0.018838, 0.82744, 0.60845, 0.035438, 1.0115, 0.0012477, 0.084861, 2.9699, -0.35514, 0.623, 0.089874, -0.00032963, -0.32956, 0.0015015, 0.0067351, 0.72338, 1.8955, 2.3173, 1.0494, 0.21366, 0.27949, 4.6399, 4.5541, 1.0415, 7.6239, 0.0085501, 8.4058, 1.1394, 0.03094, 0.93151, 0.15307, 0.48113, 0.00013251, 0.0041692, 0.0035002, 0.25773, 2.227, 0.016186, 5.245, 7.286e-06, 7.0509, 0.11965, 5.4138e-05, 0.0040029, 0.60845, 0.035438, 0.98973, -0.044967, 0.084861, 2.5035, -0.35514, 0.623, 0.089874, -0.0018977, -0.32956, -0.30037, 0.0046687, 0.72338, 1.8955, 2.3173, 1.0711, 0.25988, 0.27949, 5.1063, 4.5541, 1.0415, 7.6239, 0.010118, 8.4058, 1.4413, 0.033007, 0.93151, 0.15307, 0.48113, 0.00061244, 0.008587, 0.0035002, 0.626, 2.227, 0.016186, 5.245, 1.3341e-05, 7.0509, 0.2803, 7.4204e-05, 0.0040029
7, 0.91667, 0.51803, 0, 0.25225, 2, 1.258, 1.5281, 1.3972, 0.99062, 0.36854, 0.44309, 2.1978, 2.0943, 0.93637, 3.7294, 0.00127, 2.2503, 1.1134, 0.0175, 0.30089, 1.5181, 1.1764, 1.0154, 0.32276, 0.20152, 3.1229, 2.3538, 0.83227, 4.6614, 0.0031574, 4.0367, 0.55556, 0.015142, 0.35731, 1.5018, 0.035438, 0.99443, 0.26204, 0.047598, 1.3918, 0.086109, 0.623, 3.7156, -5.8835e-05, -0.33119, 0.097732, -0.00043002, -0.09065, 1.5344, 2.3173, 1.0364, 0.38348, 0.35543, 4.8541, 4.6216, 1.0415, 5.6072, 0.0063736, 8.4045, 1.0134, 0.030714, 0.80527, 9.8391e-05, 0.48113, 0.00016275, 0.0013626, 0.0087563, 1.1077, 1.9008, 0.016186, 0.33061, 3.8233e-06, 7.0515, 0.077473, 8.9627e-05, 0.074169, 1.5018, 0.035438, 0.97371, 0.1977, 0.047598, 1.1246, 0.086109, 0.623, 3.7156, -0.0020124, -0.33119, -0.24709, -0.0020852, -0.09065, 1.5344, 2.3173, 1.0571, 0.44782, 0.35543, 5.1212, 4.6216, 1.0415, 5.6072, 0.0083272, 8.4045, 1.3582, 0.032369, 0.80527, 9.8714e-05, 0.48113, 0.00064268, 0.0057804, 0.0087563, 1.4759, 1.9008, 0.016186, 0.33061, 9.8786e-06, 7.0515, 0.23812, 0.00010969, 0.074169
8, 0.21918, 0.15093, 0.00278, 0, 0.84906, 0.10902, 1.1848, 0.90832, 0.95948, 0.39622, 0.25651, 0.53134, 0.31729, 0.83032, 1.3417, 0.02207, 7.2165, 0.27051, 0.00689, 0.27808, 1.252, 1.2924, 0.99291, 0.29632, 0.19737, 2.188, 2.1669, 0.83219, 3.1793, 0.013818, 4.0105, 0.95289, 0.014699, 0.60602, 0.60845, 0.40257, 0.96789, 0.13439, 0.030601, 0.067582, -0.21743, 0.62293, -0.52799, 0.0048686, -0.039101, 0.15213, -0.00095975, -0.098969, 1.8955, 2.1823, 1.0179, 0.45825, 0.36414, 4.3084, 4.5513, 1.0415, 6.8865, 0.022767, 8.06, 1.7536, 0.030358, 1.311, 0.15307, 0.29267, 0.00023132, 0.0096915, 0.01028, 1.6619, 2.1013, 0.016186, 5.0799, 2.9602e-05, 6.0613, 0.237, 9.0631e-05, 0.1837, 0.60845, 0.40257, 0.94904, 0.10094, 0.030601, -0.15562, -0.21743, 0.62293, -0.52799, 0.0039958, -0.039101, -0.084347, -0.0026066, -0.098969, 1.8955, 2.1823, 1.0368, 0.4917, 0.36414, 4.5316, 4.5513, 1.0415, 6.8865, 0.02364, 8.06, 1.9901, 0.032005, 1.311, 0.15307, 0.29267, 0.00071125, 0.014109, 0.01028, 2.0301, 2.1013, 0.016186, 5.0799, 3.5658e-05, 6.0613, 0.39765, 0.0001107, 0.1837
9, 0.91667, 0.47349, 0.00764, 0.11528, 1.0286, 0.74456, 1.3866, 1.3779, 1.0474, 0.34278, 0.28754, 3.4329, 1.2397, 0.8447, 6.3513, 0.00455, 6.509, 1.9658, 0.01251, 0.21036, 1.4315, 1.7267, 1.0138, 0.36483, 0.1733, 2.5502, 1.6255, 0.83227, 6.3812, 0.00058329, 6.0615, 1.3659, 0.014085, 0.19363, 1.3057, 0.67005, 0.99683, 0.30953, 0.026543, 0.88386, -0.26655, 0.623, 5.6426, -0.0024819, 2.2245, 1.0525, -0.0014476, -0.18203, 1.5574, 2.7833, 1.0307, 0.42013, 0.32006, 4.2166, 3.5176, 1.0415, 7.1197, 0.0036485, 9.8984, 1.6793, 0.029619, 0.56929, 0.005852, 0.41265, 0.00010609, 0.0011304, 0.0079609, 1.0263, 1.3232, 0.016186, 0.20162, 3.4727e-06, 5.4416, 0.036308, 8.9179e-05, 0.052159, 1.3057, 0.67005, 0.97395, 0.24231, 0.026543, 0.60777, -0.26655, 0.623, 5.6426, -0.004494, 2.2245, 0.63592, -0.0031065, -0.18203, 1.5574, 2.7833, 1.0536, 0.48735, 0.32006, 4.4927, 3.5176, 1.0415, 7.1197, 0.0056605, 9.8984, 2.0959, 0.031277, 0.56929, 0.0058524, 0.41265, 0.00058602, 0.0055483, 0.0079609, 1.3946, 1.3232, 0.016186, 0.20162, 9.528e-06, 5.4416, 0.19695, 0.00010924, 0.052159
10, 0.61111, 0.47111, 0.00794, 0, 1.0286, 0.51611, 0.722, 0.5, 1.05, 0.1797, 0.0745, 0.58626, 4.0374, 1, 2.2361, 0, 1.8604, 0.01, 0.01761, 0.48251, 1.252, 0.57131, 1.0132, 0.21574, 0.15997, 1.0755, 3.7851, 0.86997, 2.7415, 0.0039536, 3.5674, 0.92969, 0.014701, 0.24114, 0.60845, 0.0068692, 0.9963, 0.15456, 0.015533, -0.75276, 2.8725, 0.67166, 0.54289, 0.00012279, 0.48045, 0.24636, -0.00095796, -0.026836, 1.8955, 1.1357, 1.0301, 0.27692, 0.3044, 2.9038, 4.6978, 1.0683, 4.9401, 0.0077843, 6.6543, 1.613, 0.03036, 0.50911, 0.15307, 0.11775, 0.00010542, 0.0013834, 0.0077104, 1.2355, 0.30786, 0.014535, 1.7866, 5.424e-06, 3.5221, 0.17259, 9.0631e-05, 0.026542, 0.60845, 0.0068692, 0.97339, 0.090458, 0.015533, -1.0075, 2.8725, 0.67166, 0.54289, -0.0016194, 0.48045, -0.019827, -0.0026048, -0.026836, 1.8955, 1.1357, 1.053, 0.34102, 0.3044, 3.1585, 4.6978, 1.0683, 4.9401, 0.0095265, 6.6543, 1.8792, 0.032007, 0.50911, 0.15307, 0.11775, 0.00058536, 0.0058012, 0.0077104, 1.6037, 0.30786, 0.014535, 1.7866, 1.1479e-05, 3.5221, 0.33323, 0.0001107, 0.026542
