ar	lrr	srr	alr	sdr	smr
0.50000	0.45595	0.00797	0.00000	0.36364	0.77836
0.45833	0.47720	0.00804	0.23429	0.48000	0.79806
0.50000	0.44862	0.00287	0.00000	0.90000	0.63472
0.91667	0.48746	0.00787	0.23736	0.72000	0.88952
0.61111	0.47414	0.00000	0.11639	10.00000	1.26814
0.61111	0.71930	0.01212	0.17658	0.48000	0.89347
0.91667	0.51803	0.00000	0.25225	10.00000	1.25804
0.21918	0.15093	0.00278	0.00000	0.84906	0.10902
0.91667	0.47349	0.00764	0.11528	1.02857	0.74456
0.61111	0.47111	0.00794	0.00000	1.02857	0.51611
0.61111	0.78019	0.01314	0.38305	0.48000	0.88483
0.91667	0.51984	0.00000	0.12657	10.00000	1.30778
0.61111	0.34942	0.00589	0.08578	0.48000	0.78839
0.38786	0.18065	0.00271	0.00000	0.15753	0.41111
0.22230	0.33805	0.00338	0.10139	1.26316	0.24617
0.45833	0.48346	0.00814	0.11868	0.48000	0.75422
0.66667	0.46352	0.00296	0.00000	0.60000	0.86356
1.00000	0.29760	0.03460	0.12377	1.16087	0.40782
0.66667	0.40558	0.00257	0.09993	0.45000	0.94386
0.50220	0.27023	0.00611	0.30689	0.95000	0.55514
0.91667	0.47500	0.00766	0.23130	1.02857	0.79126
0.66703	0.08010	0.00147	0.05737	0.50394	0.32326
0.91667	0.64994	0.00787	0.11868	0.72000	1.05311
0.91667	0.51984	0.00839	0.12657	0.72000	0.86469
0.50000	0.38541	0.00245	0.10002	1.20000	0.62094
0.50000	0.42151	0.00723	0.00000	0.54545	0.63979
0.50000	0.24055	0.00255	0.00000	0.60000	0.44564
0.50000	0.20729	0.00049	0.00216	0.28937	0.53531
