% ar	lrr	srr	alr	sdr	smr
0.50000	0.13709	0.07486	0.20759	0.56190	0.45383
0.66667	0.08881	0.18901	0.14145	1.06800	0.20878
0.45833	0.48346	0.04497	0.11868	0.48000	0.75422
0.25000	0.30326	0.01606	0.20813	0.90000	0.41679
0.15198	0.15255	0.11808	0.41875	0.67800	0.36956
0.25000	0.22752	0.02810	0.52760	0.57143	0.56185
0.45833	0.47720	0.04468	0.23429	0.48000	0.79806
0.22230	0.25711	0.01530	0.08559	1.26316	0.24902
0.25000	0.27666	0.03959	0.58943	1.09091	0.35315
0.26882	0.20527	0.01264	0.33953	2.58000	0.31963
0.15198	0.15255	0.07939	0.41875	0.96000	0.29429
0.50000	0.23577	0.02438	0.40689	0.85714	0.58015
0.50000	0.24182	0.04249	0.36837	1.74545	0.39848
0.15198	0.15255	0.11988	0.41875	0.90000	0.21355
0.15385	0.29889	0.01177	0.05726	0.60000	0.36901
0.61111	0.50326	0.04588	0.12354	1.02857	0.60695
0.18182	0.30430	0.01083	0.05829	0.60000	0.42944
0.61111	0.47111	0.04439	0.00000	1.02857	0.51611
