ar	lrr	srr	alr	sdr	smr
0.15198	0.15255	0.11988	0.41875	0.90000	0.21355
0.15385	0.29889	0.01177	0.05726	0.60000	0.36901
0.22230	0.28084	0.01599	0.09349	1.26316	0.25029
0.33333	0.27345	0.02384	0.04505	0.58763	0.38867
0.50220	0.27023	0.03780	0.30689	0.95000	0.55514
0.22230	0.27827	0.01592	0.09264	1.26316	0.25017
0.22230	0.33805	0.01754	0.10139	1.26316	0.24617
0.13333	0.72522	0.08344	0.24120	1.00909	0.21516
0.16630	0.26546	0.01059	0.06850	1.07191	0.23756
0.15198	0.15255	0.11988	0.41875	0.90000	0.21355
0.25000	0.44611	0.01397	0.07227	1.20755	0.32794
0.18315	0.20652	0.01864	0.00336	1.41176	0.11561
0.22230	0.33805	0.01754	0.10139	1.26316	0.24617
0.50220	0.26268	0.03727	0.15009	0.95000	0.47273
0.50000	0.13709	0.07486	0.20759	0.56190	0.45383
0.50000	0.24182	0.04249	0.36837	1.74545	0.39848
0.15198	0.15255	0.11808	0.41875	0.67800	0.36956
0.61111	0.50326	0.04588	0.12354	1.02857	0.60695
0.25000	0.18588	0.01276	0.06024	0.60472	0.31029
0.22230	0.25711	0.01530	0.08559	1.26316	0.24902
0.12500	0.43305	0.01799	0.27129	0.75294	0.44400
0.15198	0.21123	0.13895	0.31341	1.35600	0.16402
0.45833	0.48346	0.04497	0.11868	0.48000	0.75422
0.33333	0.34793	0.01387	0.09056	1.51181	0.32492
0.15964	0.26776	0.05024	0.19381	0.18689	0.46394
0.22230	0.25711	0.01530	0.08559	1.26316	0.24902
0.25000	0.26710	0.06188	0.13674	0.44444	0.36078
0.33260	0.27707	0.01384	0.07150	2.12222	0.22993
0.15198	0.15255	0.07939	0.41875	0.96000	0.29429
0.22230	0.25711	0.01530	0.08559	1.26316	0.24902
0.50000	0.35621	0.03755	0.18994	1.00000	0.60165
0.25000	0.18588	0.01276	0.12047	1.20755	0.25029
0.22230	0.27827	0.01592	0.09264	1.26316	0.25017
0.66667	0.08881	0.18901	0.14145	1.06800	0.20878
0.18657	0.23496	0.01647	0.00981	1.88571	0.12381
0.25000	0.31953	0.06769	0.61304	0.80000	0.31132
0.22230	0.31474	0.01693	0.09439	1.26316	0.24533
0.45833	0.47720	0.04468	0.23429	0.48000	0.79806
0.15198	0.15255	0.11429	0.41875	1.35600	0.22189
0.25000	0.22305	0.01397	0.07227	1.20755	0.20167
0.16073	0.11341	0.02512	0.05049	0.48000	0.23969
0.21918	0.14721	0.01636	0.00000	0.84906	0.10870
0.26667	0.72522	0.08344	0.35142	1.00909	0.39777
