ar	lrr	srr	alr	sdr	smr
0.34302	0.12791	0.00455	0.09975	0.48000	0.41399
0.25000	0.11153	0.00251	0.07227	1.20755	0.13854
0.50000	0.23577	0.00425	0.40689	0.85714	0.58015
0.21285	0.15862	0.00629	0.10290	1.18110	0.24195
0.10000	0.22305	0.00251	0.07227	1.20755	0.09607
0.16667	0.34416	0.00257	0.09624	1.15714	0.21682
0.22230	0.25711	0.00257	0.08559	1.26316	0.24902
0.61111	0.47262	0.00796	0.11602	0.48000	0.83664
0.61111	0.50326	0.00848	0.12354	1.02857	0.60695
0.15198	0.21123	0.01750	0.31341	0.90000	0.15748
0.22230	0.33805	0.00338	0.10139	1.26316	0.24617
0.16667	0.29326	0.00296	0.14819	1.00000	0.31028
0.28571	0.28875	0.00179	0.05561	0.60000	0.52839
0.12500	0.44876	0.00661	0.28113	0.75000	0.33309
0.33333	0.35826	0.00328	0.10019	2.06667	0.22590
0.22230	0.25711	0.00257	0.08559	1.26316	0.24902
0.25000	0.31953	0.01303	0.61304	0.80000	0.31132
0.22230	0.28084	0.00280	0.09349	1.26316	0.25029
0.61111	0.49648	0.00836	0.24376	0.48000	0.87843
0.25000	0.18588	0.00209	0.12047	1.20755	0.25029
0.33333	0.26774	0.00408	0.04287	0.89062	0.30755
0.18750	0.34565	0.00620	0.04156	0.74803	0.23818
0.33333	0.24816	0.00386	0.04089	0.58763	0.38206
0.25000	0.44611	0.00251	0.07227	1.20755	0.32794
0.61111	0.35704	0.00601	0.17529	0.48000	0.84857
0.12500	0.43305	0.00284	0.27129	0.75294	0.44400
0.50000	0.24957	0.00601	0.10379	0.63243	0.52406
0.15198	0.15255	0.01264	0.20938	0.90000	0.16059
0.22230	0.25711	0.00257	0.08559	1.26316	0.24902
0.26667	0.72522	0.01421	0.24120	1.00909	0.38041
0.15198	0.15255	0.01264	0.41875	0.90000	0.21355
0.15385	0.29889	0.00202	0.05726	0.60000	0.36901
0.10000	0.34793	0.00236	0.09056	1.51181	0.12390
0.50220	0.26402	0.00597	0.09860	0.95000	0.42686
0.15198	0.21123	0.01723	0.31341	1.35600	0.16402
0.22230	0.33805	0.00338	0.10139	1.26316	0.24617
0.33333	0.36272	0.00332	0.10144	2.06667	0.22601
0.25000	0.27666	0.00741	0.58943	1.09091	0.35315
0.25000	0.23335	0.00654	0.73864	1.05263	0.35494
					
0.33333	0.08565	0.00081	0.10663	0.26471	0.54101
0.66703	0.16021	0.00147	0.05737	0.30236	0.50529
0.25000	0.30326	0.00315	0.20813	0.90000	0.41679
0.21285	0.16327	0.00629	0.10290	1.18110	0.24521
0.50220	0.34905	0.00692	0.08487	0.71250	0.52514
0.66667	0.28878	0.00000	0.00000	10.00000	0.86381
0.26667	0.72522	0.01421	0.35142	1.00909	0.39777
0.61111	0.46080	0.00776	0.00000	0.48000	0.76940
1.00000	0.16347	0.03460	0.24754	1.61818	0.32643
0.22230	0.27827	0.00278	0.09264	1.26316	0.25017
0.12500	0.47328	0.00698	0.29649	0.75000	0.33101
0.16630	0.26546	0.00177	0.06850	1.07191	0.23756
0.18315	0.20652	0.00295	0.00336	1.41176	0.11561
0.25000	0.18588	0.00209	0.06024	0.60472	0.31029
0.25000	0.26710	0.01089	0.13674	0.44444	0.36078
0.16667	0.37518	0.00280	0.10492	1.15714	0.21749
