% ar	lrr	srr	alr	sdr	smr
0.91667	0.32820	0.04365	0.11986	0.72000	0.65770
0.91667	0.47111	0.04439	0.11565	0.48000	0.94280
0.50000	0.44862	0.01598	0.00000	0.90000	0.63472
0.50220	0.26402	0.03736	0.09860	0.95000	0.42686
0.50000	0.23049	0.00283	0.00240	0.28937	0.56103
0.66703	0.16021	0.00808	0.05737	0.30236	0.50529
0.61111	0.71930	0.05485	0.17658	0.48000	0.89347
0.66703	0.08010	0.00808	0.05737	0.50394	0.32326
0.61111	0.35704	0.03865	0.17529	0.48000	0.84857
0.50000	0.20729	0.00268	0.00216	0.28937	0.53531
0.91667	0.47500	0.04288	0.23130	1.02857	0.79126
0.91667	0.47414	0.04454	0.23278	0.48000	0.96950
0.66667	0.46352	0.01624	0.00000	0.60000	0.86356
0.50000	0.45595	0.04408	0.00000	0.36364	0.77836
0.61111	0.34942	0.03823	0.08578	0.48000	0.78839
0.61111	0.78019	0.05713	0.38305	0.48000	0.88483
0.91667	0.51984	0.00000	0.12657	10.00000	1.30778
0.38786	0.18065	0.01599	0.00000	0.15753	0.41111
0.61111	0.47262	0.04446	0.11602	0.48000	0.83664
0.38786	0.18065	0.01599	0.00000	0.15753	0.41111
0.61111	0.47414	0.00000	0.11639	10.00000	1.26814
0.61111	0.46080	0.04391	0.00000	0.48000	0.76940
0.66667	0.28878	0.00000	0.00000	10.00000	0.86381
0.91667	0.64994	0.04344	0.11868	0.72000	1.05311
0.50000	0.41081	0.01519	0.38993	0.55385	0.92438
0.50000	0.19083	0.00262	0.00206	0.28937	0.50593
