% eta1	kappa_k	kappa	sig	lam	mup	sigp	rsmax	n	alpha	alpha1	alpha2	betam1	gamma
1.38656	1.37787	1.04740	0.34278	0.28754	3.43292	1.23968	0.84470	6.35134	0.00455	6.50902	1.96581	0.01251	0.21036
1.51819	1.49418	1.03124	0.27646	0.20430	3.99034	1.96031	0.69381	4.82702	0.00302	1.44360	0.68662	0.01810	0.25811
1.02208	0.62941	0.98042	0.66780	0.28812	0.23308	1.83321	0.61947	2.69744	0.00254	0.76698	0.44164	0.00888	0.23578
1.79258	1.09779	0.99254	0.25278	0.19446	1.59515	2.05827	0.94752	6.40599	0.00054	3.59687	1.58404	0.01101	0.25738
1.68200	0.93300	1.05000	0.17997	0.39867	1.25858	1.63221	0.70213	2.27267	0.00638	3.10371	1.27886	0.00257	0.20079
1.59586	0.72225	0.99986	0.15986	0.19936	3.47492	1.47987	0.69793	2.67985	0.01032	4.22914	0.01744	0.02778	0.16912
1.43506	1.60363	0.97767	0.36027	0.21146	2.61386	0.12569	0.61397	7.02765	0.00029	3.32307	1.64874	0.00466	0.25450
0.72282	0.56051	1.00226	0.18557	0.06267	1.75802	2.00516	0.72127	3.98287	0.00312	2.22492	0.25996	0.01935	0.54725
1.26734	2.67818	1.04474	0.38976	0.32560	0.38657	0.51746	0.99330	6.53593	0.00238	9.96606	0.33619	0.02018	0.20636
1.22145	2.49962	0.99306	0.48037	0.46236	2.89694	2.55583	0.71368	2.98570	0.00054	0.68378	2.00000	0.03148	0.89810
0.58959	2.07048	0.99575	0.21670	0.11901	2.07613	0.95873	0.78564	1.71416	0.00163	9.64158	1.97257	0.00732	0.14945
1.34530	1.16790	1.03258	0.14986	0.16566	3.55498	3.59720	0.97884	2.55404	0.00866	1.78774	1.75518	0.01207	0.65964
1.17575	1.46779	0.99262	0.20988	0.41994	1.61504	1.30267	0.68228	6.15344	0.00679	4.99507	0.11549	0.03171	0.16951
0.92164	3.02904	1.00043	0.21303	0.22709	2.24087	2.04925	0.91933	2.48731	0.00432	5.84051	1.14389	0.00934	0.31902
1.26157	0.95759	0.98767	0.37836	0.02918	1.06860	1.91258	0.88380	1.46582	0.00056	2.75975	0.81162	0.00647	0.56520
1.21965	0.50000	1.05000	0.17239	0.12868	2.50657	4.94114	0.88617	5.59443	0.00000	1.03192	0.01000	0.01255	0.80994
1.52813	1.39721	0.99062	0.36854	0.44309	2.19779	2.09428	0.93637	3.72944	0.00127	2.25034	1.11343	0.01750	0.30089
0.98212	0.50770	1.01406	0.48082	0.53537	2.58153	2.87524	0.88748	4.12170	0.00065	0.62328	0.79399	0.04405	1.98429
0.72136	1.17431	1.03695	0.17766	0.18836	4.63751	2.93550	0.86703	1.36916	0.00000	3.08719	1.16782	0.04977	0.23369
1.40438	0.53470	1.02811	0.33760	0.16709	1.29508	0.74086	0.75713	2.43790	0.00945	7.52768	1.93935	0.00202	1.70848
0.92163	0.97362	1.03646	0.61226	0.51646	0.66910	1.56134	0.90220	5.37779	0.00764	1.60808	0.29290	0.03293	1.66042
0.50683	6.22206	0.98491	0.30120	0.28675	0.73014	0.26319	0.30533	4.21594	0.00433	5.59279	0.35792	0.00289	0.17184
2.00000	0.72298	1.05000	0.13796	0.06002	1.17785	2.23089	1.00000	1.33460	0.01976	2.84884	0.37312	0.00440	0.19726
1.00354	0.57434	0.97424	0.40131	0.15050	1.29179	1.32094	0.95334	8.32970	0.00310	6.85823	1.74851	0.02097	0.74309
2.00000	0.50000	0.95000	0.20603	0.15383	1.89386	2.88821	1.00000	5.74649	0.00000	2.75160	0.01000	0.01450	0.45013
1.28123	2.28021	0.95689	0.13376	0.14010	0.37993	4.31673	0.96188	4.98881	0.00127	3.13625	0.15782	0.00969	0.22368
1.95959	1.09013	0.95000	0.02000	0.27265	3.14738	4.63012	1.00000	9.20609	0.02443	9.31478	0.29575	0.05000	0.37499
0.72200	0.50000	1.05000	0.17970	0.07450	0.58626	4.03744	1.00000	2.23605	0.00000	1.86041	0.01000	0.01761	0.48251
0.82144	2.38766	1.02061	0.55298	0.21792	1.14634	2.07686	0.85655	3.86123	0.00180	1.67985	1.53255	0.04620	0.39286
1.83675	0.69567	0.99959	0.30720	0.40429	0.51561	0.14052	0.96166	4.49882	0.02101	5.97100	0.40456	0.01229	0.20904
0.91359	0.51226	1.03105	0.18269	0.11035	0.92609	1.77082	0.51556	5.27021	0.00026	0.65053	0.21923	0.01554	1.13172
2.00000	2.60616	1.03041	0.29909	0.22864	3.98055	1.31395	0.75234	1.46796	0.00000	3.92653	1.43222	0.00010	0.25177
0.91776	0.66761	0.99455	0.19345	0.15896	1.01030	4.90008	0.74250	4.95619	0.00924	1.18723	0.06534	0.01895	0.97659
0.77275	0.63017	1.00147	0.07769	0.14622	3.70391	0.80358	0.71451	1.72646	0.01335	3.50164	1.78914	0.04098	0.16973
1.59104	1.12032	1.00973	0.30118	0.08591	2.73228	3.61190	0.97361	2.94121	0.00040	1.84496	1.26801	0.01414	0.73753
