Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, eta_1, kappa_k, kappa, sig, lam, mup, sigp, rsmax, n, alpha, alpha1, alpha2, betam1, gamma, eta_1.median, kappa_k.median, kappa.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, n.median, alpha.median, alpha1.median, alpha2.median, betam1.median, gamma.median, eta_1.q5, kappa_k.q5, kappa.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, n.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, gamma.q5, eta_1.q95, kappa_k.q95, kappa.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, n.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, gamma.q95, eta_1.var, kappa_k.var, kappa.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, n.var, alpha.var, alpha1.var, alpha2.var, betam1.var, gamma.var, eta_1.q5_w_mnoise, kappa_k.q5_w_mnoise, kappa.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, n.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, gamma.q5_w_mnoise, eta_1.q95_w_mnoise, kappa_k.q95_w_mnoise, kappa.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, n.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, gamma.q95_w_mnoise, eta_1.var_w_mnoise, kappa_k.var_w_mnoise, kappa.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, n.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, gamma.var_w_mnoise
1, 0.61111, 0.35704, 0.03865, 0.17529, 0.48, 0.84857, 1.4378, 0.7689, 1.0438, 0.05818, 0.09813, 3.8296, 3.4891, 0.56592, 9.0116, 0.00196, 0.57056, 0.53702, 0.013, 1.0318, 1.1313, 1.3031, 1.0221, 0.211, 0.10619, 2.2894, 2.7235, 0.79902, 4.987, 0.0024544, 3.6232, 0.23813, 0.014675, 0.76426, 0.78906, 0.2276, 0.98767, 0.09403, 0.0062502, 1.7421, 1.9416, 0.77214, 3.8139, -0.00022305, 2.3893, -0.34533, 0.010604, 0.35023, 1.4735, 2.3786, 1.0565, 0.32797, 0.20614, 2.8367, 3.5054, 0.8259, 6.1601, 0.0051319, 4.857, 0.82159, 0.018746, 1.1783, 0.043281, 0.42754, 0.00043784, 0.0050571, 0.0036919, 0.11072, 0.22596, 0.00026704, 0.50864, 2.6497e-06, 0.56267, 0.12583, 6.126e-06, 0.063358, 0.45774, -0.77008, 0.97855, 0.019633, -0.0099537, 0.15724, 0.80584, 0.55461, 1.7237, -0.0060367, -0.64126, -0.34963, -0.0037724, 0.31194, 1.8048, 3.3763, 1.0656, 0.40237, 0.22234, 4.4216, 4.6412, 1.0434, 8.2503, 0.010946, 7.8876, 0.82589, 0.033122, 1.2166, 0.16767, 1.5886, 0.0007004, 0.013536, 0.0049861, 1.6803, 1.3592, 0.02208, 3.936, 2.6649e-05, 6.7215, 0.12769, 0.00012578, 0.075618
2, 0.5, 0.25462, 0.01461, 0, 0.6, 0.49298, 1.682, 0.933, 1.05, 0.17997, 0.39867, 1.2586, 1.6322, 0.70213, 2.2727, 0.00638, 3.1037, 1.2789, 0.00257, 0.20079, 1.3906, 1.4058, 1.0127, 0.27463, 0.41045, 1.6449, 1.6802, 0.80484, 3.487, 0.0054976, 6.0791, 0.82355, 0.016103, 0.11935, 1.1442, 0.70463, 0.97614, 0.17411, 0.35228, 1.0813, 0.95971, 0.77879, 2.2962, 0.0023546, 4.891, -0.29553, 0.011099, -0.13213, 1.637, 2.1069, 1.0493, 0.37516, 0.46861, 2.2085, 2.4007, 0.8309, 4.6777, 0.0086406, 7.2673, 1.9426, 0.021106, 0.37084, 0.022439, 0.1817, 0.00049451, 0.0037353, 0.0012503, 0.1174, 0.19186, 0.00025092, 0.52408, 3.6512e-06, 0.5218, 0.46288, 9.2541e-06, 0.023376, 0.7603, -0.50027, 0.96746, 0.092849, 0.32747, -0.49146, -0.21327, 0.56052, 0.21728, -0.0031516, 1.8277, -0.29778, -0.0025728, -0.19115, 2.0208, 3.3118, 1.058, 0.45642, 0.49342, 3.7813, 3.5736, 1.0492, 6.7567, 0.014147, 10.331, 1.9449, 0.034778, 0.42986, 0.14682, 1.3428, 0.00075708, 0.012214, 0.0025445, 1.687, 1.3251, 0.022064, 3.9515, 2.765e-05, 6.6806, 0.46474, 0.00012891, 0.035636
3, 0.66703, 0.16021, 0.00808, 0.05737, 0.30236, 0.50529, 1.0221, 0.62941, 0.98042, 0.6678, 0.28812, 0.23308, 1.8332, 0.61947, 2.6974, 0.00254, 0.76698, 0.44164, 0.00888, 0.23578, 1.4325, 1.137, 1.0098, 0.3227, 0.22956, 1.6736, 1.7815, 0.79798, 4.0979, 0.0050928, 6.0779, 0.16343, 0.018119, 0.40195, 1.096, 0.12946, 0.97263, 0.18151, 0.039841, 1.0618, 1.0454, 0.77103, 2.1872, 0.0019848, 4.7611, -0.21033, 0.012573, -0.28145, 1.769, 2.1446, 1.0469, 0.46388, 0.41929, 2.2854, 2.5176, 0.82493, 6.0087, 0.0082008, 7.3946, 0.5372, 0.023665, 1.0853, 0.041853, 0.37523, 0.00051017, 0.0073671, 0.013304, 0.13834, 0.20026, 0.0002685, 1.3494, 3.5703e-06, 0.64083, 0.051634, 1.1368e-05, 0.17262, 0.76186, -0.90174, 0.96405, 0.11564, 0.030827, -0.47603, -0.11797, 0.55356, 0.50296, -0.0035438, 1.7887, -0.217, -0.00070896, -0.30531, 2.1031, 3.1758, 1.0555, 0.52975, 0.4283, 3.8232, 3.6809, 1.0424, 7.6929, 0.013729, 10.367, 0.54387, 0.036947, 1.1092, 0.16624, 1.5363, 0.00077274, 0.015846, 0.014598, 1.7079, 1.3335, 0.022081, 4.7768, 2.7569e-05, 6.7997, 0.053495, 0.00013102, 0.18488
4, 0.5, 0.45152, 0.04303, 0, 0.27273, 0.86989, 2, 0.5, 0.95, 0.20603, 0.15383, 1.8939, 2.8882, 1, 5.7465, 0, 2.7516, 0.01, 0.0145, 0.45013, 1.5948, 1.131, 1.0098, 0.18618, 0.18749, 2.5558, 1.79, 0.80331, 4.0979, 0.0029135, 3.6671, 0.81921, 0.01347, 0.77127, 1.382, 0.48108, 0.97263, 0.1165, 0.10814, 1.9602, 1.1569, 0.77734, 2.1872, -3.3899e-05, 2.4706, -0.30186, 0.0092894, 0.44257, 1.8075, 1.781, 1.0469, 0.25587, 0.26683, 3.1515, 2.4231, 0.82927, 6.0087, 0.0058609, 4.8637, 1.9403, 0.017651, 1.1, 0.016731, 0.15614, 0.00051017, 0.0017948, 0.0023269, 0.13113, 0.14813, 0.00024924, 1.3494, 3.2108e-06, 0.52921, 0.46453, 6.4609e-06, 0.039933, 0.97689, -0.75678, 0.96406, 0.019464, 0.088509, 0.41078, -0.071947, 0.55899, 0.50296, -0.0056666, -0.58665, -0.30411, -0.0050016, 0.39549, 2.2127, 3.0188, 1.0555, 0.3529, 0.28647, 4.7009, 3.652, 1.0476, 7.6929, 0.011494, 7.9209, 1.9425, 0.031942, 1.147, 0.14112, 1.3172, 0.00077274, 0.010274, 0.0036211, 1.7007, 1.2814, 0.022062, 4.7768, 2.721e-05, 6.6881, 0.46639, 0.00012612, 0.052194
5, 0.91667, 0.3282, 0.04365, 0.11986, 0.72, 0.6577, 0.91776, 0.66761, 0.99455, 0.19345, 0.15896, 1.0103, 4.9001, 0.7425, 4.9562, 0.00924, 1.1872, 0.06534, 0.01895, 0.97659, 1.2757, 1.2744, 1.0098, 0.27508, 0.10558, 1.7635, 2.3583, 0.79959, 4.8525, 0.0041698, 3.6134, 0.68577, 0.0094939, 0.35869, 0.8979, 0.30243, 0.97264, 0.084327, -0.0342, 1.0729, 1.6126, 0.77284, 3.4233, 0.00069411, 2.6069, -0.42115, 0.0049084, -0.38911, 1.6535, 2.2463, 1.0469, 0.46583, 0.24536, 2.454, 3.1041, 0.82635, 6.2817, 0.0076455, 4.62, 1.7927, 0.01408, 1.1065, 0.052761, 0.34917, 0.00051017, 0.013449, 0.0072216, 0.17624, 0.20555, 0.0002646, 0.75496, 4.4651e-06, 0.37448, 0.45288, 7.7719e-06, 0.20669, 0.58342, -0.74703, 0.96407, 0.03151, -0.046209, -0.40987, 0.45511, 0.55519, 1.4887, -0.0046058, -0.59086, -0.42342, -0.0090737, -0.41097, 1.968, 3.2958, 1.0555, 0.51865, 0.25737, 3.9368, 4.2615, 1.044, 8.2164, 0.012945, 7.8178, 1.795, 0.028062, 1.1283, 0.17715, 1.5103, 0.00077274, 0.021928, 0.0085158, 1.7458, 1.3388, 0.022078, 4.1823, 2.8464e-05, 6.5333, 0.45474, 0.00012743, 0.21895
6, 0.91667, 0.51803, 0, 0.25225, 10, 1.258, 1.2214, 2.4996, 0.99306, 0.48037, 0.46236, 2.8969, 2.5558, 0.71368, 2.9857, 0.00054, 0.68378, 2, 0.03148, 0.8981, 1.3887, 1.3367, 1.0125, 0.39561, 0.52004, 2.1985, 2.0769, 0.79934, 3.7324, 0.0030939, 2.9742, 0.97411, 0.037095, 1.3626, 1.107, 0.1284, 0.98914, 0.21507, 0.3602, 1.4345, 1.2279, 0.77226, 2.4386, -0.00085305, 0.9471, -0.11995, 0.028492, 0.68434, 1.6705, 2.5451, 1.0358, 0.57614, 0.67988, 2.9625, 2.9259, 0.82641, 5.0262, 0.0070408, 5.0012, 2.0682, 0.045698, 2.0408, 0.029342, 0.53966, 0.00020135, 0.012047, 0.009443, 0.21575, 0.26641, 0.00027093, 0.61868, 5.7579e-06, 1.5187, 0.44241, 2.7358e-05, 0.17001, 0.7438, -0.80837, 0.97706, 0.15995, 0.3496, 0.00069598, 0.13092, 0.5549, 0.4238, -0.0058788, -1.5835, -0.12225, 0.017151, 0.66031, 2.0336, 3.4818, 1.0479, 0.63126, 0.69048, 4.3963, 4.0229, 1.0438, 7.041, 0.012067, 7.5318, 2.0705, 0.057039, 2.0648, 0.15373, 1.7008, 0.00046392, 0.020526, 0.010737, 1.7853, 1.3997, 0.022084, 4.0461, 2.9757e-05, 7.6776, 0.44427, 0.00014701, 0.18227
7, 0.61111, 0.4608, 0.04391, 0, 0.48, 0.7694, 1.4351, 1.6036, 0.97767, 0.36027, 0.21146, 2.6139, 0.12569, 0.61397, 7.0277, 0.00029, 3.3231, 1.6487, 0.00466, 0.2545, 1.5841, 1.223, 1.0091, 0.17488, 0.15741, 2.135, 2.0924, 0.79849, 5.4789, 0.0042635, 3.6456, 0.73268, 0.012029, 0.48588, 1.286, 0.064523, 0.97223, 0.081458, 0.034732, 1.5911, 1.4986, 0.7715, 4.2919, 0.0013952, 2.4566, -0.33626, 0.0079282, 0.1135, 1.8822, 2.3814, 1.0459, 0.2683, 0.28009, 2.6788, 2.6862, 0.82547, 6.6659, 0.0071317, 4.8347, 1.8016, 0.016131, 0.85825, 0.032839, 0.49602, 0.00050184, 0.0032257, 0.0055627, 0.10932, 0.13034, 0.00026921, 0.52077, 3.0407e-06, 0.52255, 0.42234, 6.2169e-06, 0.051252, 0.93189, -0.89444, 0.9636, -0.0030737, 0.021207, 0.0037081, 0.24341, 0.55406, 2.2106, -0.0042897, -0.60604, -0.33862, -0.0064246, 0.071346, 2.2363, 3.3404, 1.0546, 0.35283, 0.29362, 4.2662, 3.9414, 1.0429, 8.7472, 0.012817, 7.8973, 1.804, 0.030483, 0.90041, 0.15722, 1.6571, 0.0007644, 0.011704, 0.0068569, 1.6789, 1.2636, 0.022082, 3.9482, 2.704e-05, 6.6814, 0.4242, 0.00012587, 0.063512
8, 0.61111, 0.47262, 0.04446, 0.11602, 0.48, 0.83664, 0.72282, 0.56051, 1.0023, 0.18557, 0.06267, 1.758, 2.0052, 0.72127, 3.9829, 0.00312, 2.2249, 0.25996, 0.01935, 0.54725, 1.091, 1.3239, 0.99676, 0.21818, 0.13175, 2.4096, 2.2202, 0.79728, 5.3434, 0.0024736, 3.5719, 0.32558, 0.01221, 0.56627, 0.79482, 0.38151, 0.97407, 0.11435, 0.062701, 1.8863, 1.5508, 0.77049, 4.3679, -0.00018858, 2.5495, -0.035537, 0.0080634, 0.22971, 1.3871, 2.2663, 1.0194, 0.32201, 0.2008, 2.933, 2.8896, 0.82406, 6.3188, 0.0051358, 4.5943, 0.6867, 0.016357, 0.90284, 0.032418, 0.32826, 0.0001902, 0.0039848, 0.0017622, 0.10123, 0.16562, 0.00026522, 0.3517, 2.6195e-06, 0.38635, 0.0482, 6.356e-06, 0.041868, 0.43964, -0.68345, 0.96176, 0.034548, 0.040815, 0.28351, 0.34559, 0.55287, 2.1458, -0.0060127, -0.6362, -0.04244, -0.0062539, 0.18359, 1.7423, 3.3313, 1.0318, 0.40181, 0.22269, 4.5358, 4.0948, 1.0417, 8.5409, 0.01096, 7.78, 0.69361, 0.030675, 0.94896, 0.1568, 1.4894, 0.00045276, 0.012464, 0.0030564, 1.6708, 1.2989, 0.022078, 3.7791, 2.6619e-05, 6.5452, 0.050061, 0.00012601, 0.054128
9, 0.5022, 0.34905, 0.04108, 0.08487, 0.7125, 0.52514, 1.3293, 1.2623, 1.0158, 0.09138, 0.33536, 0.22355, 1.8048, 0.62452, 6.6673, 0.00277, 2.8682, 1.3416, 0.00217, 0.14317, 1.4521, 1.1447, 1.0097, 0.14024, 0.29238, 1.704, 2.4277, 0.8058, 4.0979, 0.0037468, 3.4816, 1.3872, 0.0094343, 0.27092, 1.1736, 0.12243, 0.9726, 0.05021, 0.23212, 1.1343, 1.6607, 0.77971, 2.1872, 0.00046948, 2.4834, 0.95805, 0.0037748, -0.05511, 1.7305, 2.1669, 1.0469, 0.23027, 0.35264, 2.2738, 3.1947, 0.83188, 6.0087, 0.007024, 4.4799, 1.8164, 0.015094, 0.59695, 0.02866, 0.38623, 0.00051017, 0.0029958, 0.0013422, 0.11999, 0.21745, 0.00025148, 1.3494, 3.9698e-06, 0.36833, 0.068079, 1.1838e-05, 0.039289, 0.8086, -0.9014, 0.96402, -0.035956, 0.20793, -0.43399, 0.51608, 0.56147, 0.50296, -0.0049521, -0.72068, 0.95222, -0.0094273, -0.10253, 2.0956, 3.1907, 1.0555, 0.31644, 0.37684, 3.8421, 4.3394, 1.0501, 7.6929, 0.012446, 7.684, 1.8222, 0.028296, 0.64438, 0.15304, 1.5473, 0.00077274, 0.011475, 0.0026364, 1.6896, 1.3507, 0.022064, 4.7768, 2.7969e-05, 6.5272, 0.069939, 0.00013149, 0.051549
10, 0.91667, 0.47414, 0.04454, 0.23278, 0.48, 0.9695, 1.7926, 1.0978, 0.99254, 0.25278, 0.19446, 1.5952, 2.0583, 0.94752, 6.406, 0.00054, 3.5969, 1.584, 0.01101, 0.25738, 1.2318, 1.1647, 1.0051, 0.35952, 0.31433, 2.477, 2.0841, 0.80171, 5.0947, 0.0035051, 3.5344, 0.81894, 0.014924, 0.48283, 0.94304, 0.28129, 0.98222, 0.2592, 0.23068, 1.8263, 1.3608, 0.77505, 4.1193, -0.00027932, 2.174, -0.30214, 0.0099709, -0.15137, 1.5205, 2.048, 1.028, 0.45984, 0.39797, 3.1277, 2.8073, 0.82837, 6.0702, 0.0072896, 4.8948, 1.94, 0.019877, 1.117, 0.030812, 0.28842, 0.00019334, 0.0037197, 0.0025861, 0.15652, 0.19336, 0.00026273, 0.3517, 5.2936e-06, 0.68403, 0.46453, 9.067e-06, 0.14866, 0.58378, -0.81568, 0.96997, 0.17785, 0.21186, 0.31598, 0.18953, 0.55732, 1.8972, -0.0053972, -0.76839, -0.30438, -0.003738, -0.177, 1.8798, 3.145, 1.0402, 0.54119, 0.41679, 4.638, 3.9786, 1.0461, 8.2923, 0.012408, 7.8371, 1.9423, 0.033586, 1.1427, 0.1552, 1.4495, 0.0004559, 0.012198, 0.0038803, 1.7261, 1.3266, 0.022076, 3.7791, 2.9293e-05, 6.8429, 0.46639, 0.00012872, 0.16092
