calId,UniqueId,npts,folder
000,222,242,test_222
001,367,308,test_367
002,275,539,test_275
003,330,209,test_330
004,019,198,test_019
005,326,209,test_326
006,234,407,test_234
007,408,726,test_408
008,058,121,test_058
009,166,363,test_166
010,189,781,test_189
011,023,198,test_023
012,218,231,test_218
013,127,143,test_127
014,062,154,test_062
015,170,473,test_170
016,412,440,test_412
017,107,451,test_107
018,384,275,test_384
019,015,121,test_015
020,150,429,test_150
021,279,495,test_279
022,296,583,test_296
023,003,165,test_003
024,146,605,test_146
025,280,429,test_280
026,054,132,test_054
027,404,616,test_404
028,392,726,test_392
029,238,176,test_238
030,185,121,test_185
031,306,506,test_306
032,243,297,test_243
033,097,407,test_097
034,078,143,test_078
035,081,176,test_081
036,193,737,test_193
037,310,363,test_310
038,311,363,test_311
039,192,825,test_192
040,346,671,test_346
041,203,440,test_203
042,080,165,test_080
043,215,363,test_215
044,096,352,test_096
045,079,187,test_079
046,307,308,test_307
047,242,583,test_242
048,184,220,test_184
049,393,660,test_393
050,239,484,test_239
051,055,99,test_055
052,281,605,test_281
053,002,143,test_002
054,147,561,test_147
055,278,583,test_278
056,014,143,test_014
057,151,121,test_151
058,385,473,test_385
059,106,418,test_106
060,171,473,test_171
061,034,297,test_034
062,126,132,test_126
063,063,231,test_063
064,219,176,test_219
065,167,517,test_167
066,022,143,test_022
067,059,275,test_059
068,327,209,test_327
069,018,187,test_018
070,274,396,test_274
071,331,209,test_331
072,223,242,test_223
073,366,385,test_366
074,044,165,test_044
075,101,209,test_101
076,228,319,test_228
077,013,231,test_013
078,156,341,test_156
079,290,539,test_290
080,005,231,test_005
081,140,352,test_140
082,269,165,test_269
083,286,341,test_286
084,052,627,test_052
085,402,1386,test_402
086,117,154,test_117
087,394,583,test_394
088,029,341,test_029
089,183,220,test_183
090,300,693,test_300
091,245,110,test_245
092,357,759,test_357
093,212,484,test_212
094,068,99,test_068
095,341,165,test_341
096,204,462,test_204
097,195,825,test_195
098,316,1034,test_316
099,224,165,test_224
100,273,407,test_273
101,336,264,test_336
102,320,209,test_320
103,009,143,test_009
104,398,880,test_398
105,377,561,test_377
106,025,154,test_025
107,137,374,test_137
108,208,484,test_208
109,064,539,test_064
110,176,264,test_176
111,033,385,test_033
112,199,517,test_199
113,177,264,test_177
114,032,495,test_032
115,120,132,test_120
116,065,264,test_065
117,209,506,test_209
118,136,352,test_136
119,024,187,test_024
120,399,792,test_399
121,272,209,test_272
122,337,264,test_337
123,049,506,test_049
124,225,143,test_225
125,360,583,test_360
