GM_Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,44.58858650990719,139.43148281927373,184.20187330931918,181.63655910380942,161.510591648328,189.38547887559824,153.08439173448315,184.51994184947674,156.3348342177105,165.0852755800787,194.23499836468605,177.32431518846388,190.4690930370895,189.6518259007516,198.89685286737878,170.45568970659414,181.52034239063656,162.72194477320497,154.43533853256412,163.0907153248439,183.52281366208496,131.7472158760507,122.79404542588551,160.20293179102637,181.58487152893534,175.3719648087225,124.02880706680739,115.39314862107764,114.00064039757048,118.0030584234809,138.64743305023887,127.83384838425235,124.93966230783165,114.22024231980633,113.61554689682237,132.72756885592474,154.56441528516336,155.8986581364486,122.91911063192688,131.56553117794294,154.46585380208498,153.19902720320644,121.8181136134079,140.79965302304484,150.0431154573029,147.9450848192044,184.84484914452264,181.38545526348247,175.04286400248264,183.337272126319,188.75213482570004,173.9583857306787,184.35473733999328,111.9815006991001,170.6626168464977,155.52216971805555,176.30778810555898,161.9772797569201,184.78329816412844,163.0617110644823,115.78905201715322,114.53715937359257
1,47.13039718577998,171.49759881826898,128.8169541852443,128.65129408366508,83.2020573173833,69.29235636829719,153.8781643550945,124.01843719350072,140.13624964434152,85.13751386076513,65.92223781613738,236.3617169059888,132.4591170737432,132.08993294690254,67.44956700637175,130.05584942606046,133.6648564932058,155.6075894937355,139.98528834507744,132.21977222823563,126.16087504773101,121.81865917345313,112.96489369450357,159.53882260955035,124.75817932070655,117.56762348078938,115.77779195188273,110.92503903999773,103.28229139474847,111.58847541194186,130.47946721719245,104.74889918776769,115.10968187825452,113.02417830348855,138.92101857672475,136.76474499715275,137.13479151711638,146.666269968116,119.99097885349155,140.32640334615814,154.0643071828953,153.23613152753023,142.99843522819774,131.70611882764388,151.1670246318265,131.84131345977494,128.5270135979856,122.7499259240863,127.5268169617168,126.47711575533286,123.93462102511845,133.40840931291967,132.8921777768528,162.24491478568726,187.55911415824,214.05340302213042,245.89457698635348,328.86336219607534,331.7603116949608,317.5521034779016,164.72493344471263,142.35892747603313
2,89.07325229815905,121.5534747988647,85.6252105649261,96.50230857224791,128.02623616734797,143.5679951096758,111.1649099524033,97.16625259523538,97.83636659401287,128.17784630048195,149.2714717682807,92.16735077557735,86.90048917811178,100.25891303541694,152.94581078651944,50.242292150599155,97.47641665298835,100.78152143941462,117.06096196044037,96.37617859136583,85.20007275539176,119.11004060972567,107.7953570988281,109.98235903465921,84.98841931217042,90.83040281719398,121.96660593074107,100.20867930724766,111.5989246157821,122.348103361735,102.1427185241604,107.10116373677933,121.65989413692564,84.74380470275351,108.92941425033095,105.52364899455496,97.86839366986582,98.01481673962091,95.50642195311922,104.77346815347917,108.91678315188793,109.28309211657105,106.86887977739971,100.55229358954495,110.97040556884329,91.18221808200494,85.22245135078599,90.72932927683286,81.77925399770848,84.64324843152181,96.74438412345053,95.56873999921986,84.65741644925195,82.21490958286869,108.61703264055805,99.02840835369331,91.04133943627895,72.6642879411871,83.89979607251864,74.81359180607683,83.80711788337845,89.74071304537044
3,566.4779394059696,558.9077493483668,502.0764211250368,521.313285887843,604.7868211363891,564.7718348872131,534.7609139889923,520.3400436494182,534.0152427461991,613.9797533998869,563.7580132246211,456.12914737850616,513.8129529521013,530.5766151768738,567.6369963776664,313.03188136919243,534.7802869587023,540.9548619103583,538.0825248934065,467.9536193173782,502.8763373156219,548.2148313008997,563.941558257387,542.3788314669312,498.56726875020456,498.28018935297166,543.9518337211186,586.8832726842636,548.3388828968727,546.2787617612034,600.500356802443,607.148280534309,542.3437172620838,645.9939255371786,628.249877727203,592.0291032918848,528.8964604331209,531.8458563253829,629.07726003794,591.5053832705438,531.170610465896,530.0762392988408,573.8329485098271,611.1059343291419,529.8276008991913,459.2306178534276,503.85651897961657,511.1669458567298,483.5329122752245,501.8159840283892,524.3298251360972,537.2995726770043,499.58969772319637,453.9733825298774,455.6427287448373,443.57371302255103,435.40792197769736,394.45520453160646,405.2692161087479,384.70808631871034,468.4182733775625,464.5890161661706
4,285.4785186749789,196.79399370994997,117.3228251809643,114.88573295529488,168.50821515199198,165.87341379269125,145.02479455180872,117.04384102281307,130.11692223600636,169.2999180698465,166.57174735834937,129.55544995438044,120.27675062198836,114.96552621916457,165.8190106565613,122.37819847808325,118.12147713840318,144.36947295739404,141.4169744156482,121.23060184240424,117.77198589742531,134.7423615504666,145.27442276641403,149.4884474751511,116.62862586915247,117.37729260604615,136.5922822568739,148.96715042594792,139.53483593168454,137.82965854820168,158.52012040527012,137.1892665182287,136.05655147560174,170.5514772455213,202.82406536697002,174.51053413986548,126.80498781355875,136.8849707621232,163.81850231899512,179.52802010553958,144.014874768417,143.4211815864763,194.19473806432447,153.87164145853953,142.60756040099778,128.36519054697456,117.86996654188425,118.35470854659586,119.67995520002131,117.51766514744563,117.72965042340095,122.53291362177265,124.3038372919448,132.82063214440828,144.55974295504808,127.27234554295516,127.00858509908093,133.47077712873892,137.86941770979033,128.90344228917195,134.190816505794,153.6565991013913
5,245.08859600200267,365.44216956578117,183.6425926303139,190.05793708607553,360.1626868758877,296.2015524507433,235.82125352378858,186.04660888735071,205.72153460356574,357.94674148900856,288.32325200076303,257.63408583479134,190.29451442415453,192.38806774364375,286.08851724258625,138.1744750981039,197.91433021743214,223.8613248219489,256.0745101194044,205.76488558188473,183.67391441458565,279.73581442230045,304.4403604844998,243.0310806551808,184.588842090199,186.95653630084237,265.2039874139223,290.42087242197545,273.03510431318284,268.17936811360465,322.7134100295025,352.9400195745341,260.96996655847283,295.4112567879953,312.79928506010725,313.80038140323313,202.66803341883235,212.03539057791744,319.2974427536801,314.2121885413027,229.34718784631366,229.41189778852134,308.02182573669165,337.0085193855841,232.18773751373027,218.52299164791017,184.6323923573767,183.62625518515887,192.04417671803515,183.73375980814058,187.28046326657403,201.894317691242,189.51520000697892,286.96462902705184,224.33828977308139,256.1645847778722,260.1456084727391,220.86901153358636,210.90777389110644,224.55421618524286,286.7343752950182,266.79627137768114
6,174.53502737707277,307.2050706635167,145.0891992126689,148.42609827885568,189.70949236537453,213.44419771144732,124.16621287007615,151.5216994132677,130.72215078097707,187.5180218841112,215.16939875437984,132.71923899844322,145.77744913328291,149.31400542761276,218.15608681648413,87.48653158109835,144.85260100404784,117.12812365705125,129.0663509086949,119.96114164226957,147.18663258760438,131.25501564692513,132.60645647130323,123.17628790235447,146.75291787201138,150.4289570521778,129.71088875864947,130.98137018401175,126.09496216622341,128.77750719808716,160.49859695398604,190.64094992114602,129.18839204542707,137.67700070791346,157.47726096661341,152.39107162501668,132.51147103549323,119.0146534523709,136.27433170446133,150.25446594499113,121.89036465545496,122.1866229300051,155.8449760179511,173.53856857793798,123.73408983018982,115.50639402763963,146.012486364119,150.85773452347843,133.03636814674402,146.71493446104557,150.75284592981285,141.2593610857707,130.89333082535384,117.34764578665725,142.9347523219356,136.09386178438257,129.30752825572503,106.69210993139086,118.05421218592154,107.86287019218568,119.43241426640354,88.29040878993467
7,262.59811641394435,525.9275846502453,490.90438177756084,515.2421465226985,534.6131924958777,455.90033806686296,580.3517539185632,516.9949059096646,543.7732358709238,532.7199745242282,449.88037082312525,499.549073639934,510.4456442334773,535.0954656225813,451.3645279456472,573.3741666092649,542.0176214715975,571.8045381988428,604.6242452089634,448.55813101471574,492.00999285573636,628.2565182870447,641.2128370249563,593.6171004324751,485.8213731737641,483.96985335094905,602.350908516413,613.3387232585706,591.1672112800238,601.0614239968302,605.4875473126399,564.8143084681253,595.1170743730207,621.085798439006,659.8619666895299,635.0005169792131,534.1591832173949,549.5649837202855,653.2296733508038,647.014746192327,569.4848720534417,568.4775566099764,654.4307960055852,611.4336003549687,571.5328204598164,429.0219887634815,493.64716280971163,503.1981366368766,462.7829712351515,490.5808998976171,527.2653408425865,549.0713338212103,489.3413495510167,406.7719559166874,449.5183779387366,463.1350388906315,502.1334446991795,521.3548850551438,591.2522407082768,511.3860083146667,436.1803332256748,425.7392160320753
8,33.3416352420558,84.87122035267683,159.03364220020376,171.08765113191032,184.82082340552867,277.2520085097011,171.98502223712347,169.67964429814114,178.60244753748907,184.4266153650793,295.2131008925575,198.279643866647,164.01671044878344,176.9397977346818,305.32193488035443,116.07722686360765,179.98072750243978,182.81264680003025,174.4632081527611,162.47407980086325,158.0229406130507,175.1701269537646,196.10538996839665,179.16474323163027,155.80124823800708,157.80510043674042,171.91436835394327,194.7334429660579,182.38662486174323,176.54080326710297,300.3130389055654,277.2886734473823,169.12691988527345,209.58879092969937,269.89528059006136,292.3194915390441,175.48886275380855,176.57408546411398,207.53699440584515,295.6969534037909,171.1844958262569,170.1508608710534,287.0895418322388,307.9356258267716,168.55770996898886,165.408964618352,158.85367456866828,163.63159068514943,157.79644700862184,157.36024420597687,172.1459755097619,181.80339908952254,166.04906979483115,236.45209497688967,196.4833024215222,237.90018084322074,197.70502673041142,204.8284735171045,191.6437886626365,196.24285732974187,265.07193718616315,240.10124681252387
9,114.14589996705395,269.47769288746696,285.24520036297935,316.0140315627383,567.2729453689483,390.1772863743853,379.5633409504568,305.8440082415965,347.18823975803105,569.0102467181499,382.15572237316434,292.7471377762149,296.3778633824468,322.9900241766484,381.54530734029584,182.83537129814746,334.7695448685861,369.79058233369653,398.37109543790314,281.61326340906515,283.24810218567507,418.6296419229313,451.68981729226067,388.0939873908154,279.5948378133803,283.95005066023214,403.2209536137134,443.10310382879857,414.7726823536615,405.9351380376064,536.1620902677074,522.1054368773054,398.3495501769222,461.89242759794695,533.4110402893052,545.625321463667,340.685564925339,353.7105625133671,478.65167998972345,551.0430319648019,371.8565636976143,371.4752793071365,541.6208808661142,544.0541456949771,374.1461677365611,276.0746236180017,285.4465695828168,289.67645532980384,290.5536408505061,282.7437694478309,306.1972176757876,341.5622135244255,298.28594498006174,254.4092026833318,272.5213888685036,271.0295350143873,297.46052432714214,335.65580117262516,343.08810635726064,325.0134130249601,264.7774389192003,276.69531897706145
