ground_motion,scale_factor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
gm0,sf_0.5,0.016586,0.0320784,0.0521412,0.0709179,0.07271,0.059177,0.0554342,0.0632052,0.0704597,0.0681215,0.0614492,0.0536155,0.074776,0.0492293,0.0371198,0.0276024,0.0248051,0.0268092,0.0287875,0.0292563,0.0296712,0.0263059,0.0243556,0.0228847,0.0219891,0.0211341,0.0194723,0.0182307,0.0171022,0.016064,0.0156223,0.0156481,0.0157832,0.0160442,0.0163818,0.0166654,0.0170196,0.0174659,0.0181774,0.0186178,0.0191235,0.0197473,0.0208319,0.0215093,0.0223068,0.0232447,0.0248415,0.0260409,0.0272262,0.028436,0.0298982,0.0308936,0.0319593,0.0331099,0.0343039,0.0359558,0.0369231,0.0378232,0.0385934,0.0391976,0.0396792,0.0397806,0.0398682,0.0400183,0.0401353
gm0,sf_1.0,0.0322289,0.0559062,0.0881324,0.114791,0.125317,0.129574,0.133299,0.137554,0.139815,0.125779,0.111858,0.102102,0.127479,0.0908971,0.0693933,0.0526981,0.0448352,0.048499,0.0506204,0.0546677,0.0570511,0.0545806,0.0508234,0.0479612,0.0462352,0.044625,0.0414779,0.0390886,0.0369111,0.0349181,0.0326201,0.0312219,0.0300972,0.0306784,0.031427,0.0320372,0.0330248,0.034236,0.0362983,0.0374959,0.0387803,0.0402847,0.0428695,0.0445156,0.0464147,0.0485849,0.0523076,0.0551927,0.0580351,0.0608875,0.0642592,0.0665101,0.0688891,0.0714229,0.0740107,0.0775092,0.0794664,0.0812282,0.0827671,0.0840636,0.0849972,0.0852477,0.085552,0.0858936,0.0867467
gm0,sf_2.0,0.130518,0.260761,0.299303,0.312742,0.306266,0.287159,0.25896,0.245558,0.237261,0.217986,0.214049,0.203962,0.252334,0.179139,0.14214,0.130561,0.120922,0.11933,0.121103,0.126985,0.130548,0.118607,0.108733,0.101362,0.0961704,0.0935961,0.0918042,0.090184,0.0888833,0.0878806,0.086881,0.0863538,0.0862553,0.0866343,0.0873874,0.0881834,0.0892984,0.0908478,0.0933875,0.0950001,0.0969179,0.0993307,0.103666,0.106507,0.109901,0.113974,0.121052,0.126509,0.131936,0.137497,0.14429,0.148857,0.153631,0.158642,0.163715,0.170782,0.175069,0.179107,0.182578,0.185247,0.187408,0.188016,0.188759,0.189521,0.193975
gm0,sf_3.0,0.342951,0.588383,0.647974,0.685701,0.666794,0.622465,0.534231,0.492821,0.471713,0.412475,0.361086,0.303519,0.379167,0.268951,0.220182,0.194804,0.175577,0.166985,0.164616,0.159609,0.155679,0.135163,0.133431,0.133553,0.13321,0.131915,0.129455,0.130252,0.131086,0.13196,0.132887,0.133415,0.134353,0.135934,0.137928,0.141862,0.146374,0.151579,0.160154,0.16545,0.171237,0.177781,0.189379,0.197003,0.205446,0.21472,0.230476,0.242635,0.254566,0.266573,0.281082,0.290641,0.300466,0.310585,0.32074,0.334951,0.343382,0.351109,0.357673,0.362814,0.367671,0.369415,0.37125,0.372949,0.379515
gm1,sf_0.5,0.0214684,0.0401162,0.058328,0.071057,0.068921,0.0593395,0.0565712,0.0612806,0.0664888,0.0596955,0.0513425,0.0489608,0.0699457,0.048571,0.0386239,0.0300991,0.0269201,0.0297113,0.0296958,0.0285275,0.0280439,0.02405,0.0216166,0.0198831,0.0185348,0.0179337,0.0172409,0.0166647,0.0161573,0.0157176,0.015219,0.0149158,0.0147105,0.0145923,0.0146216,0.0147009,0.0148438,0.0150741,0.0154349,0.0156635,0.015952,0.0163325,0.017003,0.0174335,0.0179592,0.0185911,0.0196743,0.0205159,0.0213913,0.0223736,0.0235655,0.0243666,0.025216,0.0261317,0.0270827,0.0284193,0.0292223,0.0299674,0.0305862,0.0310484,0.0314607,0.031619,0.0318078,0.0320048,0.0325023
gm1,sf_1.0,0.0377349,0.0634254,0.0946605,0.115584,0.117889,0.107889,0.0968491,0.101705,0.107521,0.101584,0.0969485,0.0950295,0.120138,0.087272,0.0687169,0.0536946,0.0446389,0.0519927,0.0541788,0.0534188,0.0529785,0.045173,0.0410848,0.0401932,0.0398649,0.039336,0.0376645,0.0362969,0.0350654,0.0341576,0.0332215,0.0326592,0.0323086,0.0321595,0.0320073,0.0320274,0.032181,0.0325083,0.033021,0.0333545,0.0338088,0.0344498,0.0356061,0.0365465,0.037689,0.039046,0.041359,0.0431453,0.0449128,0.0467067,0.0488503,0.0502855,0.0518196,0.0534927,0.0552493,0.0577335,0.0592336,0.0606374,0.0618086,0.0626796,0.0634407,0.0637284,0.0640866,0.0644654,0.0654362
gm1,sf_2.0,0.114452,0.1776,0.201525,0.243725,0.250473,0.226851,0.180167,0.172614,0.175195,0.16106,0.159217,0.162707,0.206768,0.15809,0.134502,0.115503,0.103312,0.108033,0.110926,0.113263,0.114249,0.105788,0.0989812,0.0940431,0.091041,0.0882719,0.0839464,0.0808378,0.0781133,0.0757448,0.0731557,0.0716564,0.0706188,0.0702693,0.0703054,0.0705863,0.0711429,0.0720292,0.0734996,0.0744643,0.0756784,0.0772716,0.0801886,0.0821676,0.0850157,0.0883261,0.094065,0.0986095,0.103188,0.107901,0.113659,0.11751,0.121552,0.125792,0.130119,0.136209,0.139838,0.143166,0.145959,0.148096,0.150098,0.151032,0.152249,0.15339,0.157554
gm1,sf_3.0,0.210844,0.372113,0.415536,0.43071,0.400927,0.370444,0.351777,0.344618,0.341351,0.303584,0.286115,0.261272,0.316399,0.241994,0.217809,0.197182,0.179516,0.185342,0.18857,0.19182,0.193171,0.180016,0.169553,0.161476,0.155369,0.149734,0.141766,0.141513,0.142193,0.143019,0.144057,0.144787,0.146004,0.147994,0.150565,0.152716,0.155351,0.158608,0.163908,0.167225,0.171009,0.175886,0.184268,0.189547,0.195494,0.202201,0.213564,0.222437,0.231222,0.240093,0.250768,0.25788,0.266072,0.274775,0.28334,0.295036,0.301737,0.307813,0.313177,0.317668,0.321047,0.321318,0.326758,0.331278,0.3477
gm2,sf_0.5,0.0282801,0.0362535,0.0457253,0.0535298,0.0541484,0.0496253,0.0471225,0.0544652,0.0593229,0.055118,0.0508275,0.0543732,0.0685123,0.0563957,0.0489824,0.0416695,0.0376542,0.0372286,0.0368665,0.0363016,0.0358557,0.034758,0.0336049,0.032713,0.0318431,0.0311372,0.0302782,0.0295231,0.0287103,0.0278487,0.0266772,0.0258632,0.0251331,0.0244005,0.0234084,0.0227649,0.0221698,0.021653,0.0211216,0.0214509,0.021839,0.0223559,0.0232272,0.0237584,0.0244155,0.0252237,0.0265953,0.0276103,0.0286179,0.0296504,0.0308846,0.0317225,0.0326639,0.034007,0.0353925,0.0373404,0.0384958,0.0395666,0.0404745,0.0411915,0.0418629,0.0420691,0.0422683,0.0424956,0.0430652
gm2,sf_1.0,0.0506166,0.0719588,0.0966884,0.106935,0.114452,0.102831,0.0949175,0.103106,0.10976,0.101946,0.0937661,0.0999141,0.127516,0.0957743,0.0796458,0.0677613,0.0584541,0.0585126,0.0606779,0.0623321,0.0623838,0.058203,0.0570126,0.0560651,0.0555027,0.0550147,0.0535664,0.0520222,0.0504079,0.0487481,0.0465814,0.0451593,0.0439561,0.0428419,0.0414349,0.0409331,0.0407763,0.0407603,0.0405553,0.0403651,0.0413678,0.0431003,0.046058,0.0479097,0.0500454,0.0525082,0.056711,0.0599582,0.063178,0.0666876,0.0710309,0.0739444,0.076991,0.0801899,0.0834148,0.0878448,0.0904582,0.0928815,0.0949587,0.0965779,0.0978815,0.0981173,0.0982362,0.0984935,0.0986331
