ground_motion,scale_factor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
gm0,sf_0.5,0.0437349,0.0891162,0.146098,0.186078,0.18745,0.162118,0.147437,0.159927,0.174412,0.169134,0.160605,0.163015,0.228618,0.166455,0.133695,0.102213,0.0932039,0.119947,0.141572,0.166332,0.185394,0.169412,0.153974,0.150188,0.16721,0.191014,0.256326,0.255262,0.260285,0.253941,0.203509,0.157722,0.130156,0.146818,0.147136,0.156186,0.165018,0.187777,0.189737,0.177025,0.156793,0.150634,0.125753,0.126117,0.131571,0.148992,0.180255,0.182716,0.200943,0.204424,0.168476,0.145722,0.118378,0.13293,0.177683,0.230457,0.236748,0.254979,0.315785,0.364905,0.322237,0.266876,0.206461,0.173146,0.0742834
gm0,sf_1.0,0.0814447,0.117047,0.207424,0.288833,0.313718,0.288882,0.297182,0.307359,0.313822,0.286026,0.261392,0.292103,0.407794,0.294348,0.232755,0.177944,0.162953,0.207752,0.245811,0.284861,0.308114,0.277493,0.26297,0.259771,0.288885,0.327993,0.370762,0.349246,0.319593,0.320159,0.27123,0.223747,0.205761,0.230187,0.244233,0.267579,0.289581,0.331095,0.326966,0.303066,0.303591,0.327381,0.316018,0.281819,0.259215,0.269814,0.365198,0.374787,0.372568,0.343019,0.260446,0.25669,0.240133,0.290311,0.359765,0.537539,0.63562,0.707228,0.773836,0.778353,0.653013,0.542064,0.424579,0.357616,0.147257
gm0,sf_2.0,0.274788,0.600781,0.699395,0.766391,0.764948,0.728779,0.67083,0.64011,0.621541,0.546064,0.52709,0.527286,0.673157,0.479167,0.379135,0.309493,0.318548,0.398182,0.47723,0.600897,0.700569,0.704542,0.663807,0.636404,0.713252,0.82348,1.0206,1.04159,1.03917,1.00475,0.908537,0.794414,0.700082,0.650411,0.543745,0.602713,0.63739,0.694516,0.602629,0.550611,0.531252,0.584079,0.634314,0.632163,0.647539,0.715969,0.858954,0.893598,0.945195,0.95504,0.85332,0.786663,0.690107,0.72879,0.886781,1.0664,1.27172,1.48204,1.65044,1.71775,1.36597,1.0589,0.746052,0.563229,0.21291
gm0,sf_3.0,0.640003,1.28551,1.412,1.48339,1.46088,1.42727,1.2922,1.21215,1.16404,1.02018,0.902875,0.830923,1.05243,0.755767,0.624992,0.551877,0.527207,0.636977,0.69475,0.736895,0.778039,0.793465,0.792882,0.824242,0.997154,1.19231,1.53485,1.61183,1.65023,1.6326,1.53333,1.3781,1.2446,1.18189,1.01093,0.982341,0.937452,0.96672,0.951584,0.972154,0.966172,1.04241,1.10245,1.09229,1.11709,1.23395,1.52628,1.61582,1.62078,1.5266,1.47697,1.49478,1.45505,1.58604,1.76159,1.93679,1.96534,1.90703,1.92154,1.98623,1.69985,1.42205,1.12348,0.951193,0.435486
gm1,sf_0.5,0.045772,0.104273,0.150987,0.182484,0.179795,0.155587,0.151031,0.16665,0.185144,0.176054,0.162159,0.162985,0.225092,0.166445,0.134655,0.103754,0.0972216,0.118553,0.128202,0.134632,0.144229,0.129426,0.117426,0.112974,0.121461,0.130975,0.141314,0.129159,0.116965,0.109454,0.0973326,0.0879406,0.0960352,0.115001,0.121151,0.12991,0.136546,0.153726,0.154002,0.145592,0.131824,0.129903,0.109798,0.0938298,0.085616,0.0906492,0.109914,0.111555,0.110583,0.112085,0.116329,0.119884,0.119322,0.128185,0.140399,0.155614,0.181399,0.224451,0.257279,0.271563,0.210929,0.166181,0.135017,0.1261,0.0745213
gm1,sf_1.0,0.0714466,0.141913,0.202776,0.244656,0.250125,0.22772,0.201605,0.216166,0.229538,0.222738,0.216687,0.223289,0.307735,0.22441,0.202366,0.184489,0.202069,0.252287,0.285047,0.311986,0.334586,0.290887,0.258254,0.234866,0.231062,0.225821,0.223076,0.205692,0.184595,0.174382,0.164492,0.159602,0.180374,0.218082,0.236168,0.258809,0.275877,0.309437,0.307417,0.287208,0.253341,0.23997,0.192347,0.166147,0.183132,0.218868,0.279516,0.280265,0.284119,0.278119,0.281973,0.288202,0.283199,0.299958,0.372782,0.551456,0.640642,0.704945,0.728287,0.703342,0.513464,0.402724,0.299809,0.274457,0.151734
gm1,sf_2.0,0.218523,0.45617,0.51591,0.566764,0.581377,0.533461,0.444138,0.433391,0.447558,0.426028,0.4201,0.440909,0.585375,0.479807,0.454864,0.416873,0.410529,0.461635,0.485761,0.514694,0.549558,0.493439,0.462416,0.457782,0.566223,0.676049,0.886151,0.939219,0.968119,0.950609,0.849226,0.740089,0.658672,0.633301,0.552352,0.54412,0.536716,0.571993,0.559845,0.531391,0.485508,0.501813,0.509463,0.503486,0.519977,0.62615,0.873502,0.920657,0.916209,0.877107,0.771137,0.735289,0.740305,0.861613,1.02996,1.36361,1.55023,1.8162,2.08203,2.21896,1.88037,1.54991,1.19693,0.990328,0.409297
gm1,sf_3.0,0.476245,0.872775,0.948008,1.00912,0.995142,0.928357,0.806282,0.801944,0.807425,0.771941,0.768355,0.768326,0.981118,0.78711,0.740738,0.68114,0.650691,0.712793,0.742326,0.782705,0.844707,0.829792,0.78772,0.832239,1.00382,1.15197,1.38308,1.40916,1.43338,1.41041,1.31581,1.18791,1.08597,1.05804,0.958971,0.973571,0.969727,1.03269,1.0042,0.968703,0.903588,0.924669,0.96994,0.965712,0.994374,1.09829,1.28147,1.28778,1.26519,1.27094,1.30025,1.35227,1.38585,1.56503,1.99797,2.86311,3.33033,3.68215,3.84712,3.81775,3.0254,2.42679,1.83001,1.48245,0.59492
gm2,sf_0.5,0.0363898,0.0555117,0.0718036,0.0907246,0.0922028,0.0815078,0.0760002,0.0842991,0.0915759,0.0879265,0.0827424,0.0933611,0.137414,0.101139,0.0768056,0.0562893,0.0416171,0.0476985,0.0551784,0.0644771,0.0719794,0.0718077,0.0745699,0.0937116,0.128744,0.16158,0.205721,0.193917,0.17331,0.150157,0.118245,0.100856,0.0914081,0.0926654,0.0889724,0.0942133,0.0998813,0.113828,0.113566,0.105377,0.0926304,0.0880986,0.0853649,0.0823802,0.0865784,0.105184,0.157577,0.160826,0.148057,0.131216,0.11194,0.107662,0.103532,0.111581,0.125747,0.150725,0.160046,0.162126,0.155404,0.153731,0.137063,0.123211,0.102111,0.0905354,0.0440396
gm2,sf_1.0,0.0670871,0.125044,0.175934,0.226315,0.230784,0.210047,0.202573,0.230548,0.250963,0.230294,0.201985,0.218146,0.29032,0.207533,0.152839,0.115617,0.0897989,0.107651,0.119988,0.13127,0.13789,0.134175,0.139591,0.155152,0.1881,0.223929,0.326222,0.328794,0.308482,0.26853,0.204139,0.169443,0.151008,0.164442,0.172629,0.187569,0.205828,0.249439,0.251447,0.225384,0.184091,0.172251,0.153262,0.137092,0.136617,0.169306,0.267963,0.293134,0.286265,0.249915,0.199702,0.187598,0.172096,0.173165,0.194329,0.211625,0.284915,0.367735,0.427433,0.444417,0.315494,0.228658,0.176684,0.150165,0.0701429
