id,Longitude,Latitude,segment,structure_id,structure_code,pier_id,description,lines,GirderLength,FoundationType,NumberOfColumns,ColumnData,MinError,FailureMode
1000,-122.463645,37.682899,"[colm,sosf]",as_18,camino_real_bridge,p_001,aerial between colma and south san francisco,"[red,yellow]",50.0,slab,2,"[{'column_id': 'col_01', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 92.0, 'nLongBars': 86.0, 'dLongBars': 1.375, 'sTranBars': 3.0, 'dTranBars': 1.0, 'axLoad': 0.1, 'height': 219.60000000000002, 'column_parameters': {'nd_params': {'a0': 2.3869565217391306, 'a1': 0.28815054938563334, 'a2': 0.08536936558667917, 'a3': 0.1, 'a4': 0.36363636363636365, 'a5': 0.5387969662111571}, 'strength_stiffness': {'strength': 407865.2739525194, 'stiffness': 865934380.0472833, 'E': 3604.9965325919525, 'I': 3516585.719092885}}, 'model_parameters': [0.9136923143401414, 0.9582469890901217, 1.2705097950354114, 0.4041924117796881, 0.4044949057314797, 1.8733314489996702, 1.2775912094451134, 0.745178150942056, 0.010466640342937776, 5.3063834948629145, 0.6166584442557667, 0.006308650118584263, 4.937064514540828, 0.464554584494808], 'min_error': 0.048908510553427084, 'failure_mode': 'Flexure'}, {'column_id': 'col_02', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 92.0, 'nLongBars': 86.0, 'dLongBars': 1.375, 'sTranBars': 3.0, 'dTranBars': 1.0, 'axLoad': 0.1, 'height': 219.60000000000002, 'column_parameters': {'nd_params': {'a0': 2.3869565217391306, 'a1': 0.28815054938563334, 'a2': 0.08536936558667917, 'a3': 0.1, 'a4': 0.36363636363636365, 'a5': 0.5387969662111571}, 'strength_stiffness': {'strength': 407865.2739525194, 'stiffness': 865934380.0472833, 'E': 3604.9965325919525, 'I': 3516585.719092885}}, 'model_parameters': [0.9136923143401414, 0.9582469890901217, 1.2705097950354114, 0.4041924117796881, 0.4044949057314797, 1.8733314489996702, 1.2775912094451134, 0.745178150942056, 0.010466640342937776, 5.3063834948629145, 0.6166584442557667, 0.006308650118584263, 4.937064514540828, 0.464554584494808], 'min_error': 0.048908510553427084, 'failure_mode': 'Flexure'}]",0.048908510553427084,Flexure
1001,-122.463302,37.682658,"[colm,sosf]",as_18,camino_real_bridge,p_002,aerial between colma and south san francisco,"[red,yellow]",50.0,slab,2,"[{'column_id': 'col_01', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 92.0, 'nLongBars': 86.0, 'dLongBars': 1.375, 'sTranBars': 3.0, 'dTranBars': 1.0, 'axLoad': 0.1, 'height': 219.60000000000002, 'column_parameters': {'nd_params': {'a0': 2.3869565217391306, 'a1': 0.28815054938563334, 'a2': 0.08536936558667917, 'a3': 0.1, 'a4': 0.36363636363636365, 'a5': 0.5387969662111571}, 'strength_stiffness': {'strength': 407865.2739525194, 'stiffness': 865934380.0472833, 'E': 3604.9965325919525, 'I': 3516585.719092885}}, 'model_parameters': [0.9136923143401414, 0.9582469890901217, 1.2705097950354114, 0.4041924117796881, 0.4044949057314797, 1.8733314489996702, 1.2775912094451134, 0.745178150942056, 0.010466640342937776, 5.3063834948629145, 0.6166584442557667, 0.006308650118584263, 4.937064514540828, 0.464554584494808], 'min_error': 0.048908510553427084, 'failure_mode': 'Flexure'}, {'column_id': 'col_02', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 92.0, 'nLongBars': 86.0, 'dLongBars': 1.375, 'sTranBars': 3.0, 'dTranBars': 1.0, 'axLoad': 0.1, 'height': 219.60000000000002, 'column_parameters': {'nd_params': {'a0': 2.3869565217391306, 'a1': 0.28815054938563334, 'a2': 0.08536936558667917, 'a3': 0.1, 'a4': 0.36363636363636365, 'a5': 0.5387969662111571}, 'strength_stiffness': {'strength': 407865.2739525194, 'stiffness': 865934380.0472833, 'E': 3604.9965325919525, 'I': 3516585.719092885}}, 'model_parameters': [0.9136923143401414, 0.9582469890901217, 1.2705097950354114, 0.4041924117796881, 0.4044949057314797, 1.8733314489996702, 1.2775912094451134, 0.745178150942056, 0.010466640342937776, 5.3063834948629145, 0.6166584442557667, 0.006308650118584263, 4.937064514540828, 0.464554584494808], 'min_error': 0.048908510553427084, 'failure_mode': 'Flexure'}]",0.048908510553427084,Flexure
1002,-122.46955178457372,37.7052105220115,daly,st_19,daly_city_station,p_001,daly city station,"[red,yellow,green,blue]",37.5,footings,2,"[{'column_id': 'col_01', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 96.0, 'nLongBars': 44.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 1.875, 'a1': 0.36254882812499994, 'a2': 0.03834951969714103, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 1.3017557676130294}, 'strength_stiffness': {'strength': 426889.784886803, 'stiffness': 1252502023.4596515, 'E': 3604.9965325919525, 'I': 4169220.1769496286}}, 'model_parameters': [0.3298589391649608, 1.0203160064432752, 1.4118321412886419, 0.2436205923935987, 0.270677337224913, 2.2873183486639403, 2.450012970182836, 0.7403084912049201, 0.00838620969645954, 4.486530016540271, 0.8275647681854214, 0.01798630346045186, 3.762109610062719, 0.8596742220288494], 'min_error': 0.05715432775592995, 'failure_mode': 'Shear'}, {'column_id': 'col_02', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 96.0, 'nLongBars': 44.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 1.875, 'a1': 0.36254882812499994, 'a2': 0.03834951969714103, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 1.3017557676130294}, 'strength_stiffness': {'strength': 426889.784886803, 'stiffness': 1252502023.4596515, 'E': 3604.9965325919525, 'I': 4169220.1769496286}}, 'model_parameters': [0.3298589391649608, 1.0203160064432752, 1.4118321412886419, 0.2436205923935987, 0.270677337224913, 2.2873183486639403, 2.450012970182836, 0.7403084912049201, 0.00838620969645954, 4.486530016540271, 0.8275647681854214, 0.01798630346045186, 3.762109610062719, 0.8596742220288494], 'min_error': 0.05715432775592995, 'failure_mode': 'Shear'}]",0.05715432775592995,Shear
1003,-122.46941448490328,37.705385290219155,daly,st_19,daly_city_station,p_002,daly city station,"[red,yellow,green,blue]",75.0,footings,2,"[{'column_id': 'col_01', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 24.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.35156250000000006, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.8768506199792933}, 'strength_stiffness': {'strength': 228688.8099252835, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.7994326738191235, 0.975763507667111, 1.0646632554890203, 0.39350461395362096, 0.367614655433176, 2.5794725407405985, 1.4286231033677033, 0.685908159686834, 0.013496444074753701, 4.702780823244735, 0.536800943339403, 0.009909335378853662, 5.1126966168886145, 0.5441417277857928], 'min_error': 0.049511238990050735, 'failure_mode': 'Flexure'}, {'column_id': 'col_02', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 24.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.35156250000000006, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.8768506199792933}, 'strength_stiffness': {'strength': 228688.8099252835, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.7994326738191235, 0.975763507667111, 1.0646632554890203, 0.39350461395362096, 0.367614655433176, 2.5794725407405985, 1.4286231033677033, 0.685908159686834, 0.013496444074753701, 4.702780823244735, 0.536800943339403, 0.009909335378853662, 5.1126966168886145, 0.5441417277857928], 'min_error': 0.049511238990050735, 'failure_mode': 'Flexure'}]",0.049511238990050735,Flexure
1004,-122.46927299881762,37.70555788671228,daly,st_19,daly_city_station,p_003,daly city station,"[red,yellow,green,blue]",75.0,footings,2,"[{'column_id': 'col_01', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 28.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.41015625, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.9944294508029663}, 'strength_stiffness': {'strength': 259354.19611627123, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.35110768331671505, 1.0006182718597203, 1.488016393012534, 0.26582711154447325, 0.27771305340310437, 1.5838409731867726, 1.8798601902515548, 0.7509016567724812, 0.010093286521645178, 4.958885406690559, 0.8562793183949711, 0.014535871716075604, 3.830993396346073, 0.8140850890136963], 'min_error': 0.05886962747807474, 'failure_mode': 'Shear'}, {'column_id': 'col_02', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 28.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.41015625, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.9944294508029663}, 'strength_stiffness': {'strength': 259354.19611627123, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.35110768331671505, 1.0006182718597203, 1.488016393012534, 0.26582711154447325, 0.27771305340310437, 1.5838409731867726, 1.8798601902515548, 0.7509016567724812, 0.010093286521645178, 4.958885406690559, 0.8562793183949711, 0.014535871716075604, 3.830993396346073, 0.8140850890136963], 'min_error': 0.05886962747807474, 'failure_mode': 'Shear'}]",0.05886962747807474,Shear
1005,-122.46913151567655,37.70573048846456,daly,st_19,daly_city_station,p_004,daly city station,"[red,yellow,green,blue]",75.0,footings,2,"[{'column_id': 'col_01', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 28.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.41015625, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.9944294508029663}, 'strength_stiffness': {'strength': 259354.19611627123, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.35110768331671505, 1.0006182718597203, 1.488016393012534, 0.26582711154447325, 0.27771305340310437, 1.5838409731867726, 1.8798601902515548, 0.7509016567724812, 0.010093286521645178, 4.958885406690559, 0.8562793183949711, 0.014535871716075604, 3.830993396346073, 0.8140850890136963], 'min_error': 0.05886962747807474, 'failure_mode': 'Shear'}, {'column_id': 'col_02', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 28.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.41015625, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.9944294508029663}, 'strength_stiffness': {'strength': 259354.19611627123, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.35110768331671505, 1.0006182718597203, 1.488016393012534, 0.26582711154447325, 0.27771305340310437, 1.5838409731867726, 1.8798601902515548, 0.7509016567724812, 0.010093286521645178, 4.958885406690559, 0.8562793183949711, 0.014535871716075604, 3.830993396346073, 0.8140850890136963], 'min_error': 0.05886962747807474, 'failure_mode': 'Shear'}]",0.05886962747807474,Shear
1006,-122.46899002842262,37.70590309010004,daly,st_19,daly_city_station,p_005,daly city station,"[red,yellow,green,blue]",75.0,footings,2,"[{'column_id': 'col_01', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 24.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.35156250000000006, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.8768506199792933}, 'strength_stiffness': {'strength': 228688.8099252835, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.7994326738191235, 0.975763507667111, 1.0646632554890203, 0.39350461395362096, 0.367614655433176, 2.5794725407405985, 1.4286231033677033, 0.685908159686834, 0.013496444074753701, 4.702780823244735, 0.536800943339403, 0.009909335378853662, 5.1126966168886145, 0.5441417277857928], 'min_error': 0.049511238990050735, 'failure_mode': 'Flexure'}, {'column_id': 'col_02', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 24.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.35156250000000006, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.8768506199792933}, 'strength_stiffness': {'strength': 228688.8099252835, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.7994326738191235, 0.975763507667111, 1.0646632554890203, 0.39350461395362096, 0.367614655433176, 2.5794725407405985, 1.4286231033677033, 0.685908159686834, 0.013496444074753701, 4.702780823244735, 0.536800943339403, 0.009909335378853662, 5.1126966168886145, 0.5441417277857928], 'min_error': 0.049511238990050735, 'failure_mode': 'Flexure'}]",0.049511238990050735,Flexure
1007,-122.46884854389509,37.70607568875733,daly,st_19,daly_city_station,p_006,daly city station,"[red,yellow,green,blue]",75.0,footings,2,"[{'column_id': 'col_01', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 24.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.35156250000000006, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.8768506199792933}, 'strength_stiffness': {'strength': 228688.8099252835, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.7994326738191235, 0.975763507667111, 1.0646632554890203, 0.39350461395362096, 0.367614655433176, 2.5794725407405985, 1.4286231033677033, 0.685908159686834, 0.013496444074753701, 4.702780823244735, 0.536800943339403, 0.009909335378853662, 5.1126966168886145, 0.5441417277857928], 'min_error': 0.049511238990050735, 'failure_mode': 'Flexure'}, {'column_id': 'col_02', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 24.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.35156250000000006, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.8768506199792933}, 'strength_stiffness': {'strength': 228688.8099252835, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.7994326738191235, 0.975763507667111, 1.0646632554890203, 0.39350461395362096, 0.367614655433176, 2.5794725407405985, 1.4286231033677033, 0.685908159686834, 0.013496444074753701, 4.702780823244735, 0.536800943339403, 0.009909335378853662, 5.1126966168886145, 0.5441417277857928], 'min_error': 0.049511238990050735, 'failure_mode': 'Flexure'}]",0.049511238990050735,Flexure
1008,-122.4687070553274,37.706248290043625,daly,st_19,daly_city_station,p_007,daly city station,"[red,yellow,green,blue]",75.0,footings,2,"[{'column_id': 'col_01', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 24.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.35156250000000006, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.8768506199792933}, 'strength_stiffness': {'strength': 228688.8099252835, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.7994326738191235, 0.975763507667111, 1.0646632554890203, 0.39350461395362096, 0.367614655433176, 2.5794725407405985, 1.4286231033677033, 0.685908159686834, 0.013496444074753701, 4.702780823244735, 0.536800943339403, 0.009909335378853662, 5.1126966168886145, 0.5441417277857928], 'min_error': 0.049511238990050735, 'failure_mode': 'Flexure'}, {'column_id': 'col_02', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 24.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.35156250000000006, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.8768506199792933}, 'strength_stiffness': {'strength': 228688.8099252835, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.7994326738191235, 0.975763507667111, 1.0646632554890203, 0.39350461395362096, 0.367614655433176, 2.5794725407405985, 1.4286231033677033, 0.685908159686834, 0.013496444074753701, 4.702780823244735, 0.536800943339403, 0.009909335378853662, 5.1126966168886145, 0.5441417277857928], 'min_error': 0.049511238990050735, 'failure_mode': 'Flexure'}]",0.049511238990050735,Flexure
1009,-122.46856556955883,37.70642089109751,daly,st_19,daly_city_station,p_008,daly city station,"[red,yellow,green,blue]",75.0,footings,2,"[{'column_id': 'col_01', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 28.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.41015625, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.9944294508029663}, 'strength_stiffness': {'strength': 259354.19611627123, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.35110768331671505, 1.0006182718597203, 1.488016393012534, 0.26582711154447325, 0.27771305340310437, 1.5838409731867726, 1.8798601902515548, 0.7509016567724812, 0.010093286521645178, 4.958885406690559, 0.8562793183949711, 0.014535871716075604, 3.830993396346073, 0.8140850890136963], 'min_error': 0.05886962747807474, 'failure_mode': 'Shear'}, {'column_id': 'col_02', 'type': 'spiral', 'fy': 60, 'fpc': 4.0, 'diameter': 72.0, 'nLongBars': 28.0, 'dLongBars': 2.25, 'sTranBars': 2.5, 'dTranBars': 0.625, 'axLoad': 0.1, 'height': 180.0, 'column_parameters': {'nd_params': {'a0': 2.5, 'a1': 0.41015625, 'a2': 0.05113269292952138, 'a3': 0.1, 'a4': 0.18518518518518517, 'a5': 0.9944294508029663}, 'strength_stiffness': {'strength': 259354.19611627123, 'stiffness': 396299468.36028033, 'E': 3604.9965325919525, 'I': 1319167.3216129686}}, 'model_parameters': [0.35110768331671505, 1.0006182718597203, 1.488016393012534, 0.26582711154447325, 0.27771305340310437, 1.5838409731867726, 1.8798601902515548, 0.7509016567724812, 0.010093286521645178, 4.958885406690559, 0.8562793183949711, 0.014535871716075604, 3.830993396346073, 0.8140850890136963], 'min_error': 0.05886962747807474, 'failure_mode': 'Shear'}]",0.05886962747807474,Shear
