Target Displacement,Load Factor Lambda
0.0,0.0
0.0075000000000000015,0.0008333318247298698
0.015000000000000003,0.0016669195401387755
0.022500000000000006,0.0025004995843041066
0.030000000000000006,0.003334068845178457
0.037500000000000006,0.004167624208154675
0.030000000000000006,0.0033340315184783318
0.022500000000000006,0.002501218073991159
0.015000000000000006,0.0016684046350814296
0.007500000000000007,0.0008355912017480251
6.938893903907228e-18,2.777773989500488e-06
-0.007499999999999993,-0.0008300341531077939
-0.014999999999999993,-0.00166336033365938
-0.022499999999999992,-0.0024966785892456453
-0.03,-0.0033299859008552235
-0.037500000000000006,-0.004163279248712375
-0.030000000000000006,-0.00332994858615054
-0.022500000000000006,-0.0024971387973519864
-0.015000000000000006,-0.0016643290197097791
-0.007500000000000007,-0.0008315192532212775
0.0,1.2905021135372363e-06
0.0075000000000000015,0.0008340995433018565
0.015000000000000003,0.0016674245515739161
0.022500000000000006,0.0025007418435429108
0.030000000000000006,0.003334048402639675
0.037500000000000006,0.004167341211523792
0.04500000000000001,0.005000617252127345
0.05250000000000001,0.005833873505698712
0.06000000000000001,0.006667106194989457
0.06750000000000002,0.00750031219542343
0.07500000000000001,0.00833348838008178
0.0675,0.0075001621574508955
0.06,0.006667354767593274
0.05249999999999999,0.00583454741083522
0.044999999999999984,0.00500174008717712
0.03749999999999998,0.004168932796617433
0.02999999999999997,0.0033361255391526853
0.022499999999999964,0.0025033183147774576
0.014999999999999958,0.0016705111234843748
0.007499999999999951,0.0008377039652640964
-5.551115123125783e-17,4.896840105304805e-06
-0.007500000000000062,-0.0008279087642194484
-0.015000000000000069,-0.0016612272668089264
-0.022500000000000075,-0.0024945380498215277
-0.030000000000000082,-0.0033278380967765578
-0.03750000000000009,-0.004161124390423991
-0.045000000000000095,-0.004994393912788228
-0.0525000000000001,-0.005827643645211896
-0.06000000000000011,-0.006660870094239766
-0.06750000000000012,-0.007494070235141895
-0.07500000000000001,-0.00832724104265679
-0.0675,-0.007493919544166652
-0.06,-0.006661116298824272
-0.05249999999999999,-0.005828313098407008
-0.044999999999999984,-0.004995509942915963
-0.03749999999999998,-0.004162706832349671
-0.02999999999999997,-0.0033299037667040917
-0.022499999999999964,-0.0024971007459725896
-0.014999999999999958,-0.0016642977701459242
-0.007499999999999951,-0.0008314948392122341
0.0,1.308046839603299e-06
0.0075000000000000015,0.0008341101959628704
0.015000000000000003,0.0016674282660206162
0.022500000000000006,0.002500738581875392
0.030000000000000006,0.0033340381270533016
0.037500000000000006,0.0041673238843125465
0.04500000000000001,0.005000592835687184
0.05250000000000001,0.005833841962530929
0.06000000000000001,0.006667068245561017
0.06750000000000002,0.007500268664902095
0.07500000000000001,0.008333440200130169
0.08250000000000002,0.00916657983031659
0.09000000000000002,0.009999684534072076
0.09750000000000002,0.010832749769272513
0.10500000000000002,0.01166577239708517
0.11250000000000002,0.012498749276564861
0.10500000000000001,0.011665433104981637
0.0975,0.010832634827578345
0.09,0.009999836634136559
0.08249999999999999,0.009167038524681129
0.07499999999999998,0.008334240499232204
0.06749999999999998,0.007501442557805208
0.05999999999999997,0.006668644700410805
0.05249999999999996,0.005835846927054881
0.04499999999999996,0.005003049237738506
0.03749999999999995,0.004170251632457909
0.029999999999999943,0.0033374541112044563
0.022499999999999937,0.00250465667396462
0.01499999999999993,0.0016718593207199518
0.007499999999999923,0.0008390620514470595
-8.326672684688674e-17,6.264866117580182e-06
-0.00750000000000009,-0.0008265307522621693
-0.015000000000000097,-0.0016598383494040936
-0.022500000000000103,-0.0024931381746021303
-0.03000000000000011,-0.003326427211525182
-0.03750000000000012,-0.004159702443077814
-0.04500000000000012,-0.004992960851444021
-0.05250000000000013,-0.005826199418131038
-0.06000000000000014,-0.006659415124013209
-0.06750000000000014,-0.007492604949375879
-0.07500000000000015,-0.008325765873959357
-0.08250000000000016,-0.009158894877002895
-0.09000000000000016,-0.009991988937288723
