name,test_or_train,type,rmse_cal,rmse_sur,energy_cal,energy_sur,stiff_cal,stiff_sur,a1,a2,a3,a4,a5,a6
"Davey 1975, No. 2",test,Flexure,0.003016470460847686,0.00304091795537071,0.0033713709333795952,0.0034424869720106445,0.9512271783048449,1.0138033965561666,0.1818181818181818,0.3042960963855421,0.0018796768104396,0.0582928948192002,0.6,0.4294391247424021
"Davey 1975, No. 3",train,Flexure,0.0037877776248067072,0.005232133986287615,0.0010136916319022457,0.0028686752584540396,1.0368849557752435,1.071995596314281,0.2857142857142857,0.2887488735632184,0.0017932548881206,0.0556127617240645,0.6,0.5283890120372289
"Munro et al. 1976, No. 1",train,Flexure,0.0019406793909471825,0.0025670333353396144,0.005664065694794142,0.011965214930193046,0.9498467897238061,0.9510882887792115,0.1538461538461538,0.2988943905325443,0.0020238395517046,0.0572581097040664,0.6,0.3690104172266724
"Ng et al. 1978, No. 2",train,Flexure,0.003296734862209935,0.0037102759121697784,0.02663587578774591,0.013202310886308672,1.0215151407588012,1.0797087634882223,0.1831501831501831,0.2065215999999999,0.0029465210221776,0.0033613523981008,1.411764705882353,0.1156145884961405
"Ng et al. 1978, No. 3",test,Flexure,0.0014808525167843876,0.0029609532486191245,0.007252599620471048,0.0290305545368199,0.9481252012995095,0.8849004737114243,0.1865671641791045,0.2349629629629629,0.0027807489752459,0.0098086601964782,1.885714285714286,0.1238099146272454
"Ang et al. 1981, No. 1",test,Flexure,0.0014877354514333768,0.002050323882131148,0.00201307325667539,0.006985102698787628,0.9338816906536884,0.9125010508873321,0.2688172043010752,0.2052654545454545,0.0022001361114452,0.33953054526271,2.58,0.3196310056969385
"Ang et al 1981, No. 2",test,Flexure,0.0018684343214570385,0.002406592077134879,0.001767511830356572,0.002541317999013213,0.9603711755461182,0.9945870207070948,0.25,0.3032615384615384,0.0031490839028646,0.2081256948124785,0.9,0.4167943111218409
"Potangaroa et al. 1979, No. 1",test,Flexure,0.0020002602206724723,0.002576675107698678,0.0078066409078380635,0.009112258053358586,0.8853042278351251,0.9549479794635101,0.25,0.276659649122807,0.0074149871720721,0.5894317278368264,1.0909090909090908,0.3531504200562992
"Potangaroa et al. 1979, No. 4",test,Flexure,0.002111050794143776,0.0026623070376191227,0.0010808065350453228,0.011540595362246059,0.9618527722183495,0.95401921684177,0.5,0.2916090225563909,0.0037283290871807,0.5717345491187551,1.2,0.5394903375974002
"Potangaroa et al. 1979, No. 5A",train,Flexure,0.001854314677218686,0.0026893710595480747,0.0016280796925612754,0.002861286896498482,0.934684529685944,0.8218323488057417,0.5,0.2357689969604863,0.004250295159386,0.4068905502214278,0.8571428571428571,0.5801514935746354
